Parameter/Date,30 September 2022,29 September 2022,28 September 2022,27 September 2022,26 September 2022,25 September 2022,24 September 2022,23 September 2022,22 September 2022,21 September 2022,20 September 2022,19 September 2022,18 September 2022,17 September 2022,16 September 2022,15 September 2022,14 September 2022,13 September 2022,12 September 2022,11 September 2022,10 September 2022,9 September 2022,8 September 2022,7 September 2022,6 September 2022,5 September 2022,4 September 2022,3 September 2022,2 September 2022,1 September 2022,Total
Sales,351.84,373.83,197.91,329.85,285.87,417.81,285.87,241.89,285.87,351.84,461.79,637.71,681.69,307.86,461.79,395.82,329.85,417.81,329.85,439.8,307.86,527.76,307.86,307.86,307.86,593.73,395.82,439.8,461.79,285.87,11522.76
    Organic,351.84,373.83,197.91,329.85,285.87,417.81,285.87,241.89,285.87,351.84,461.79,637.71,681.69,307.86,461.79,395.82,329.85,417.81,329.85,439.8,307.86,527.76,307.86,307.86,307.86,593.73,395.82,439.8,461.79,285.87,11522.76
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,351.84,373.83,197.91,329.85,285.87,417.81,285.87,241.89,285.87,351.84,461.79,637.71,681.69,307.86,461.79,395.82,329.85,417.81,329.85,439.8,307.86,527.76,307.86,307.86,307.86,593.73,395.82,439.8,461.79,285.87,11522.76
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,16,17,9,15,13,19,13,11,13,16,22,29,31,14,21,18,15,19,15,20,14,24,14,14,14,27,18,20,21,13,525
    Organic,16,17,9,15,13,19,13,11,13,16,22,29,31,14,21,18,15,19,15,20,14,24,14,14,14,27,18,20,21,13,525
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,16,17,9,15,13,19,13,11,13,16,22,29,31,14,21,18,15,19,15,20,14,24,14,14,14,27,18,20,21,13,525
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,1,0,0,1,0,0,2,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,13
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-19.35,-19.35,0,0,-19.35,0,4.5,-38.7,4.5,-19.35,-19.35,-19.35,-19.35,0,0,0,-19.35,0,0,-38.7,4.5,0,0,0,0,0,-14.85,4.5,-229.05
    Refunded referral fee,0,0,3.3,3.3,0,0,3.3,0,0,6.6,0,3.3,3.3,3.3,3.3,0,0,0,3.3,0,0,6.6,0,0,0,0,0,0,3.3,0,42.9
    Value of returned items,0,0,0,0,0,0,0,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5,4.5,22.5
    Refund commission,0,0,-0.66,-0.66,0,0,-0.66,0,0,-1.32,0,-0.66,-0.66,-0.66,-0.66,0,0,0,-0.66,0,0,-1.32,0,0,0,0,0,0,-0.66,0,-8.58
    Refunded amount,0,0,-21.99,-21.99,0,0,-21.99,0,0,-43.98,0,-21.99,-21.99,-21.99,-21.99,0,0,0,-21.99,0,0,-43.98,0,0,0,0,0,0,-21.99,0,-285.87
Amazon fees,-139.19,-147.89,-78.3,-130.5,-99.81,-165.29,-113.09,-95.7,-99.8,-139.2,-185.7,-253.04,-257.26,-121.8,-182.69,-156.59,-130.5,-165.3,-130.5,-173.99,-121.8,-208.79,-109.35,-151.04,-121.8,-234.9,-156.6,-173.99,-182.69,-113.09,-4540.19
    FBA per unit fulfilment fee,-86.39,-91.79,-48.6,-81,-70.2,-102.59,-70.19,-59.4,-70.19,-86.4,-113.4,-156.59,-167.4,-75.6,-113.39,-97.19,-81,-102.6,-81,-107.99,-75.6,-129.59,-75.59,-75.6,-75.6,-145.8,-97.2,-107.99,-113.39,-70.19,-2829.46
    Referral fee,-52.8,-56.1,-29.7,-49.5,-42.9,-62.7,-42.9,-36.3,-42.9,-52.8,-69.3,-95.7,-102.3,-46.2,-69.3,-59.4,-49.5,-62.7,-49.5,-66,-46.2,-79.2,-46.2,-46.2,-46.2,-89.1,-59.4,-66,-69.3,-42.9,-1729.2
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.12,0,0,0,0,0,0,-54.12
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,-3,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44
    Warehouse damage,0,0,0,0,13.29,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,24.88,0,0,0,0,0,0,63.9
Cost of goods,-72,-76.5,-40.5,-67.5,-63,-85.5,-58.5,-49.5,-63,-72,-99,-130.5,-139.5,-63,-94.5,-81,-67.5,-85.5,-67.5,-90,-63,-108,-67.5,-72,-63,-121.5,-81,-90,-94.5,-58.5,-2385
    Cost of goods sold,-72,-76.5,-40.5,-67.5,-58.5,-85.5,-58.5,-49.5,-58.5,-72,-99,-130.5,-139.5,-63,-94.5,-81,-67.5,-85.5,-67.5,-90,-63,-108,-63,-63,-63,-121.5,-81,-90,-94.5,-58.5,-2362.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,-4.5,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,-9,0,0,0,0,0,0,-22.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
