Parameter/Date,30 June 2022,29 June 2022,28 June 2022,27 June 2022,26 June 2022,25 June 2022,24 June 2022,23 June 2022,22 June 2022,21 June 2022,20 June 2022,19 June 2022,18 June 2022,17 June 2022,16 June 2022,15 June 2022,14 June 2022,13 June 2022,12 June 2022,11 June 2022,10 June 2022,9 June 2022,8 June 2022,7 June 2022,6 June 2022,5 June 2022,4 June 2022,3 June 2022,2 June 2022,1 June 2022,Total
Sales,566.73,436.79,356.83,646.69,671.68,209.9,377.82,335.84,520.75,398.81,314.85,356.83,251.88,314.85,226.89,293.86,209.9,369.82,335.84,293.86,314.85,398.81,335.84,356.83,356.83,314.85,482.77,251.88,251.88,314.85,10869.81
    Organic,566.73,436.79,356.83,646.69,671.68,209.9,377.82,335.84,520.75,398.81,314.85,356.83,251.88,314.85,226.89,293.86,209.9,369.82,335.84,293.86,314.85,398.81,335.84,356.83,356.83,314.85,482.77,251.88,251.88,314.85,10869.81
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,566.73,436.79,356.83,646.69,671.68,209.9,377.82,335.84,520.75,398.81,314.85,356.83,251.88,314.85,226.89,293.86,209.9,369.82,335.84,293.86,314.85,398.81,335.84,356.83,356.83,314.85,482.77,251.88,251.88,314.85,10869.81
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,27,21,17,31,32,10,18,16,25,19,15,17,12,15,11,14,10,18,16,14,15,19,16,17,17,15,23,12,12,15,519
    Organic,27,21,17,31,32,10,18,16,25,19,15,17,12,15,11,14,10,18,16,14,15,19,16,17,17,15,23,12,12,15,519
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,27,21,17,31,32,10,18,16,25,19,15,17,12,15,11,14,10,18,16,14,15,19,16,17,17,15,23,12,12,15,519
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,3,15
Promo,0,-3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.4
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
