Parameter/Date,31 August 2024,30 August 2024,29 August 2024,28 August 2024,27 August 2024,26 August 2024,25 August 2024,24 August 2024,23 August 2024,22 August 2024,21 August 2024,20 August 2024,19 August 2024,18 August 2024,17 August 2024,16 August 2024,15 August 2024,14 August 2024,13 August 2024,12 August 2024,11 August 2024,10 August 2024,9 August 2024,8 August 2024,7 August 2024,6 August 2024,5 August 2024,4 August 2024,3 August 2024,2 August 2024,1 August 2024,Total
Sales,417.81,175.92,263.88,241.89,483.78,747.66,1055.52,219.9,307.86,395.82,219.9,681.69,593.73,1693.23,263.88,571.74,175.92,395.82,329.85,219.9,307.86,131.94,263.88,175.92,351.84,351.84,219.9,351.84,197.91,131.94,285.87,12226.44
    Organic,307.86,65.97,153.93,153.93,219.9,439.8,241.89,153.93,197.91,197.91,175.92,417.81,373.83,219.9,87.96,175.92,87.96,285.87,263.88,175.92,153.93,87.96,153.93,109.95,263.88,197.91,43.98,175.92,153.93,43.98,175.92,5959.29
    Sponsored Products (same day),109.95,109.95,109.95,87.96,263.88,307.86,813.63,65.97,109.95,197.91,43.98,263.88,219.9,1473.33,175.92,395.82,87.96,109.95,65.97,43.98,153.93,43.98,109.95,65.97,87.96,153.93,175.92,175.92,43.98,87.96,109.95,6267.15
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,417.81,175.92,263.88,241.89,483.78,747.66,1055.52,219.9,307.86,395.82,219.9,681.69,593.73,1693.23,263.88,571.74,175.92,395.82,329.85,219.9,307.86,131.94,263.88,175.92,351.84,351.84,219.9,351.84,197.91,131.94,285.87,12226.44
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,19,8,12,11,22,34,48,10,14,18,10,31,27,77,12,26,8,18,15,10,14,6,12,8,16,16,10,16,9,6,13,556
    Organic,14,3,7,7,10,20,11,7,9,9,8,19,17,10,4,8,4,13,12,8,7,4,7,5,12,9,2,8,7,2,8,271
    Sponsored Products (same day),5,5,5,4,12,14,37,3,5,9,2,12,10,67,8,18,4,5,3,2,7,2,5,3,4,7,8,8,2,4,5,285
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,19,8,12,11,22,34,48,10,14,18,10,31,27,77,12,26,8,18,15,10,14,6,12,8,16,16,10,16,9,6,13,556
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
Promo,0,0,0,0,0,-56.1,0,0,0,0,0,-49.5,0,0,0,-56.1,0,0,0,0,0,0,0,0,0,-26.4,0,0,0,0,0,-188.1
Advertising cost,-46.29,-40.27,-45.95,-41.06,-78.02,-84.83,-254.97,-84.75,-55.44,-48.11,-50.7,-95.34,-64.98,-494.49,-94.67,-84.34,-46.27,-44.34,-47.71,-37.36,-53.72,-41.66,-40.59,-27.9,-50.32,-83.45,-58.69,-56.26,-54.3,-30.09,-32.81,-2369.68
    Sponsored Products,-46.29,-40.27,-45.95,-41.06,-78.02,-84.83,-254.97,-84.75,-55.44,-48.11,-50.7,-95.34,-64.98,-494.49,-94.67,-84.34,-46.27,-44.34,-47.71,-37.36,-53.72,-41.66,-40.59,-27.9,-50.32,-83.45,-58.69,-56.26,-54.3,-30.09,-32.81,-2369.68
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,4.5,-19.35,0,0,0,0,0,-38.7,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,0,0,0,0,0,4.5,0,0,-87.75
    Refunded referral fee,0,3.3,0,0,0,0,0,6.6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,16.5
    Value of returned items,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,9
    Refund commission,0,-0.66,0,0,0,0,0,-1.32,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,-3.3
    Refunded amount,0,-21.99,0,0,0,0,0,-43.98,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,-109.95
Amazon fees,-163.02,-68.64,-102.96,-94.38,-188.76,-283.22,-411.84,-85.8,-120.12,-154.44,-85.8,-258.48,-231.66,-760.82,-89.55,-214.58,-68.64,-141.03,-128.7,-85.8,-120.12,-51.48,-102.96,-68.64,-137.28,-133.28,-98.79,-147.99,-74.56,-49.58,-106.98,-4829.9
    FBA per unit fulfilment fee,-100.32,-42.24,-63.36,-58.08,-116.16,-179.52,-253.44,-52.8,-73.92,-95.04,-52.8,-163.68,-142.56,-406.56,-63.36,-137.28,-42.24,-95.04,-79.2,-52.8,-73.92,-31.68,-63.36,-42.24,-84.48,-84.48,-52.8,-82.2,-44.86,-29.78,-64.08,-2924.28
    Referral fee,-62.7,-26.4,-39.6,-36.3,-72.6,-103.7,-158.4,-33,-46.2,-59.4,-33,-94.8,-89.1,-254.1,-39.6,-77.3,-26.4,-59.4,-49.5,-33,-46.2,-19.8,-39.6,-26.4,-52.8,-48.8,-33,-52.8,-29.7,-19.8,-42.9,-1806.3
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.16
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.99,-12.99,0,0,0,-25.98
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
Cost of goods,-85.5,-36,-54,-49.5,-99,-153,-216,-45,-63,-81,-45,-139.5,-121.5,-346.5,-54,-117,-36,-85.5,-67.5,-45,-63,-27,-54,-36,-72,-72,-40.5,-67.5,-40.5,-27,-58.5,-2497.5
    Cost of goods sold,-85.5,-36,-54,-49.5,-99,-153,-216,-45,-63,-81,-45,-139.5,-121.5,-346.5,-54,-117,-36,-81,-67.5,-45,-63,-27,-54,-36,-72,-72,-45,-72,-40.5,-27,-58.5,-2502
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,4.5,4.5,0,0,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
