Parameter/Date,31 December 2024,30 December 2024,29 December 2024,28 December 2024,27 December 2024,26 December 2024,25 December 2024,24 December 2024,23 December 2024,22 December 2024,21 December 2024,20 December 2024,19 December 2024,18 December 2024,17 December 2024,16 December 2024,15 December 2024,14 December 2024,13 December 2024,12 December 2024,11 December 2024,10 December 2024,9 December 2024,8 December 2024,7 December 2024,6 December 2024,5 December 2024,4 December 2024,3 December 2024,2 December 2024,1 December 2024,Total
    Direct units,19,35,42,37,34,30,17,10,9,21,26,22,17,22,19,16,29,22,20,18,18,21,16,23,22,13,22,14,15,29,30,688
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-221.1,-300.27,-291.49,-299.02,-219.59,-293.98,-194.6,-127.88,-154.11,-196.12,-183.14,-139.41,-134.03,-177.84,-151.79,-156.49,-212.62,-185.85,-157.82,-127.95,-138.08,-159.02,-141.73,-185.44,-175.89,-118.54,-136.41,-116.19,-118.7,-145.42,-230.5,-5591.02
    Sponsored Products,-221.1,-300.27,-291.49,-299.02,-219.59,-293.98,-194.6,-127.88,-154.11,-196.12,-183.14,-139.41,-134.03,-177.84,-151.79,-156.49,-212.62,-185.85,-157.82,-127.95,-138.08,-159.02,-141.73,-185.44,-175.89,-118.54,-136.41,-116.19,-118.7,-145.42,-230.5,-5591.02
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,-20.23,0,0,0,0,0,0,0,0,0,0,-19.35,0,-38.7,0,0,0,0,0,0,0,0,-78.28
    Refunded referral fee,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,3.3,0,6.6,0,0,0,0,0,0,0,0,13.35
    Refund commission,0,0,0,0,0,0,0,0,0,-0.69,0,0,0,0,0,0,0,0,0,0,-0.66,0,-1.32,0,0,0,0,0,0,0,0,-2.67
    Refunded amount,0,0,0,0,0,0,0,0,0,-22.99,0,0,0,0,0,0,0,0,0,0,-21.99,0,-43.98,0,0,0,0,0,0,0,0,-88.96
Amazon fees,-145.56,-316.4,-379.68,-334.48,-294.26,-271.2,-153.68,-90.4,-81.36,-189.84,-235.04,-198.88,-144.64,-854.88,-171.76,-144.64,-262.16,-198.88,-180.8,-162.72,-162.72,-189.84,-144.64,-221.02,-179.54,-663.28,-185.78,-126.56,-134.7,-488.04,-257.7,-7565.08
    FBA per unit fulfilment fee,-106.21,-195.65,-234.78,-206.83,-190.06,-167.7,-95.03,-55.9,-50.31,-117.39,-145.34,-122.98,-89.44,-122.98,-106.21,-89.44,-162.11,-122.98,-111.8,-100.62,-100.62,-117.39,-89.44,-128.57,-117.39,-72.67,-122.98,-78.26,-83.85,-162.11,-167.7,-3834.74
    Referral fee,-65.55,-120.75,-144.9,-127.65,-117.3,-103.5,-58.65,-34.5,-31.05,-72.45,-89.7,-75.9,-55.2,-75.9,-65.55,-55.2,-100.05,-75.9,-69,-62.1,-62.1,-72.45,-55.2,-79.35,-72.45,-44.85,-75.9,-48.3,-50.85,-87,-90,-2339.25
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-656
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-532.26,0,0,0,0,0,-532.26
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.1,0,-13.5,0,0,0,-238.93,0,-265.53
    Free replacement refund items,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1
    Reversal reimbursement,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,13.1,0,0,0,0,49.6
Cost of goods,-85.5,-157.5,-189,-166.5,-153,-135,-76.5,-45,-40.5,-94.5,-117,-99,-76.5,-99,-85.5,-72,-130.5,-99,-90,-81,-81,-94.5,-72,-99,-99,-54,-99,-63,-67.5,-45,-135,-3001.5
    Cost of goods sold,-85.5,-157.5,-189,-166.5,-153,-135,-76.5,-45,-40.5,-94.5,-117,-99,-76.5,-99,-85.5,-72,-130.5,-99,-90,-81,-81,-94.5,-72,-103.5,-99,-58.5,-99,-63,-67.5,-130.5,-135,-3096
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,4.5,0,0,0,85.5,0,94.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-15.35,30.48,105.41,50.63,114.81,-10.48,-33.95,-33.38,-69.06,-17.9,62.56,68.49,12.67,-625.94,27.76,-5.29,61.43,22.05,31.18,42.15,12.67,39.43,-29.23,23.31,28.36,-536.95,84.59,16.11,17.95,-98.75,-23.5,-647.74
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-15.35,30.48,105.41,50.63,114.81,-10.48,-33.95,-33.38,-69.06,-17.9,62.56,68.49,12.67,-625.94,27.76,-5.29,61.43,22.05,31.18,42.15,12.67,39.43,-29.23,23.31,28.36,-536.95,84.59,16.11,17.95,-98.75,-23.5,-647.74
Estimated payout,70.15,187.98,294.41,217.13,267.81,124.52,42.55,11.62,-28.56,76.6,179.56,167.49,89.17,-526.94,113.26,66.71,191.93,121.05,121.18,123.15,93.67,133.93,42.77,122.31,127.36,-482.95,183.59,79.11,85.45,-53.75,111.5,2353.76
Real ACOS,50.62%,37.32%,30.19%,35.15%,28.09%,42.62%,49.79%,55.62%,74.48%,40.62%,30.64%,27.56%,36.44%,35.16%,34.75%,42.54%,31.89%,36.75%,34.32%,30.92%,33.37%,32.94%,38.53%,35.07%,36.43%,39.66%,26.97%,36.1%,35.03%,25.08%,38.44%,35.87%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,4.76%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.56%,0%,12.5%,0%,0%,0%,0%,0%,0%,0%,0%,0.58%
Sellable returns,,,,,,,,,,,0%,,,,,,0%,,,,,,,,,0%,,,,,,0%
Margin,-3.51%,3.79%,10.92%,5.95%,14.69%,-1.52%,-8.69%,-14.52%,-33.38%,-3.71%,10.47%,13.54%,3.44%,-123.76%,6.36%,-1.44%,9.21%,4.36%,6.78%,10.19%,3.06%,8.17%,-7.95%,4.41%,5.87%,-179.66%,16.72%,5.01%,5.3%,-17.03%,-3.92%,-4.16%
ROI,-17.95%,19.35%,55.77%,30.41%,75.04%,-7.76%,-44.38%,-74.18%,-170.52%,-18.94%,53.47%,69.18%,16.56%,-632.26%,32.47%,-7.35%,47.07%,22.27%,34.64%,52.04%,15.64%,41.72%,-40.6%,23.55%,28.65%,-994.35%,85.44%,25.57%,26.59%,-219.44%,-17.41%,-21.58%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,154,235,223,217,192,211,149,100,129,152,152,109,116,136,139,140,174,149,132,118,121,136,117,148,159,105,112,109,117,127,198,4576
    Browser sessions,52,78,62,68,54,65,49,22,38,46,38,38,42,40,43,54,55,64,42,47,46,51,48,56,63,41,43,36,44,50,55,1530
    Mobile app sessions,102,157,161,149,138,146,100,78,91,106,114,71,74,96,96,86,119,85,90,71,75,85,69,92,96,64,69,73,73,77,143,3047
Unit session percentage,12.34%,14.89%,18.83%,17.05%,17.71%,14.22%,11.41%,10%,6.98%,13.82%,17.11%,20.18%,14.66%,16.18%,13.67%,11.43%,16.67%,14.77%,15.15%,15.25%,14.88%,15.44%,13.68%,15.54%,13.84%,12.38%,19.64%,12.84%,12.82%,22.83%,15.15%,15.03%
