Parameter/Date,30 April 2025,29 April 2025,28 April 2025,27 April 2025,26 April 2025,25 April 2025,24 April 2025,23 April 2025,22 April 2025,21 April 2025,20 April 2025,19 April 2025,18 April 2025,17 April 2025,16 April 2025,15 April 2025,14 April 2025,13 April 2025,12 April 2025,11 April 2025,10 April 2025,9 April 2025,8 April 2025,7 April 2025,6 April 2025,5 April 2025,4 April 2025,3 April 2025,2 April 2025,1 April 2025,Total
Sales,272.87,419.8,377.82,524.75,587.72,335.84,419.8,293.86,503.76,608.71,419.8,293.86,147.93,219.9,351.84,439.8,329.85,351.84,175.92,241.89,153.93,197.91,0,263.88,373.83,417.81,241.89,219.9,263.88,373.83,9824.42
    Organic,167.92,167.92,146.93,251.88,209.9,125.94,167.92,104.95,167.92,293.86,188.91,83.96,83.96,43.98,131.94,219.9,0,175.92,87.96,197.91,65.97,131.94,0,109.95,263.88,109.95,175.92,109.95,175.92,65.97,4229.03
    Sponsored Products (same day),104.95,251.88,230.89,272.87,377.82,209.9,251.88,188.91,335.84,314.85,230.89,209.9,63.97,175.92,219.9,219.9,329.85,175.92,87.96,43.98,87.96,65.97,0,153.93,109.95,307.86,65.97,109.95,87.96,307.86,5595.39
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,272.87,419.8,377.82,524.75,587.72,335.84,419.8,293.86,503.76,608.71,419.8,293.86,147.93,219.9,351.84,439.8,329.85,351.84,175.92,241.89,153.93,197.91,0,263.88,373.83,417.81,241.89,219.9,263.88,373.83,9824.42
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,13,20,18,25,28,16,20,14,24,29,20,14,7,10,17,20,15,16,8,11,7,9,0,12,17,19,11,10,12,17,459
    Organic,8,8,7,12,10,6,8,5,8,14,9,4,4,2,7,10,0,8,4,9,3,6,0,5,12,5,8,5,8,3,198
    Sponsored Products (same day),5,12,11,13,18,10,12,9,16,15,11,10,3,8,10,10,15,8,4,2,4,3,0,7,5,14,3,5,4,14,261
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,13,20,18,25,28,16,20,14,24,29,20,14,7,10,17,20,15,16,8,11,7,9,0,12,17,19,11,10,12,17,459
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-105.7,-108.54,-140.96,-168.05,-197.32,-145.61,-142.8,-159.73,-170.37,-154.6,-135.74,-144.54,-76.47,-73.3,-85.66,-118.5,-128.87,-115.18,-114.39,-81.74,-115.17,-50.23,-7.95,-82.96,-135.71,-120.57,-102.38,-111.51,-105.24,-102.07,-3501.86
    Sponsored Products,-105.7,-108.54,-140.96,-168.05,-197.32,-145.61,-142.8,-159.73,-170.37,-154.6,-135.74,-144.54,-76.47,-73.3,-85.66,-118.5,-128.87,-115.18,-114.39,-81.74,-115.17,-50.23,-7.95,-82.96,-135.71,-120.57,-102.38,-111.51,-105.24,-102.07,-3501.86
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,4.5,0,-19.35,0,0,0,0,0,0,0,0,-38.7,0,-19.35,0,-19.35,0,0,4.5,0,0,0,0,0,0,0,0,0,0,-87.75
    Refunded referral fee,0,0,0,3.3,0,0,0,0,0,0,0,0,6.6,0,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5
    Value of returned items,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,9
    Refund commission,0,0,0,-0.66,0,0,0,0,0,0,0,0,-1.32,0,-0.66,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.3
    Refunded amount,0,0,0,-21.99,0,0,0,0,0,0,0,0,-43.98,0,-21.99,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-109.95
Amazon fees,-123.85,-168.6,-151.74,-210.75,-236.04,-134.88,-168.6,-118.02,-202.32,-244.47,-160.78,-118.02,-59.16,-85.8,-123.02,-171.6,-128.7,-137.28,-54.38,-86.56,-60.06,-62.96,0,-102.96,-175.54,-163.02,-94.38,-85.8,-102.96,-145.86,-3878.11
    FBA per unit fulfilment fee,-68.64,-105.6,-95.04,-132,-147.84,-84.48,-105.6,-73.92,-126.72,-153.12,-105.6,-73.92,-36.96,-52.8,-84.48,-105.6,-79.2,-84.48,-42.24,-58.08,-36.96,-47.52,0,-63.36,-89.76,-100.32,-58.08,-52.8,-63.36,-89.76,-2418.24
