Parameter/Date,31 July 2022,30 July 2022,29 July 2022,28 July 2022,27 July 2022,26 July 2022,25 July 2022,24 July 2022,23 July 2022,22 July 2022,21 July 2022,20 July 2022,19 July 2022,18 July 2022,17 July 2022,16 July 2022,15 July 2022,14 July 2022,13 July 2022,12 July 2022,11 July 2022,10 July 2022,9 July 2022,8 July 2022,7 July 2022,6 July 2022,5 July 2022,4 July 2022,3 July 2022,2 July 2022,1 July 2022,Total
Sales,263.88,461.79,483.78,543.75,377.82,461.78,587.72,377.82,482.77,503.76,314.85,461.78,356.83,209.9,377.82,461.78,251.88,188.91,503.76,663.28,377.82,545.74,356.83,377.82,482.77,482.77,503.76,377.82,398.81,419.8,419.8,13079.4
    Organic,263.88,461.79,483.78,543.75,377.82,461.78,587.72,377.82,482.77,503.76,314.85,461.78,356.83,209.9,377.82,461.78,251.88,188.91,503.76,663.28,377.82,545.74,356.83,377.82,482.77,482.77,503.76,377.82,398.81,419.8,419.8,13079.4
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,263.88,461.79,483.78,543.75,377.82,461.78,587.72,377.82,482.77,503.76,314.85,461.78,356.83,209.9,377.82,461.78,251.88,188.91,503.76,663.28,377.82,545.74,356.83,377.82,482.77,482.77,503.76,377.82,398.81,419.8,419.8,13079.4
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,12,21,22,25,18,22,28,18,23,24,15,22,17,10,18,22,12,9,24,32,18,26,17,18,23,23,24,18,19,20,20,620
    Organic,12,21,22,25,18,22,28,18,23,24,15,22,17,10,18,22,12,9,24,32,18,26,17,18,23,23,24,18,19,20,20,620
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,12,21,22,25,18,22,28,18,23,24,15,22,17,10,18,22,12,9,24,32,18,26,17,18,23,23,24,18,19,20,20,620
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
