Parameter/Date,30 June 2023,29 June 2023,28 June 2023,27 June 2023,26 June 2023,25 June 2023,24 June 2023,23 June 2023,22 June 2023,21 June 2023,20 June 2023,19 June 2023,18 June 2023,17 June 2023,16 June 2023,15 June 2023,14 June 2023,13 June 2023,12 June 2023,11 June 2023,10 June 2023,9 June 2023,8 June 2023,7 June 2023,6 June 2023,5 June 2023,4 June 2023,3 June 2023,2 June 2023,1 June 2023,Total
Sales,197.91,407.03,461.79,373.83,329.85,461.79,417.81,373.83,236.55,285.87,329.85,351.84,527.76,351.84,241.89,285.87,329.85,197.91,219.9,373.83,153.93,263.88,461.79,219.9,483.78,395.82,329.85,329.85,241.89,219.9,9857.39
    Organic,175.92,253.1,307.86,307.86,175.92,329.85,307.86,219.9,170.58,197.91,241.89,241.89,373.83,241.89,197.91,263.88,263.88,175.92,197.91,329.85,131.94,197.91,351.84,131.94,351.84,307.86,285.87,241.89,153.93,87.96,7218.59
    Sponsored Products (same day),21.99,153.93,153.93,65.97,153.93,131.94,109.95,153.93,65.97,87.96,87.96,109.95,153.93,109.95,43.98,21.99,65.97,21.99,21.99,43.98,21.99,65.97,109.95,87.96,131.94,87.96,43.98,87.96,87.96,131.94,2638.8
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,197.91,407.03,461.79,373.83,329.85,461.79,417.81,373.83,236.55,285.87,329.85,351.84,527.76,351.84,241.89,285.87,329.85,197.91,219.9,373.83,153.93,263.88,461.79,219.9,483.78,395.82,329.85,329.85,241.89,219.9,9857.39
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,19,21,17,15,21,19,17,11,13,15,16,24,16,11,13,15,9,10,17,7,12,21,10,22,18,15,15,11,10,449
    Organic,8,12,14,14,8,15,14,10,8,9,11,11,17,11,9,12,12,8,9,15,6,9,16,6,16,14,13,11,7,4,329
    Sponsored Products (same day),1,7,7,3,7,6,5,7,3,4,4,5,7,5,2,1,3,1,1,2,1,3,5,4,6,4,2,4,4,6,120
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,19,21,17,15,21,19,17,11,13,15,16,24,16,11,13,15,9,10,17,7,12,21,10,22,18,15,15,11,10,449
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,11
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-18.38,-36.75,-24.49,-24.48,-34.6,-30.12,-21.99,-26.44,-17.02,-23.4,-28.62,-30.66,-27.59,-24.87,-18.78,-27.97,-21.98,-30.32,-23.78,-18.37,-17.66,-19.69,-26.17,-12.47,-15.36,-20.33,-27.26,-20.83,-23.4,-18.11,-711.89
    Sponsored Products,-18.38,-36.75,-24.49,-24.48,-34.6,-30.12,-21.99,-26.44,-17.02,-23.4,-28.62,-30.66,-27.59,-24.87,-18.78,-27.97,-21.98,-30.32,-23.78,-18.37,-17.66,-19.69,-26.17,-12.47,-15.36,-20.33,-27.26,-20.83,-23.4,-18.11,-711.89
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,0,0,0,0,0,-19.35,0,-19.35,0,-19.35,-19.35,0,0,0,0,-19.35,0,0,-19.35,-19.35,0,0,0,-19.35,-14.85,0,0,-19.35,-208.35
    Refunded referral fee,3.3,0,0,0,0,0,0,3.3,0,3.3,0,3.3,3.3,0,0,0,0,3.3,0,0,3.3,3.3,0,0,0,3.3,3.3,0,0,3.3,36.3
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,4.5
    Refund commission,-0.66,0,0,0,0,0,0,-0.66,0,-0.66,0,-0.66,-0.66,0,0,0,0,-0.66,0,0,-0.66,-0.66,0,0,0,-0.66,-0.66,0,0,-0.66,-7.26
    Refunded amount,-21.99,0,0,0,0,0,0,-21.99,0,-21.99,0,-21.99,-21.99,0,0,0,0,-21.99,0,0,-21.99,-21.99,0,0,0,-21.99,-21.99,0,0,-21.99,-241.89
Amazon fees,-78.3,-170.45,-182.7,-147.9,-130.5,-182.7,-165.3,-147.9,-87.27,-113.1,-130.5,-152.18,-208.8,-139.2,-95.7,-113.1,-130.5,-78.3,-87,-147.9,-60.9,-104.4,-235.18,-87,-191.4,-156.6,-130.5,-130.5,-95.7,-87,-3968.48
