Parameter/Date,30 November 2023,29 November 2023,28 November 2023,27 November 2023,26 November 2023,25 November 2023,24 November 2023,23 November 2023,22 November 2023,21 November 2023,20 November 2023,19 November 2023,18 November 2023,17 November 2023,16 November 2023,15 November 2023,14 November 2023,13 November 2023,12 November 2023,11 November 2023,10 November 2023,9 November 2023,8 November 2023,7 November 2023,6 November 2023,5 November 2023,4 November 2023,3 November 2023,2 November 2023,1 November 2023,Total
Sales,395.82,285.87,263.88,844.32,606.86,532.1,571.68,690.41,510.11,684.4,703.6,373.83,373.83,285.87,417.81,461.79,373.83,417.81,197.91,329.85,197.91,65.97,241.89,175.92,395.82,263.88,263.88,285.87,43.98,109.95,11366.65
    Organic,175.92,197.91,131.94,668.42,501.32,303.43,479.33,444.15,316.62,490.91,316.62,175.92,219.9,109.95,307.86,263.88,131.94,197.91,65.97,175.92,175.92,65.97,197.91,131.94,351.84,219.9,241.89,153.93,21.99,87.96,7325.07
    Sponsored Products (same day),219.9,87.96,131.94,175.9,105.54,228.67,92.35,246.26,193.49,193.49,386.98,197.91,153.93,175.92,109.95,197.91,241.89,219.9,131.94,153.93,21.99,0,43.98,43.98,43.98,43.98,21.99,131.94,21.99,21.99,4041.58
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,395.82,285.87,263.88,844.32,606.86,532.1,571.68,690.41,510.11,684.4,703.6,373.83,373.83,285.87,417.81,461.79,373.83,417.81,197.91,329.85,197.91,65.97,241.89,175.92,395.82,263.88,263.88,285.87,43.98,109.95,11366.65
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,18,13,12,48,34,30,32,39,29,39,41,17,17,13,19,21,17,19,9,15,10,3,11,8,19,12,12,13,2,5,577
    Organic,8,9,6,38,28,17,27,25,18,28,19,8,10,5,14,12,6,9,3,8,9,3,9,6,17,10,11,7,1,4,375
    Sponsored Products (same day),10,4,6,10,6,13,5,14,11,11,22,9,7,8,5,9,11,10,6,7,1,0,2,2,2,2,1,6,1,1,202
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,18,13,12,48,34,30,32,39,29,39,41,17,17,13,19,21,17,19,9,15,10,3,11,8,19,12,12,13,2,5,577
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
