Parameter/Date,30 September 2025,29 September 2025,28 September 2025,27 September 2025,26 September 2025,25 September 2025,24 September 2025,23 September 2025,22 September 2025,21 September 2025,20 September 2025,19 September 2025,18 September 2025,17 September 2025,16 September 2025,15 September 2025,14 September 2025,13 September 2025,12 September 2025,11 September 2025,10 September 2025,9 September 2025,8 September 2025,7 September 2025,6 September 2025,5 September 2025,4 September 2025,3 September 2025,2 September 2025,1 September 2025,Total
    Direct units,19,16,17,9,11,11,12,14,9,18,11,4,13,19,14,21,11,13,16,12,12,13,15,26,13,14,16,10,14,15,418
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-269.39,-326.88,-324.62,-309.05,-275.24,-272.43,-276.6,-371.19,-340.61,-381.94,-364.61,-316.21,-239.04,-341.17,-308.6,-310.4,-363.1,-322.04,-265.18,-247.39,-233.41,-282.18,-285.27,-347.42,-302.8,-240.87,-120.88,-147.07,-154.47,-155.46,-8495.52
    Sponsored Products,-269.39,-326.88,-324.62,-309.05,-275.24,-272.43,-276.6,-371.19,-340.61,-381.94,-364.61,-316.21,-239.04,-341.17,-308.6,-310.4,-363.1,-322.04,-265.18,-247.39,-233.41,-282.18,-285.27,-347.42,-302.8,-240.87,-120.88,-147.07,-154.47,-155.46,-8495.52
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,-15.73,0,0,0,0,0,0,0,-20.23,-20.23,0,0,-20.23,0,0,0,0,0,0,0,0,0,-20.23,-96.65
    Refunded referral fee,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,3.45,3.45,0,0,3.45,0,0,0,0,0,0,0,0,0,3.45,17.25
    Value of returned items,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Refund commission,0,0,0,0,0,0,0,-0.69,0,0,0,0,0,0,0,-0.69,-0.69,0,0,-0.69,0,0,0,0,0,0,0,0,0,-0.69,-3.45
    Refunded amount,0,0,0,0,0,0,0,-22.99,0,0,0,0,0,0,0,-22.99,-22.99,0,0,-22.99,0,0,0,0,0,0,0,0,0,-22.99,-114.95
Amazon fees,-157.14,-139.68,-134.15,-78.57,-96.03,-81.77,-119.02,-122.22,-78.57,-157.14,-96.03,-34.92,-113.49,-165.87,-109.66,-169.07,-96.03,-113.49,-139.68,-104.76,-92.2,-113.49,-130.95,-226.98,-179.14,-122.22,-139.68,-87.3,-122.22,-130.95,-3652.42
    FBA per unit fulfilment fee,-95.04,-84.48,-89.76,-47.52,-58.08,-58.08,-63.36,-73.92,-47.52,-95.04,-58.08,-21.12,-68.64,-100.32,-73.92,-110.88,-58.08,-68.64,-84.48,-63.36,-63.36,-68.64,-79.2,-137.28,-68.64,-73.92,-84.48,-52.8,-73.92,-79.2,-2201.76
    Referral fee,-62.1,-55.2,-58.65,-31.05,-37.95,-37.95,-41.4,-48.3,-31.05,-62.1,-37.95,-13.8,-44.85,-65.55,-48.3,-72.45,-37.95,-44.85,-55.2,-41.4,-41.4,-44.85,-51.75,-89.7,-44.85,-48.3,-55.2,-34.5,-48.3,-51.75,-1438.65
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.65,0,0,0,0,0,-65.65
    Compensated clawback,0,0,0,0,0,0,-14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.26
    Reversal reimbursement,0,0,14.26,0,0,14.26,0,0,0,0,0,0,0,0,12.56,14.26,0,0,0,0,12.56,0,0,0,0,0,0,0,0,0,67.9
Cost of goods,-85.5,-72,-76.5,-40.5,-49.5,-49.5,-49.5,-63,-40.5,-81,-49.5,-18,-58.5,-85.5,-63,-94.5,-49.5,-58.5,-72,-54,-54,-58.5,-67.5,-117,-58.5,-63,-72,-45,-63,-67.5,-1876.5
    Cost of goods sold,-85.5,-72,-76.5,-40.5,-49.5,-49.5,-54,-63,-40.5,-81,-49.5,-18,-58.5,-85.5,-63,-94.5,-49.5,-58.5,-72,-54,-54,-58.5,-67.5,-117,-58.5,-63,-72,-45,-63,-67.5,-1881
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-98.21,-170.72,-144.44,-221.21,-167.88,-150.81,-169.24,-250.28,-252.77,-206.26,-257.25,-277.17,-112.16,-155.73,-159.4,-111.41,-275.97,-195.16,-109.02,-150.5,-103.73,-155.3,-138.87,-93.66,-241.57,-104.23,35.28,-49.47,-17.83,-29.29,-4534.26
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-98.21,-170.72,-144.44,-221.21,-167.88,-150.81,-169.24,-250.28,-252.77,-206.26,-257.25,-277.17,-112.16,-155.73,-159.4,-111.41,-275.97,-195.16,-109.02,-150.5,-103.73,-155.3,-138.87,-93.66,-241.57,-104.23,35.28,-49.47,-17.83,-29.29,-4534.26
Estimated payout,-12.71,-98.72,-67.94,-180.71,-118.38,-101.31,-119.74,-191.78,-212.27,-125.26,-207.75,-259.17,-53.66,-70.23,-96.4,-16.91,-226.47,-136.66,-37.02,-96.5,-49.73,-96.8,-71.37,23.34,-183.07,-41.23,107.28,-4.47,45.17,38.21,-2662.26
Real ACOS,65.1%,88.86%,83.06%,149.36%,108.84%,107.73%,100.26%,115.33%,164.62%,92.3%,144.18%,343.86%,79.98%,78.1%,95.88%,64.29%,143.58%,107.75%,72.09%,89.67%,84.61%,94.42%,82.72%,58.12%,101.31%,74.84%,32.86%,63.97%,47.99%,45.08%,88.62%
% Refunds,0%,0%,0%,0%,0%,0%,0%,7.14%,0%,0%,0%,0%,0%,0%,0%,4.76%,9.09%,0%,0%,8.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.67%,1.2%
Sellable returns,,,,,,,0%,100%,0%,0%,,,,,,,,0%,,,,,,,,0%,,,,0%,14.29%
Margin,-23.73%,-46.41%,-36.96%,-106.91%,-66.38%,-59.63%,-61.35%,-77.76%,-122.16%,-49.84%,-101.72%,-301.4%,-37.53%,-35.65%,-49.52%,-23.08%,-109.13%,-65.3%,-29.64%,-54.55%,-37.6%,-51.96%,-40.27%,-15.67%,-80.83%,-32.38%,9.59%,-21.52%,-5.54%,-8.49%,-47.3%
ROI,-114.87%,-237.11%,-188.81%,-546.2%,-339.15%,-304.67%,-341.9%,-397.27%,-624.12%,-254.64%,-519.7%,-1539.83%,-191.73%,-182.14%,-253.02%,-117.89%,-557.52%,-333.61%,-151.42%,-278.7%,-192.09%,-265.47%,-205.73%,-80.05%,-412.94%,-165.44%,49%,-109.93%,-28.3%,-43.39%,-241.63%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,140,189,197,187,155,145,167,197,190,223,200,167,151,186,186,194,230,193,160,145,139,173,184,210,186,155,117,130,137,150,5183
    Browser sessions,43,50,40,47,32,31,47,58,57,63,61,43,49,42,47,62,58,38,53,39,31,54,40,59,45,42,35,37,38,47,1388
    Mobile app sessions,97,139,157,140,123,114,120,139,133,160,139,124,102,144,139,132,172,155,107,106,108,119,144,151,141,113,82,93,99,103,3795
Unit session percentage,13.57%,8.47%,8.63%,4.81%,7.1%,7.59%,7.19%,7.11%,4.74%,8.07%,5.5%,2.4%,8.61%,10.22%,7.53%,10.82%,4.78%,6.74%,10%,8.28%,8.63%,7.51%,8.15%,12.38%,6.99%,9.03%,13.68%,7.69%,10.22%,10%,8.06%
