Parameter/Date,30 November 2025,29 November 2025,28 November 2025,27 November 2025,26 November 2025,25 November 2025,24 November 2025,23 November 2025,22 November 2025,21 November 2025,20 November 2025,19 November 2025,18 November 2025,17 November 2025,16 November 2025,15 November 2025,14 November 2025,13 November 2025,12 November 2025,11 November 2025,10 November 2025,9 November 2025,8 November 2025,7 November 2025,6 November 2025,5 November 2025,4 November 2025,3 November 2025,2 November 2025,1 November 2025,Total
Sales,436.81,206.91,436.81,137.94,321.86,367.84,390.83,344.85,298.87,390.83,275.88,206.91,206.91,229.9,275.88,160.93,91.96,160.93,206.91,160.93,183.92,298.87,229.9,183.92,252.89,229.9,344.85,160.93,206.91,229.9,7632.68
    Organic,275.88,137.94,183.92,0,183.92,137.94,252.89,45.98,114.95,229.9,160.93,68.97,114.95,68.97,137.94,68.97,22.99,114.95,114.95,68.97,68.97,137.94,114.95,91.96,137.94,68.97,114.95,91.96,68.97,114.95,3517.47
    Sponsored Products (same day),160.93,68.97,252.89,137.94,137.94,229.9,137.94,298.87,183.92,160.93,114.95,137.94,91.96,160.93,137.94,91.96,68.97,45.98,91.96,91.96,114.95,160.93,114.95,91.96,114.95,160.93,229.9,68.97,137.94,114.95,4115.21
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,436.81,206.91,436.81,137.94,321.86,367.84,390.83,344.85,298.87,390.83,275.88,206.91,206.91,229.9,275.88,160.93,91.96,160.93,206.91,160.93,183.92,298.87,229.9,183.92,252.89,229.9,344.85,160.93,206.91,229.9,7632.68
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,19,9,19,6,14,16,17,15,13,17,12,9,9,10,12,7,4,7,9,7,8,13,10,8,11,10,15,7,9,10,332
    Organic,12,6,8,0,8,6,11,2,5,10,7,3,5,3,6,3,1,5,5,3,3,6,5,4,6,3,5,4,3,5,153
    Sponsored Products (same day),7,3,11,6,6,10,6,13,8,7,5,6,4,7,6,4,3,2,4,4,5,7,5,4,5,7,10,3,6,5,179
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,19,9,19,6,14,16,17,15,13,17,12,9,9,10,12,7,4,7,9,7,8,13,10,8,11,10,15,7,9,10,332
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-249.34,-206.16,-250.19,-214.94,-183.36,-198.5,-188.97,-266.72,-200.44,-160.25,-132.12,-118.89,-140.48,-138.98,-206.79,-143.65,-121.43,-125,-127.5,-184.65,-166.14,-165.71,-170.99,-116.7,-150.45,-136.79,-139.44,-138.93,-208.26,-160.96,-5112.73
    Sponsored Products,-249.34,-206.16,-250.19,-214.94,-183.36,-198.5,-188.97,-266.72,-200.44,-160.25,-132.12,-118.89,-140.48,-138.98,-206.79,-143.65,-121.43,-125,-127.5,-184.65,-166.14,-165.71,-170.99,-116.7,-150.45,-136.79,-139.44,-138.93,-208.26,-160.96,-5112.73
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-20.23,0,4.5,0,4.5,0,0,0,0,0,0,-20.23,0,4.5,-15.63,0,0,0,0,-20.23,0,-20.23,0,0,-20.23,-20.23,0,4.5,-119.01
    Refunded referral fee,0,0,3.45,0,0,0,0,0,0,0,0,0,0,3.45,0,0,3.45,0,0,0,0,3.45,0,3.45,0,0,3.45,3.45,0,0,24.15
    Value of returned items,0,0,0,0,4.5,0,4.5,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,18
    RestockingDeductionPrincipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6
    Refund commission,0,0,-0.69,0,0,0,0,0,0,0,0,0,0,-0.69,0,0,-0.69,0,0,0,0,-0.69,0,-0.69,0,0,-0.69,-0.69,0,0,-4.83
    Refunded amount,0,0,-22.99,0,0,0,0,0,0,0,0,0,0,-22.99,0,0,-22.99,0,0,0,0,-22.99,0,-22.99,0,0,-22.99,-22.99,0,0,-160.93
Amazon fees,-227.95,-111.26,-246.39,-75.79,-126.56,-248.42,-302.32,-135.6,-117.52,-153.68,-108.48,-81.36,-81.36,-90.4,-108.48,-63.28,-30.28,-63.28,-81.36,-63.28,-72.32,-117.52,-90.4,-176.04,-99.44,-90.4,-135.6,-63.28,-81.36,-90.4,-3533.81
    FBA per unit fulfilment fee,-106.21,-50.31,-106.21,-33.54,-78.26,-89.44,-95.03,-83.85,-72.67,-95.03,-67.08,-50.31,-50.31,-55.9,-67.08,-39.13,-22.36,-39.13,-50.31,-39.13,-44.72,-72.67,-55.9,-44.72,-61.49,-55.9,-83.85,-39.13,-50.31,-55.9,-1855.88
    Referral fee,-65.55,-31.05,-65.55,-20.7,-48.3,-55.2,-58.65,-51.75,-44.85,-58.65,-41.4,-31.05,-31.05,-34.5,-41.4,-24.15,-13.8,-24.15,-31.05,-24.15,-27.6,-44.85,-34.5,-27.6,-37.95,-34.5,-51.75,-24.15,-31.05,-34.5,-1145.4
    Compensated clawback,-56.19,-44.16,-74.63,-21.55,0,-103.78,-148.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-448.95
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.72,0,0,0,0,0,0,-103.72
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88
    Free replacement refund items,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26
Cost of goods,-67.5,-22.5,-58.5,-18,-63,-36,-22.5,-67.5,-58.5,-76.5,-54,-40.5,-40.5,-45,-54,-31.5,-22.5,-31.5,-40.5,-31.5,-36,-58.5,-45,-36,-49.5,-45,-67.5,-31.5,-40.5,-45,-1336.5
    Cost of goods sold,-85.5,-40.5,-85.5,-27,-63,-72,-76.5,-67.5,-58.5,-76.5,-54,-40.5,-40.5,-45,-54,-31.5,-18,-31.5,-40.5,-31.5,-36,-58.5,-45,-36,-49.5,-45,-67.5,-31.5,-40.5,-45,-1494
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,18,18,27,9,0,36,54,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,157.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,-107.98,-133.01,-138.5,-170.79,-46.56,-115.08,-118.46,-124.97,-77.59,0.4,-18.72,-33.84,-55.43,-64.71,-93.39,-73,-97.88,-58.85,-42.45,-118.5,-90.54,-63.09,-76.49,-165.05,-46.5,-42.29,-17.92,-93.01,-123.21,-61.96,-2469.37
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,-107.98,-133.01,-138.5,-170.79,-46.56,-115.08,-118.46,-124.97,-77.59,0.4,-18.72,-33.84,-55.43,-64.71,-93.39,-73,-97.88,-58.85,-42.45,-118.5,-90.54,-63.09,-76.49,-165.05,-46.5,-42.29,-17.92,-93.01,-123.21,-61.96,-2469.37
Estimated payout,-40.48,-110.51,-80,-152.79,11.94,-79.08,-100.46,-57.47,-19.09,76.9,35.28,6.66,-14.93,-19.71,-39.39,-46,-75.38,-27.35,-1.95,-87,-54.54,-4.59,-31.49,-129.05,3,2.71,49.58,-61.51,-82.71,-21.46,-1150.87
Real ACOS,57.08%,99.64%,57.28%,155.82%,56.97%,53.96%,48.35%,77.34%,67.07%,41%,47.89%,57.46%,67.89%,60.45%,74.96%,89.26%,132.05%,77.67%,61.62%,114.74%,90.33%,55.45%,74.38%,63.45%,59.49%,59.5%,40.43%,86.33%,100.65%,70.01%,66.98%
% Refunds,0%,0%,5.26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,25%,0%,0%,0%,0%,7.69%,0%,12.5%,0%,0%,6.67%,14.29%,0%,0%,2.11%
Sellable returns,,,,,100%,,100%,,,,,,,,,100%,0%,,,,,,,,,,0%,,,100%,66.67%
Margin,-24.72%,-64.28%,-31.71%,-123.81%,-14.47%,-31.29%,-30.31%,-36.24%,-25.96%,0.1%,-6.79%,-16.35%,-26.79%,-28.15%,-33.85%,-45.36%,-106.44%,-36.57%,-20.52%,-73.63%,-49.23%,-21.11%,-33.27%,-89.74%,-18.39%,-18.39%,-5.2%,-57.8%,-59.55%,-26.95%,-32.35%
