Parameter/Date,30 April 2024,29 April 2024,28 April 2024,27 April 2024,26 April 2024,25 April 2024,24 April 2024,23 April 2024,22 April 2024,21 April 2024,20 April 2024,19 April 2024,18 April 2024,17 April 2024,16 April 2024,15 April 2024,14 April 2024,13 April 2024,12 April 2024,11 April 2024,10 April 2024,9 April 2024,8 April 2024,7 April 2024,6 April 2024,5 April 2024,4 April 2024,3 April 2024,2 April 2024,1 April 2024,Total
Sales,175.92,153.93,175.92,285.87,241.89,87.96,197.91,131.94,219.9,131.94,65.97,241.89,197.91,241.89,197.91,263.88,241.89,241.89,197.91,197.91,241.89,285.87,175.92,197.91,153.93,329.85,131.94,241.89,197.91,417.81,6267.15
    Organic,153.93,43.98,153.93,175.92,153.93,65.97,175.92,87.96,131.94,87.96,43.98,219.9,131.94,175.92,109.95,219.9,131.94,153.93,197.91,131.94,219.9,219.9,153.93,175.92,109.95,175.92,109.95,219.9,153.93,307.86,4595.91
    Sponsored Products (same day),21.99,109.95,21.99,109.95,87.96,21.99,21.99,43.98,87.96,43.98,21.99,21.99,65.97,65.97,87.96,43.98,109.95,87.96,0,65.97,21.99,65.97,21.99,21.99,43.98,153.93,21.99,21.99,43.98,109.95,1671.24
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,175.92,153.93,175.92,285.87,241.89,87.96,197.91,131.94,219.9,131.94,65.97,241.89,197.91,241.89,197.91,263.88,241.89,241.89,197.91,197.91,241.89,285.87,175.92,197.91,153.93,329.85,131.94,241.89,197.91,417.81,6267.15
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,8,7,8,13,11,4,9,6,10,6,3,11,9,11,9,12,11,11,9,9,11,13,8,10,7,15,6,11,9,19,286
    Organic,7,2,7,8,7,3,8,4,6,4,2,10,6,8,5,10,6,7,9,6,10,10,7,9,5,8,5,10,7,14,210
    Sponsored Products (same day),1,5,1,5,4,1,1,2,4,2,1,1,3,3,4,2,5,4,0,3,1,3,1,1,2,7,1,1,2,5,76
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
