Parameter/Date,31 October 2022,30 October 2022,29 October 2022,28 October 2022,27 October 2022,26 October 2022,25 October 2022,24 October 2022,23 October 2022,22 October 2022,21 October 2022,20 October 2022,19 October 2022,18 October 2022,17 October 2022,16 October 2022,15 October 2022,14 October 2022,13 October 2022,12 October 2022,11 October 2022,10 October 2022,9 October 2022,8 October 2022,7 October 2022,6 October 2022,5 October 2022,4 October 2022,3 October 2022,2 October 2022,1 October 2022,Total
Sales,373.83,307.86,241.89,505.77,197.91,439.8,263.88,461.79,417.81,241.89,439.8,351.84,725.67,373.83,351.84,571.74,439.8,461.79,241.89,334.21,536.5,461.79,373.83,307.86,439.8,285.87,549.75,175.92,483.78,571.74,395.82,12327.5
    Organic,373.83,307.86,241.89,505.77,197.91,439.8,263.88,461.79,417.81,241.89,439.8,351.84,725.67,373.83,351.84,571.74,439.8,461.79,241.89,334.21,536.5,461.79,373.83,307.86,439.8,285.87,549.75,175.92,483.78,571.74,395.82,12327.5
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,373.83,307.86,241.89,505.77,197.91,439.8,263.88,461.79,417.81,241.89,439.8,351.84,725.67,373.83,351.84,571.74,439.8,461.79,241.89,334.21,536.5,461.79,373.83,307.86,439.8,285.87,549.75,175.92,483.78,571.74,395.82,12327.5
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,17,14,11,23,9,20,12,21,19,11,20,16,33,17,16,26,20,21,11,19,30,21,17,14,20,13,25,8,22,26,18,570
    Organic,17,14,11,23,9,20,12,21,19,11,20,16,33,17,16,26,20,21,11,19,30,21,17,14,20,13,25,8,22,26,18,570
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,17,14,11,23,9,20,12,21,19,11,20,16,33,17,16,26,20,21,11,19,30,21,17,14,20,13,25,8,22,26,18,570
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,10
Promo,0,0,0,0,0,0,0,0,0,0,0,0,-96.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.8
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,0,0,-10.98,-19.35,-19.35,-19.35,0,0,0,0,0,0,4.5,-15.48,0,-19.35,0,0,0,-19.35,0,0,0,-19.35,-19.35,0,0,0,0,-176.76
    Refunded referral fee,3.3,0,0,0,2.64,3.3,3.3,3.3,0,0,0,0,0,0,0,2.64,0,3.3,0,0,0,3.3,0,0,0,3.3,3.3,0,0,0,0,31.68
    Value of returned items,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
    Promotion,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4
    Refund commission,-0.66,0,0,0,-0.53,-0.66,-0.66,-0.66,0,0,0,0,0,0,0,-0.53,0,-0.66,0,0,0,-0.66,0,0,0,-0.66,-0.66,0,0,0,0,-6.34
    Refunded amount,-21.99,0,0,0,-21.99,-21.99,-21.99,-21.99,0,0,0,0,0,0,0,-17.59,0,-21.99,0,0,0,-21.99,0,0,0,-21.99,-21.99,0,0,0,0,-215.5
Amazon fees,-153.17,-126.14,-99.11,-207.23,-81.09,-183.95,-108.12,-175.92,-158.21,-99.11,-180.21,-144.16,-282.81,-153.17,-131.18,-182.34,-180.2,-187.04,-81.05,-153.69,-244.07,-182.69,-169.68,-121.8,-174.31,-86.52,-217.48,-31.23,-191.39,-227.25,-156.6,-4870.92
    FBA per unit fulfilment fee,-97.07,-79.94,-62.81,-131.33,-51.39,-114.2,-68.52,-119.91,-108.49,-62.81,-114.21,-91.36,-188.43,-97.07,-91.36,-148.46,-114.2,-117.74,-60.33,-103.53,-163.55,-113.39,-91.8,-75.6,-108.31,-70.2,-134.98,-43.2,-118.79,-140.7,-97.2,-3180.88
    Referral fee,-56.1,-46.2,-36.3,-75.9,-29.7,-66,-39.6,-69.3,-62.7,-36.3,-66,-52.8,-94.38,-56.1,-52.8,-85.8,-66,-69.3,-36.3,-50.16,-80.52,-69.3,-56.1,-46.2,-66,-42.9,-82.5,-26.4,-72.6,-85.8,-59.4,-1835.46
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.78,0,0,0,0,0,0,0,0,-21.78
    Compensated clawback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,-11
    FBA disposal fee,0,0,0,0,0,-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,0,-0.75,0,-6
    Free replacement refund items,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Warehouse damage,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,12.98,51.92,0,0,26.58,0,0,0,0,0,0,26.58,0,39.87,0,0,0,170.91
Cost of goods,-76.5,-63,-49.5,-103.5,-40.5,-90,-54,-94.5,-90,-49.5,-90,-72,-148.5,-76.5,-76.5,-135,-90,-94.5,-54,-85.5,-135,-94.5,-76.5,-63,-90,-67.5,-112.5,-49.5,-99,-117,-81,-2619
    Cost of goods sold,-76.5,-63,-49.5,-103.5,-40.5,-90,-54,-94.5,-85.5,-49.5,-90,-72,-148.5,-76.5,-72,-117,-90,-94.5,-49.5,-85.5,-135,-94.5,-76.5,-63,-90,-58.5,-112.5,-36,-99,-117,-81,-2565
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,-4.5,-18,0,0,-4.5,0,0,0,0,0,0,-9,0,-13.5,0,0,0,-54
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,124.81,118.72,93.28,195.04,65.34,146.5,82.41,172.02,169.6,93.28,169.59,135.68,197.56,144.16,148.66,238.92,169.6,160.9,106.84,95.02,157.43,165.25,127.65,123.06,175.49,112.5,200.42,95.19,193.39,227.49,158.22,4564.02
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,124.81,118.72,93.28,195.04,65.34,146.5,82.41,172.02,169.6,93.28,169.59,135.68,197.56,144.16,148.66,238.92,169.6,160.9,106.84,95.02,157.43,165.25,127.65,123.06,175.49,112.5,200.42,95.19,193.39,227.49,158.22,4564.02
Estimated payout,201.31,181.72,142.78,298.54,101.34,236.5,136.41,266.52,259.6,142.78,259.59,207.68,346.06,220.66,220.66,373.92,259.6,255.4,160.84,180.52,292.43,259.75,204.15,186.06,265.49,180,312.92,144.69,292.39,344.49,239.22,7174.02
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,5.88%,0%,0%,0%,11.11%,5%,8.33%,4.76%,0%,0%,0%,0%,0%,0%,0%,3.85%,0%,4.76%,0%,0%,0%,4.76%,0%,0%,0%,7.69%,4%,0%,0%,0%,0%,1.75%
Sellable returns,,,,,100%,,,,,0%,,,,0%,100%,,,,,,,,,,0%,0%,,0%,,0%,0%,22.22%
Margin,33.39%,38.56%,38.56%,38.56%,33.02%,33.31%,31.23%,37.25%,40.59%,38.56%,38.56%,38.56%,27.22%,38.56%,42.25%,41.79%,38.56%,34.84%,44.17%,28.43%,29.34%,35.78%,34.15%,39.97%,39.9%,39.35%,36.46%,54.11%,39.97%,39.79%,39.97%,37.02%
ROI,163.15%,188.44%,188.44%,188.44%,161.33%,162.78%,152.61%,182.03%,188.44%,188.44%,188.43%,188.44%,133.04%,188.44%,194.33%,176.98%,188.44%,170.26%,197.85%,111.13%,116.61%,174.87%,166.86%,195.33%,194.99%,166.67%,178.15%,192.3%,195.34%,194.44%,195.33%,174.27%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7911
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3178
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4733
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7.21%
