Parameter/Date,31 January 2026,30 January 2026,29 January 2026,28 January 2026,27 January 2026,26 January 2026,25 January 2026,24 January 2026,23 January 2026,22 January 2026,21 January 2026,20 January 2026,19 January 2026,18 January 2026,17 January 2026,16 January 2026,15 January 2026,14 January 2026,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,Total
Sales,298.87,183.92,114.95,206.91,298.87,206.91,229.9,229.9,206.91,298.87,275.88,160.93,390.83,160.93,298.87,298.87,275.88,321.86,229.9,344.85,413.82,482.79,183.92,206.91,321.86,367.84,252.89,367.84,459.8,459.8,482.79,9035.07
    Organic,252.89,114.95,91.96,68.97,114.95,114.95,114.95,114.95,114.95,137.94,160.93,91.96,206.91,45.98,183.92,183.92,160.93,160.93,114.95,137.94,137.94,206.91,91.96,68.97,206.91,206.91,160.93,114.95,206.91,298.87,275.88,4666.97
    Sponsored Products (same day),45.98,68.97,22.99,137.94,183.92,91.96,114.95,114.95,91.96,160.93,114.95,68.97,183.92,114.95,114.95,114.95,114.95,160.93,114.95,206.91,275.88,275.88,91.96,137.94,114.95,160.93,91.96,252.89,252.89,160.93,206.91,4368.1
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,298.87,183.92,114.95,206.91,298.87,206.91,229.9,229.9,206.91,298.87,275.88,160.93,390.83,160.93,298.87,298.87,275.88,321.86,229.9,344.85,413.82,482.79,183.92,206.91,321.86,367.84,252.89,367.84,459.8,459.8,482.79,9035.07
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,13,8,5,9,13,9,10,10,9,13,12,7,17,7,13,13,12,14,10,15,18,21,8,9,14,16,11,16,20,20,21,393
    Organic,11,5,4,3,5,5,5,5,5,6,7,4,9,2,8,8,7,7,5,6,6,9,4,3,9,9,7,5,9,13,12,203
    Sponsored Products (same day),2,3,1,6,8,4,5,5,4,7,5,3,8,5,5,5,5,7,5,9,12,12,4,6,5,7,4,11,11,7,9,190
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
