Parameter/Date,31 December 2023,30 December 2023,29 December 2023,28 December 2023,27 December 2023,26 December 2023,25 December 2023,24 December 2023,23 December 2023,22 December 2023,21 December 2023,20 December 2023,19 December 2023,18 December 2023,17 December 2023,16 December 2023,15 December 2023,14 December 2023,13 December 2023,12 December 2023,11 December 2023,10 December 2023,9 December 2023,8 December 2023,7 December 2023,6 December 2023,5 December 2023,4 December 2023,3 December 2023,2 December 2023,1 December 2023,Total
Sales,593.73,637.71,703.68,615.72,747.66,395.82,439.8,395.82,505.77,395.82,527.76,549.75,439.8,483.78,725.67,703.68,395.82,527.76,373.83,483.78,609.95,329.85,395.82,417.81,439.8,417.81,241.89,263.88,197.91,285.87,373.83,14617.58
    Organic,241.89,175.92,263.88,329.85,351.84,197.91,131.94,131.94,197.91,131.94,219.9,197.91,197.91,285.87,285.87,285.87,219.9,263.88,197.91,351.84,565.97,263.88,219.9,153.93,153.93,219.9,43.98,153.93,131.94,197.91,241.89,7009.04
    Sponsored Products (same day),351.84,461.79,439.8,285.87,395.82,197.91,307.86,263.88,307.86,263.88,307.86,351.84,241.89,197.91,439.8,417.81,175.92,263.88,175.92,131.94,43.98,65.97,175.92,263.88,285.87,197.91,197.91,109.95,65.97,87.96,131.94,7608.54
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,593.73,637.71,703.68,615.72,747.66,395.82,439.8,395.82,505.77,395.82,527.76,549.75,439.8,483.78,725.67,703.68,395.82,527.76,373.83,483.78,609.95,329.85,395.82,417.81,439.8,417.81,241.89,263.88,197.91,285.87,373.83,14617.58
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,27,29,32,28,34,18,20,18,23,18,24,25,20,22,33,32,18,24,17,22,28,15,18,19,21,19,11,12,9,13,17,666
    Organic,11,8,12,15,16,9,6,6,9,6,10,9,9,13,13,13,10,12,9,16,26,12,10,7,8,10,2,7,6,9,11,320
    Sponsored Products (same day),16,21,20,13,18,9,14,12,14,12,14,16,11,9,20,19,8,12,8,6,2,3,8,12,13,9,9,5,3,4,6,346
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
