Parameter/Date,31 March 2023,30 March 2023,29 March 2023,28 March 2023,27 March 2023,26 March 2023,25 March 2023,24 March 2023,23 March 2023,22 March 2023,21 March 2023,20 March 2023,19 March 2023,18 March 2023,17 March 2023,16 March 2023,15 March 2023,14 March 2023,13 March 2023,12 March 2023,11 March 2023,10 March 2023,9 March 2023,8 March 2023,7 March 2023,6 March 2023,5 March 2023,4 March 2023,3 March 2023,2 March 2023,1 March 2023,Total
Sales,307.86,197.91,263.88,307.86,219.9,285.87,219.9,131.94,505.77,241.89,329.85,219.9,285.87,307.86,175.92,219.9,219.9,175.92,241.89,395.82,285.87,241.89,263.88,241.89,241.89,307.86,307.86,109.95,197.91,373.83,241.89,8070.33
    Organic,263.88,175.92,241.89,219.9,65.97,219.9,219.9,131.94,439.8,197.91,153.93,175.92,153.93,197.91,109.95,65.97,131.94,175.92,175.92,241.89,197.91,131.94,175.92,175.92,219.9,285.87,153.93,65.97,175.92,329.85,131.94,5805.36
    Sponsored Products (same day),43.98,21.99,21.99,87.96,153.93,65.97,0,0,65.97,43.98,175.92,43.98,131.94,109.95,65.97,153.93,87.96,0,65.97,153.93,87.96,109.95,87.96,65.97,21.99,21.99,153.93,43.98,21.99,43.98,109.95,2264.97
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,307.86,197.91,263.88,307.86,219.9,285.87,219.9,131.94,505.77,241.89,329.85,219.9,285.87,307.86,175.92,219.9,219.9,175.92,241.89,395.82,285.87,241.89,263.88,241.89,241.89,307.86,307.86,109.95,197.91,373.83,241.89,8070.33
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,14,9,12,14,10,13,10,6,23,11,15,10,13,14,8,10,10,8,11,18,13,11,12,11,11,14,14,5,9,17,11,367
    Organic,12,8,11,10,3,10,10,6,20,9,7,8,7,9,5,3,6,8,8,11,9,6,8,8,10,13,7,3,8,15,6,264
    Sponsored Products (same day),2,1,1,4,7,3,0,0,3,2,8,2,6,5,3,7,4,0,3,7,4,5,4,3,1,1,7,2,1,2,5,103
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,14,9,12,14,10,13,10,6,23,11,15,10,13,14,8,10,10,8,11,18,13,11,12,11,11,14,14,5,9,17,11,367
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-12.05,-16.68,-15.25,-20.31,-18.19,-22.45,-18.16,-12.7,-8.73,-17.52,-18.28,-20.73,-26.33,-28.89,-20.07,-19.6,-21.12,-17.43,-23.71,-34,-39.49,-19.64,-20.42,-18.49,-18.14,-25.74,-28.84,-20.62,-13.48,-13.14,-23.6,-633.8
    Sponsored Products,-12.05,-16.68,-15.25,-20.31,-18.19,-22.45,-18.16,-12.7,-8.73,-17.52,-18.28,-20.73,-26.33,-28.89,-20.07,-19.6,-21.12,-17.43,-23.71,-34,-39.49,-19.64,-20.42,-18.49,-18.14,-25.74,-28.84,-20.62,-13.48,-13.14,-23.6,-633.8
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,-19.35,0,0,0,-19.35,0,0,-14.85,0,-19.35,0,-19.35,0,0,0,-19.35,0,0,0,0,0,0,0,0,0,0,0,-111.6
    Refunded referral fee,0,0,0,0,3.3,0,0,0,3.3,0,0,3.3,0,3.3,0,3.3,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,19.8
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Refund commission,0,0,0,0,-0.66,0,0,0,-0.66,0,0,-0.66,0,-0.66,0,-0.66,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,-3.96
    Refunded amount,0,0,0,0,-21.99,0,0,0,-21.99,0,0,-21.99,0,-21.99,0,-21.99,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,-131.94
Amazon fees,-121.8,-78.3,-104.4,-123.26,-87,-113.1,-89.92,-52.2,-200.1,-97.16,-130.5,-87,-113.1,-121.8,-69.6,-87,-87,-69.6,-95.7,-156.6,-113.1,-95.7,-104.4,-141.68,-95.7,-121.8,-121.8,-43.5,-78.3,-147.9,-95.7,-3244.72
