Parameter/Date,31 October 2023,30 October 2023,29 October 2023,28 October 2023,27 October 2023,26 October 2023,25 October 2023,24 October 2023,23 October 2023,22 October 2023,21 October 2023,20 October 2023,19 October 2023,18 October 2023,17 October 2023,16 October 2023,15 October 2023,14 October 2023,13 October 2023,12 October 2023,11 October 2023,10 October 2023,9 October 2023,8 October 2023,7 October 2023,6 October 2023,5 October 2023,4 October 2023,3 October 2023,2 October 2023,1 October 2023,Total
Sales,241.89,263.88,109.95,175.92,131.94,87.96,109.95,153.93,175.92,170,197.91,109.95,82,109.95,131.94,197.91,197.91,153.93,219.9,197.91,175.92,258.07,175.92,263.88,65.97,219.9,219.9,103.96,131.94,175.92,131.94,5143.97
    Organic,197.91,175.92,65.97,131.94,87.96,65.97,87.96,131.94,109.95,126.02,153.93,87.96,82,65.97,131.94,131.94,153.93,109.95,109.95,175.92,153.93,258.07,131.94,219.9,65.97,131.94,153.93,103.96,109.95,87.96,131.94,3934.52
    Sponsored Products (same day),43.98,87.96,43.98,43.98,43.98,21.99,21.99,21.99,65.97,43.98,43.98,21.99,0,43.98,0,65.97,43.98,43.98,109.95,21.99,21.99,0,43.98,43.98,0,87.96,65.97,0,21.99,87.96,0,1209.45
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,241.89,263.88,109.95,175.92,131.94,87.96,109.95,153.93,175.92,170,197.91,109.95,82,109.95,131.94,197.91,197.91,153.93,219.9,197.91,175.92,258.07,175.92,263.88,65.97,219.9,219.9,103.96,131.94,175.92,131.94,5143.97
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,11,12,5,8,6,4,5,7,8,8,9,5,4,5,6,9,9,7,10,9,8,12,8,12,3,10,10,5,6,8,6,235
    Organic,9,8,3,6,4,3,4,6,5,6,7,4,4,3,6,6,7,5,5,8,7,12,6,10,3,6,7,5,5,4,6,180
    Sponsored Products (same day),2,4,2,2,2,1,1,1,3,2,2,1,0,2,0,3,2,2,5,1,1,0,2,2,0,4,3,0,1,4,0,55
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,11,12,5,8,6,4,5,7,8,8,9,5,4,5,6,9,9,7,10,9,8,12,8,12,3,10,10,5,6,8,6,235
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-13.91,-18.23,-19.16,-18.6,-12.77,-11.81,-16.1,-13.68,-14.86,-16.35,-16.74,-15.19,-14.32,-20.8,-18.82,-13.75,-24.42,-18.34,-17.83,-12.83,-20.33,-25.93,-19.96,-18.4,-12.37,-15.17,-20.41,-19.95,-17.19,-27.66,-19.08,-544.96
    Sponsored Products,-7.83,-13.28,-16.25,-12.93,-7.4,-7.81,-11.53,-8.45,-9.5,-11.49,-10.82,-9.6,-11.63,-15.58,-11.53,-8.27,-17.8,-12.35,-10.17,-6.89,-14.02,-18.39,-13.69,-11.63,-8.84,-7.91,-11.69,-15.26,-11.14,-22.41,-10.13,-366.22
    Sponsored Brands,-6.08,-4.95,-2.91,-5.67,-5.37,-4,-4.57,-5.23,-5.36,-4.86,-5.92,-5.59,-2.69,-5.22,-7.29,-5.48,-6.62,-5.99,-7.66,-5.94,-6.31,-7.54,-6.27,-6.77,-3.53,-7.26,-8.72,-4.69,-6.05,-5.25,-8.95,-178.74
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,0,0,0,0,-38.7,-19.35,0,0,0,0,0,0,-19.35,0,-96.75
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,6.6,3.3,0,0,0,0,0,0,3.3,0,16.5
    Refund commission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,-1.32,-0.66,0,0,0,0,0,0,-0.66,0,-3.3
    Refunded amount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,0,-43.98,-21.99,0,0,0,0,0,0,-21.99,0,-109.95
Amazon fees,-99,-99.94,-45,-72,-54,-36,-45,-63,-72,-74.69,-81,-47.92,-38.69,-45,-54,-81,-81,-65.32,-88.8,-78.3,-69.6,-104.24,-69.6,-104.4,-97.19,-87.3,-88.46,-45.97,-52.2,-69.6,-52.2,-2162.42
    FBA per unit fulfilment fee,-62.7,-67.8,-28.5,-45.6,-34.2,-22.8,-28.5,-39.9,-45.6,-49.19,-51.3,-28.5,-26.39,-28.5,-34.2,-51.3,-51.3,-39.3,-55.8,-48.6,-43.2,-65.51,-43.2,-64.8,-16.2,-54.3,-54,-30.37,-32.4,-43.2,-32.4,-1319.56
    Referral fee,-36.3,-39.6,-16.5,-26.4,-19.8,-13.2,-16.5,-23.1,-26.4,-25.5,-29.7,-16.5,-12.3,-16.5,-19.8,-29.7,-29.7,-23.1,-33,-29.7,-26.4,-38.73,-26.4,-39.6,-9.9,-33,-33,-15.6,-19.8,-26.4,-19.8,-771.93
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74.16,0,0,0,0,0,0,-74.16
    FBA disposal fee,0,-2.92,0,0,0,0,0,0,0,0,0,-2.92,0,0,0,0,0,-2.92,0,0,0,0,0,0,-10.22,0,-1.46,0,0,0,0,-20.44
    Warehouse damage,0,10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38
