Parameter/Date,31 March 2025,30 March 2025,29 March 2025,28 March 2025,27 March 2025,26 March 2025,25 March 2025,24 March 2025,23 March 2025,22 March 2025,21 March 2025,20 March 2025,19 March 2025,18 March 2025,17 March 2025,16 March 2025,15 March 2025,14 March 2025,13 March 2025,12 March 2025,11 March 2025,10 March 2025,9 March 2025,8 March 2025,7 March 2025,6 March 2025,5 March 2025,4 March 2025,3 March 2025,2 March 2025,1 March 2025,Total
Sales,241.89,307.86,505.77,219.9,285.87,527.76,285.87,263.88,439.8,263.88,285.87,417.81,373.83,571.74,373.83,439.8,417.81,373.83,219.9,483.78,395.82,373.83,571.74,329.85,285.87,439.8,395.82,285.87,285.87,373.83,505.77,11544.75
    Organic,43.98,175.92,197.91,153.93,175.92,329.85,87.96,109.95,87.96,131.94,175.92,263.88,153.93,263.88,219.9,197.91,153.93,241.89,65.97,329.85,241.89,197.91,307.86,131.94,87.96,153.93,175.92,175.92,131.94,175.92,263.88,5607.45
    Sponsored Products (same day),197.91,131.94,307.86,65.97,109.95,197.91,197.91,153.93,351.84,131.94,109.95,153.93,219.9,307.86,153.93,241.89,263.88,131.94,153.93,153.93,153.93,175.92,263.88,197.91,197.91,285.87,219.9,109.95,153.93,197.91,241.89,5937.3
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,241.89,307.86,505.77,219.9,285.87,527.76,285.87,263.88,439.8,263.88,285.87,417.81,373.83,571.74,373.83,439.8,417.81,373.83,219.9,483.78,395.82,373.83,571.74,329.85,285.87,439.8,395.82,285.87,285.87,373.83,505.77,11544.75
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,11,14,23,10,13,24,14,12,20,12,13,20,17,27,17,20,19,17,10,22,18,17,26,15,13,20,18,13,13,17,23,528
    Organic,2,8,9,7,8,15,5,5,4,6,8,13,7,13,10,9,7,11,3,15,11,9,14,6,4,7,8,8,6,8,12,258
    Sponsored Products (same day),9,6,14,3,5,9,9,7,16,6,5,7,10,14,7,11,12,6,7,7,7,8,12,9,9,13,10,5,7,9,11,270
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,11,14,23,10,13,24,14,12,20,12,13,20,17,27,17,20,19,17,10,22,18,17,26,15,13,20,18,13,13,17,23,528
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
