Parameter/Date,30 September 2023,29 September 2023,28 September 2023,27 September 2023,26 September 2023,25 September 2023,24 September 2023,23 September 2023,22 September 2023,21 September 2023,20 September 2023,19 September 2023,18 September 2023,17 September 2023,16 September 2023,15 September 2023,14 September 2023,13 September 2023,12 September 2023,11 September 2023,10 September 2023,9 September 2023,8 September 2023,7 September 2023,6 September 2023,5 September 2023,4 September 2023,3 September 2023,2 September 2023,1 September 2023,Total
Sales,131.94,175.92,197.91,285.87,241.89,263.88,241.89,263.88,175.92,197.91,197.91,285.87,329.85,373.83,131.94,175.92,285.87,219.9,417.81,307.86,285.87,175.92,263.88,153.93,241.89,307.86,87.96,241.89,175.92,236.1,7074.99
    Organic,109.95,175.92,175.92,219.9,219.9,241.89,241.89,197.91,153.93,175.92,87.96,219.9,307.86,329.85,109.95,153.93,175.92,175.92,285.87,285.87,175.92,87.96,175.92,131.94,131.94,197.91,65.97,219.9,175.92,214.11,5623.65
    Sponsored Products (same day),21.99,0,21.99,65.97,21.99,21.99,0,65.97,21.99,21.99,109.95,65.97,21.99,43.98,21.99,21.99,109.95,43.98,131.94,21.99,109.95,87.96,87.96,21.99,109.95,109.95,21.99,21.99,0,21.99,1451.34
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,131.94,175.92,197.91,285.87,241.89,263.88,241.89,263.88,175.92,197.91,197.91,285.87,329.85,373.83,131.94,175.92,285.87,219.9,417.81,307.86,285.87,175.92,263.88,153.93,241.89,307.86,87.96,241.89,175.92,236.1,7074.99
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,6,8,9,13,11,12,11,12,8,9,9,13,15,17,6,8,13,10,19,14,13,8,12,7,11,14,4,11,8,11,322
    Organic,5,8,8,10,10,11,11,9,7,8,4,10,14,15,5,7,8,8,13,13,8,4,8,6,6,9,3,10,8,10,256
    Sponsored Products (same day),1,0,1,3,1,1,0,3,1,1,5,3,1,2,1,1,5,2,6,1,5,4,4,1,5,5,1,1,0,1,66
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,6,8,9,13,11,12,11,12,8,9,9,13,15,17,6,8,13,10,19,14,13,8,12,7,11,14,4,11,8,11,322
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,8
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-17.22,-23.78,-19.08,-20.64,-21.73,-19.44,-24.5,-20.39,-22.98,-20.84,-27.24,-30.79,-25.09,-32.03,-32.81,-21.53,-29.57,-39.22,-32.74,-33.8,-35.09,-30.29,-19.82,-16.85,-19.19,-18.18,-24.69,-22.46,-18.6,-9.41,-730
    Sponsored Products,-8.13,-14.29,-9.59,-12.73,-13.22,-10.42,-15.14,-11.33,-13.63,-9.27,-13.73,-16.72,-9.73,-13.91,-14.12,-10.47,-13.78,-18.94,-15.1,-16.7,-20.01,-18.06,-19.82,-16.85,-19.19,-18.18,-24.69,-22.46,-18.6,-9.41,-448.22
