Parameter/Date,31 July 2025,30 July 2025,29 July 2025,28 July 2025,27 July 2025,26 July 2025,25 July 2025,24 July 2025,23 July 2025,22 July 2025,21 July 2025,20 July 2025,19 July 2025,18 July 2025,17 July 2025,16 July 2025,15 July 2025,14 July 2025,13 July 2025,12 July 2025,11 July 2025,10 July 2025,9 July 2025,8 July 2025,7 July 2025,6 July 2025,5 July 2025,4 July 2025,3 July 2025,2 July 2025,1 July 2025,Total
Sales,344.85,321.86,183.92,436.81,459.8,275.88,206.91,275.88,505.78,367.84,296.87,587.72,419.8,293.86,335.84,482.77,398.81,377.82,608.71,419.8,377.82,356.83,638.02,684.26,482.77,461.78,419.8,377.82,230.89,242.89,68.97,11943.38
    Organic,183.92,206.91,114.95,275.88,229.9,137.94,68.97,91.96,344.85,68.97,206.91,251.88,125.94,167.92,167.92,167.92,125.94,83.96,230.89,62.97,251.88,251.88,327.4,335.84,104.95,188.91,272.87,146.93,104.95,154.93,45.98,5503.02
    Sponsored Products (same day),160.93,114.95,68.97,160.93,229.9,137.94,137.94,183.92,160.93,298.87,89.96,335.84,293.86,125.94,167.92,314.85,272.87,293.86,377.82,356.83,125.94,104.95,310.62,348.42,377.82,272.87,146.93,230.89,125.94,87.96,22.99,6440.36
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,344.85,321.86,183.92,436.81,459.8,275.88,206.91,275.88,505.78,367.84,296.87,587.72,419.8,293.86,335.84,482.77,398.81,377.82,608.71,419.8,377.82,356.83,638.02,684.26,482.77,461.78,419.8,377.82,230.89,242.89,68.97,11943.38
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,15,14,8,19,20,12,9,12,22,16,13,28,20,14,16,23,19,18,29,20,18,17,38,34,23,22,20,18,11,11,3,562
    Organic,8,9,5,12,10,6,3,4,15,3,9,12,6,8,8,8,6,4,11,3,12,12,20,16,5,9,13,7,5,7,2,258
    Sponsored Products (same day),7,5,3,7,10,6,6,8,7,13,4,16,14,6,8,15,13,14,18,17,6,5,18,18,18,13,7,11,6,4,1,304
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,15,14,8,19,20,12,9,12,22,16,13,28,20,14,16,23,19,18,29,20,18,17,38,34,23,22,20,18,11,11,3,562
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-155.48,-145.87,-144.88,-143.08,-179.23,-156.42,-138.47,-152.22,-136.66,-151.97,-137.43,-197.13,-172.4,-160.78,-138.42,-190.84,-178.51,-177.2,-173.88,-173.29,-156.58,-162.96,-271.26,-236.59,-190.36,-183.57,-201.28,-145.88,-122.62,-145.94,-119.45,-5140.65
    Sponsored Products,-155.48,-145.87,-144.88,-143.08,-179.23,-156.42,-138.47,-152.22,-136.66,-151.97,-137.43,-197.13,-172.4,-160.78,-138.42,-190.84,-178.51,-177.2,-173.88,-173.29,-156.58,-162.96,-271.26,-236.59,-190.36,-183.57,-201.28,-145.88,-122.62,-145.94,-119.45,-5140.65
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
