Parameter/Date,31 May 2022,30 May 2022,29 May 2022,28 May 2022,27 May 2022,26 May 2022,25 May 2022,24 May 2022,23 May 2022,22 May 2022,21 May 2022,20 May 2022,19 May 2022,18 May 2022,17 May 2022,16 May 2022,15 May 2022,14 May 2022,13 May 2022,12 May 2022,11 May 2022,10 May 2022,9 May 2022,8 May 2022,7 May 2022,6 May 2022,5 May 2022,4 May 2022,3 May 2022,2 May 2022,1 May 2022,Total
Sales,503.76,566.73,524.75,356.83,167.92,293.86,314.85,419.8,356.83,419.8,272.87,335.84,272.87,461.78,398.81,377.82,230.89,146.93,419.8,251.88,419.8,251.88,293.86,251.88,188.91,356.83,188.91,272.87,188.91,188.91,314.85,10012.23
    Organic,503.76,566.73,524.75,356.83,167.92,293.86,314.85,419.8,356.83,419.8,272.87,335.84,272.87,461.78,398.81,377.82,230.89,146.93,419.8,251.88,419.8,251.88,293.86,251.88,188.91,356.83,188.91,272.87,188.91,188.91,314.85,10012.23
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,503.76,566.73,524.75,356.83,167.92,293.86,314.85,419.8,356.83,419.8,272.87,335.84,272.87,461.78,398.81,377.82,230.89,146.93,419.8,251.88,419.8,251.88,293.86,251.88,188.91,356.83,188.91,272.87,188.91,188.91,314.85,10012.23
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,24,27,25,17,8,14,15,20,17,20,13,16,13,22,19,18,11,7,20,12,20,12,14,12,9,17,10,13,9,9,15,478
    Organic,24,27,25,17,8,14,15,20,17,20,13,16,13,22,19,18,11,7,20,12,20,12,14,12,9,17,10,13,9,9,15,478
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,24,27,25,17,8,14,15,20,17,20,13,16,13,22,19,18,11,7,20,12,20,12,14,12,9,17,10,13,9,9,15,478
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
