Parameter/Date,31 August 2023,30 August 2023,29 August 2023,28 August 2023,27 August 2023,26 August 2023,25 August 2023,24 August 2023,23 August 2023,22 August 2023,21 August 2023,20 August 2023,19 August 2023,18 August 2023,17 August 2023,16 August 2023,15 August 2023,14 August 2023,13 August 2023,12 August 2023,11 August 2023,10 August 2023,9 August 2023,8 August 2023,7 August 2023,6 August 2023,5 August 2023,4 August 2023,3 August 2023,2 August 2023,1 August 2023,Total
Sales,109.95,241.89,395.82,197.91,241.89,175.92,131.94,263.88,219.9,241.89,197.91,351.84,351.84,197.91,263.88,307.86,131.94,263.88,373.83,439.8,263.88,219.9,258.25,219.9,263.88,527.76,285.87,263.88,351.84,307.86,373.83,8438.53
    Organic,87.96,219.9,219.9,109.95,131.94,131.94,65.97,197.91,153.93,153.93,153.93,219.9,285.87,109.95,197.91,175.92,87.96,219.9,263.88,329.85,241.89,197.91,148.3,175.92,241.89,351.84,131.94,153.93,285.87,219.9,197.91,5865.7
    Sponsored Products (same day),21.99,21.99,175.92,87.96,109.95,43.98,65.97,65.97,65.97,87.96,43.98,131.94,65.97,87.96,65.97,131.94,43.98,43.98,109.95,109.95,21.99,21.99,109.95,43.98,21.99,175.92,153.93,109.95,65.97,87.96,175.92,2572.83
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,109.95,241.89,395.82,197.91,241.89,175.92,131.94,263.88,219.9,241.89,197.91,351.84,351.84,197.91,263.88,307.86,131.94,263.88,373.83,439.8,263.88,219.9,258.25,219.9,263.88,527.76,285.87,263.88,351.84,307.86,373.83,8438.53
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,5,11,18,9,11,8,6,12,10,11,9,16,16,9,12,14,6,12,17,20,12,10,12,10,12,24,13,12,16,14,17,384
    Organic,4,10,10,5,6,6,3,9,7,7,7,10,13,5,9,8,4,10,12,15,11,9,7,8,11,16,6,7,13,10,9,267
    Sponsored Products (same day),1,1,8,4,5,2,3,3,3,4,2,6,3,4,3,6,2,2,5,5,1,1,5,2,1,8,7,5,3,4,8,117
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,5,11,18,9,11,8,6,12,10,11,9,16,16,9,12,14,6,12,17,20,12,10,12,10,12,24,13,12,16,14,17,384
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,11
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-16.15,-12.4,-15.45,-18.82,-20.72,-19.85,-14.07,-16.55,-16.19,-24.59,-19.13,-28.95,-21.28,-16.58,-19.25,-19.6,-20.83,-19.96,-27.48,-25.8,-19.54,-16.07,-22.62,-23.73,-29.07,-34.61,-21.34,-22.29,-19.85,-28.67,-31.47,-662.91
    Sponsored Products,-16.15,-12.4,-15.45,-18.82,-20.72,-19.85,-14.07,-16.55,-16.19,-24.59,-19.13,-28.95,-21.28,-16.58,-19.25,-19.6,-20.83,-19.96,-27.48,-25.8,-19.54,-16.07,-22.62,-23.73,-29.07,-34.61,-21.34,-22.29,-19.85,-28.67,-31.47,-662.91
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,0,-19.35,0,0,0,0,-19.35,4.5,-19.35,0,0,-38.7,0,0,0,0,0,0,-19.35,-19.35,0,-19.35,0,0,0,0,-14.85,-19.35,0,-203.85
    Refunded referral fee,3.3,0,0,3.3,0,0,0,0,3.3,0,3.3,0,0,6.6,0,0,0,0,0,0,3.3,3.3,0,3.3,0,0,0,0,3.3,3.3,0,36.3
    Value of returned items,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,9
