Parameter/Date,31 July 2023,30 July 2023,29 July 2023,28 July 2023,27 July 2023,26 July 2023,25 July 2023,24 July 2023,23 July 2023,22 July 2023,21 July 2023,20 July 2023,19 July 2023,18 July 2023,17 July 2023,16 July 2023,15 July 2023,14 July 2023,13 July 2023,12 July 2023,11 July 2023,10 July 2023,9 July 2023,8 July 2023,7 July 2023,6 July 2023,5 July 2023,4 July 2023,3 July 2023,2 July 2023,1 July 2023,Total
    Direct units,19,16,15,11,18,12,11,27,10,16,17,12,14,22,20,18,15,12,21,21,30,19,23,15,24,21,30,31,18,25,15,578
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-31.11,-31.74,-31.21,-27.98,-18.28,-22.52,-26.93,-33.94,-36.64,-28.53,-21.73,-31.9,-31.52,-43.07,-28.1,-26.9,-28.43,-23.33,-23.49,-32.94,-41.47,-28.66,-44.29,-28.79,-35.97,-36.8,-33.25,-37.65,-33.82,-23.45,-34.57,-959.01
    Sponsored Products,-31.11,-31.74,-31.21,-27.98,-18.28,-22.52,-26.93,-33.94,-36.64,-28.53,-21.73,-31.9,-31.52,-43.07,-28.1,-26.9,-28.43,-23.33,-23.49,-32.94,-41.47,-28.66,-44.29,-28.79,-35.97,-36.8,-33.25,-37.65,-33.82,-23.45,-34.57,-959.01
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,4.5,0,0,0,-19.35,0,0,0,4.5,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,0,-38.7,0,0,0,0,-87.75
    Refunded referral fee,0,0,0,0,3.3,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,6.6,0,0,0,0,16.5
    Value of returned items,4.5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
    Refund commission,0,0,0,0,-0.66,0,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,0,-1.32,0,0,0,0,-3.3
    Refunded amount,0,0,0,0,-21.99,0,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,0,-43.98,0,0,0,0,-109.95
Amazon fees,-165.3,-139.2,-119.5,-95.7,-159.48,-104.4,-95.7,-234.9,-87,-139.2,-147.9,-104.4,-121.8,-204.54,-162.98,-156.6,-121.8,-104.4,-182.7,-182.7,-261,-165.3,-200.1,-181.78,-208.8,-182.7,-261,-269.7,-156.6,-217.5,-130.5,-5065.18
    FBA per unit fulfilment fee,-102.6,-86.4,-81,-59.4,-100.89,-64.8,-59.4,-145.8,-54,-86.4,-91.8,-64.8,-75.6,-118.8,-108,-97.2,-75.6,-64.8,-113.4,-113.4,-162,-102.6,-124.2,-81,-129.6,-113.4,-162,-167.4,-97.2,-135,-81,-3119.49
    Referral fee,-62.7,-52.8,-49.5,-36.3,-58.59,-39.6,-36.3,-89.1,-33,-52.8,-56.1,-39.6,-46.2,-72.6,-66,-59.4,-46.2,-39.6,-69.3,-69.3,-99,-62.7,-75.9,-49.5,-79.2,-69.3,-99,-102.3,-59.4,-82.5,-49.5,-1903.29
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.28,0,0,0,0,0,0,0,-51.28
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.14
    Warehouse damage,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
    Warehouse lost manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02
Cost of goods,-85.5,-72,-72,-49.5,-81,-54,-49.5,-121.5,-45,-72,-76.5,-54,-63,-99,-94.5,-81,-67.5,-54,-94.5,-94.5,-135,-85.5,-103.5,-67.5,-108,-94.5,-135,-139.5,-81,-112.5,-67.5,-2610
    Cost of goods sold,-85.5,-72,-67.5,-49.5,-81,-54,-49.5,-121.5,-45,-72,-76.5,-54,-63,-99,-90,-81,-67.5,-54,-94.5,-94.5,-135,-85.5,-103.5,-67.5,-108,-94.5,-135,-139.5,-81,-112.5,-67.5,-2601
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,140.4,108.9,107.14,68.71,112.33,82.96,69.76,203.39,55.76,92.76,127.7,73.58,91.54,137.17,154.22,131.32,90.13,82.15,161.1,151.65,222.23,138.35,157.88,32.43,174.99,147.79,191.75,234.84,124.4,196.3,97.28,3960.91
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,140.4,108.9,107.14,68.71,112.33,82.96,69.76,203.39,55.76,92.76,127.7,73.58,91.54,137.17,154.22,131.32,90.13,82.15,161.1,151.65,222.23,138.35,157.88,32.43,174.99,147.79,191.75,234.84,124.4,196.3,97.28,3960.91
Estimated payout,221.4,180.9,179.14,118.21,193.33,136.96,119.26,324.89,96.26,164.76,204.2,127.58,154.54,236.17,248.72,212.32,157.63,136.15,255.6,246.15,357.23,223.85,261.38,99.93,282.99,242.29,326.75,374.34,205.4,308.8,164.78,6561.91
Real ACOS,7.45%,9.02%,9.46%,11.57%,4.68%,8.53%,11.13%,5.72%,16.66%,8.11%,5.81%,12.09%,10.24%,8.9%,6.39%,6.8%,9.23%,8.84%,5.09%,7.13%,6.29%,6.86%,8.76%,8.73%,6.82%,7.97%,5.04%,5.52%,8.54%,4.27%,10.48%,7.56%
% Refunds,0%,0%,0%,0%,5.56%,0%,0%,0%,0%,6.25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.67%,0%,0%,6.67%,0%,0%,0%,0%,0.87%
Sellable returns,100%,,,,,,,0%,100%,,,,,,,0%,,0%,,,0%,0%,,,,,,,0%,,,25%
Margin,33.6%,30.95%,32.48%,28.41%,28.77%,31.44%,28.84%,34.26%,25.36%,26.36%,34.16%,27.88%,29.73%,28.35%,35.07%,33.18%,29.28%,31.13%,34.89%,32.84%,33.69%,33.11%,31.22%,9.83%,33.16%,32%,29.07%,34.45%,31.43%,35.71%,29.49%,31.23%
ROI,164.21%,151.25%,148.81%,138.81%,138.68%,153.63%,140.93%,167.4%,123.91%,128.83%,166.93%,136.26%,145.3%,138.56%,163.2%,162.12%,133.53%,152.13%,170.48%,160.48%,164.61%,161.81%,152.54%,48.04%,162.03%,156.39%,142.04%,168.34%,153.58%,174.49%,144.12%,151.76%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4050
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1675
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.27%
