Parameter/Date,31 May 2024,30 May 2024,29 May 2024,28 May 2024,27 May 2024,26 May 2024,25 May 2024,24 May 2024,23 May 2024,22 May 2024,21 May 2024,20 May 2024,19 May 2024,18 May 2024,17 May 2024,16 May 2024,15 May 2024,14 May 2024,13 May 2024,12 May 2024,11 May 2024,10 May 2024,9 May 2024,8 May 2024,7 May 2024,6 May 2024,5 May 2024,4 May 2024,3 May 2024,2 May 2024,1 May 2024,Total
Sales,373.83,241.89,153.93,395.82,439.8,351.84,307.86,197.91,417.81,241.89,175.92,43.98,87.96,87.96,131.94,109.95,241.89,87.96,175.92,131.94,131.94,87.96,87.96,263.88,241.89,373.83,87.96,175.92,263.88,351.84,263.88,6728.94
    Organic,263.88,175.92,153.93,329.85,373.83,285.87,219.9,153.93,285.87,241.89,153.93,43.98,43.98,87.96,109.95,87.96,219.9,65.97,153.93,109.95,87.96,65.97,87.96,241.89,153.93,197.91,21.99,109.95,241.89,285.87,175.92,5233.62
    Sponsored Products (same day),109.95,65.97,0,65.97,65.97,65.97,87.96,43.98,131.94,0,21.99,0,43.98,0,21.99,21.99,21.99,21.99,21.99,21.99,43.98,21.99,0,21.99,87.96,175.92,65.97,65.97,21.99,65.97,87.96,1495.32
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,373.83,241.89,153.93,395.82,439.8,351.84,307.86,197.91,417.81,241.89,175.92,43.98,87.96,87.96,131.94,109.95,241.89,87.96,175.92,131.94,131.94,87.96,87.96,263.88,241.89,373.83,87.96,175.92,263.88,351.84,263.88,6728.94
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,17,11,7,18,20,16,14,9,19,11,8,2,4,4,6,5,11,4,8,6,6,4,4,12,11,17,4,8,12,16,12,306
    Organic,12,8,7,15,17,13,10,7,13,11,7,2,2,4,5,4,10,3,7,5,4,3,4,11,7,9,1,5,11,13,8,238
    Sponsored Products (same day),5,3,0,3,3,3,4,2,6,0,1,0,2,0,1,1,1,1,1,1,2,1,0,1,4,8,3,3,1,3,4,68
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,17,11,7,18,20,16,14,9,19,11,8,2,4,4,6,5,11,4,8,6,6,4,4,12,11,17,4,8,12,16,12,306
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-46.08,-66.15,-39.62,-57.14,-79.66,-71.82,-52.43,-45.2,-70.97,-66.99,-41.88,-29.47,-15.98,-8.2,-20.58,-21.01,-27.53,-15.41,-18.05,-11.52,-19.8,-10.94,-25.13,-24.14,-31.31,-38.96,-42.94,-33.47,-20.71,-18.15,-25.82,-1097.06
    Sponsored Products,-18.97,-36.97,-16.31,-31.44,-36.1,-29.77,-27.95,-22.48,-36.22,-28.93,-22.55,-26.49,-15.98,-7.54,-16.19,-19.63,-27.53,-15.41,-18.05,-11.52,-19.8,-10.94,-25.13,-24.14,-31.31,-38.96,-42.94,-33.47,-20.71,-18.15,-25.82,-757.4
    Sponsored Brands,-27.11,-29.18,-23.31,-25.7,-43.56,-42.05,-24.48,-22.72,-34.75,-38.06,-19.33,-2.98,0,-0.66,-4.39,-1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-339.66
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,-14.85,0,0,0,0,0,0,0,0,0,-19.35,0,0,0,0,0,-19.35,0,0,0,0,-19.35,0,0,0,0,0,0,0,0,-92.25
    Refunded referral fee,3.3,3.3,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,3.3,0,0,0,0,3.3,0,0,0,0,0,0,0,0,16.5
