Parameter/Date,31 January 2024,30 January 2024,29 January 2024,28 January 2024,27 January 2024,26 January 2024,25 January 2024,24 January 2024,23 January 2024,22 January 2024,21 January 2024,20 January 2024,19 January 2024,18 January 2024,17 January 2024,16 January 2024,15 January 2024,14 January 2024,13 January 2024,12 January 2024,11 January 2024,10 January 2024,9 January 2024,8 January 2024,7 January 2024,6 January 2024,5 January 2024,4 January 2024,3 January 2024,2 January 2024,1 January 2024,Total
Sales,461.79,285.87,439.8,505.77,417.81,483.78,461.79,505.77,593.73,571.74,813.63,835.62,637.71,527.76,461.79,373.83,637.71,1033.53,549.75,549.75,395.82,659.7,417.81,571.74,769.65,764.1,439.8,593.73,659.7,681.69,769.65,17872.32
    Organic,241.89,43.98,307.86,263.88,219.9,329.85,285.87,241.89,307.86,307.86,285.87,263.88,373.83,197.91,241.89,153.93,219.9,461.79,241.89,87.96,219.9,351.84,219.9,241.89,439.8,214.35,197.91,241.89,329.85,285.87,417.81,8240.7
    Sponsored Products (same day),219.9,241.89,131.94,241.89,197.91,153.93,175.92,263.88,285.87,263.88,527.76,571.74,263.88,329.85,219.9,219.9,417.81,571.74,307.86,461.79,175.92,307.86,197.91,329.85,329.85,549.75,241.89,351.84,329.85,395.82,351.84,9631.62
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,461.79,285.87,439.8,505.77,417.81,483.78,461.79,505.77,593.73,571.74,813.63,835.62,637.71,527.76,461.79,373.83,637.71,1033.53,549.75,549.75,395.82,659.7,417.81,571.74,769.65,764.1,439.8,593.73,659.7,681.69,769.65,17872.32
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,21,13,20,23,19,22,21,23,27,26,37,38,29,24,21,17,29,47,25,25,18,30,19,26,35,35,20,27,30,31,35,813
    Organic,11,2,14,12,10,15,13,11,14,14,13,12,17,9,11,7,10,21,11,4,10,16,10,11,20,10,9,11,15,13,19,375
    Sponsored Products (same day),10,11,6,11,9,7,8,12,13,12,24,26,12,15,10,10,19,26,14,21,8,14,9,15,15,25,11,16,15,18,16,438
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,21,13,20,23,19,22,21,23,27,26,37,38,29,24,21,17,29,47,25,25,18,30,19,26,35,35,20,27,30,31,35,813
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,1,0,3,0,0,2,0,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,2,1,0,20
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-88.98,-88.8,-78.01,-89.57,-91.35,-95.68,-103.81,-93.29,-95.42,-124.07,-149.01,-140.29,-131.2,-120.9,-125.33,-133.44,-152.65,-161.84,-144.48,-132.68,-134.31,-145.76,-150.33,-129.31,-147.63,-154.41,-132.04,-134.82,-135.05,-137.02,-140.32,-3881.8
    Sponsored Products,-88.98,-88.8,-78.01,-89.57,-91.35,-95.68,-103.81,-93.29,-95.42,-124.07,-149.01,-140.29,-131.2,-120.9,-125.33,-133.44,-152.65,-161.84,-144.48,-132.68,-134.31,-145.76,-150.33,-129.31,-147.63,-154.41,-132.04,-134.82,-135.05,-137.02,-140.32,-3881.8
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-19.35,0,-19.35,0,-58.05,0,4.5,-38.7,0,-58.05,0,0,-19.35,0,-19.35,-19.35,0,0,-19.35,0,0,-19.35,0,0,0,-15.48,-19.35,0,-29.7,-19.35,0,-369.63
    Refunded referral fee,3.3,0,3.3,0,9.9,0,0,6.6,0,9.9,0,0,3.3,0,3.3,3.3,0,0,3.3,0,0,3.3,0,0,0,2.64,3.3,0,6.6,3.3,0,65.34
    Value of returned items,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13.5
    Refund commission,-0.66,0,-0.66,0,-1.98,0,0,-1.32,0,-1.98,0,0,-0.66,0,-0.66,-0.66,0,0,-0.66,0,0,-0.66,0,0,0,-0.53,-0.66,0,-1.32,-0.66,0,-13.07
    Refunded amount,-21.99,0,-21.99,0,-65.97,0,0,-43.98,0,-65.97,0,0,-21.99,0,-21.99,-21.99,0,0,-21.99,0,0,-21.99,0,0,0,-17.59,-21.99,0,-43.98,-21.99,0,-435.4
Amazon fees,-173.15,-113.1,-160.71,-200.1,-165.3,-191.4,-182.7,-173.52,-234.9,-212.91,-321.9,-317.61,-252.3,-208.8,-182.7,-147.9,-252.3,-411,-222,-223.8,-161.1,-257.01,-170.7,-695.06,-314.7,-318.01,-167.01,-243,-270,-279,-301.41,-7525.1
    FBA per unit fulfilment fee,-113.4,-70.2,-108,-124.2,-102.6,-118.8,-113.4,-124.2,-145.8,-140.4,-199.8,-205.2,-156.6,-129.6,-113.4,-91.8,-156.6,-255.9,-139.5,-141.3,-101.7,-171,-108,-147.9,-199.2,-203.34,-114,-153.9,-171,-176.7,-198.9,-4496.34
    Referral fee,-69.3,-42.9,-66,-75.9,-62.7,-72.6,-69.3,-75.9,-89.1,-85.8,-122.1,-125.4,-95.7,-79.2,-69.3,-56.1,-95.7,-155.1,-82.5,-82.5,-59.4,-99,-62.7,-85.8,-115.5,-114.67,-66,-89.1,-99,-102.3,-115.5,-2682.07
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-461.36,0,0,0,0,0,0,0,-461.36
    Warehouse damage,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Warehouse lost manual,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,0,0,0,0,0,12.99,0,0,0,0,12.99,0,0,0,0,38.97
    Reversal reimbursement,9.55,0,0,0,0,0,0,13.29,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,49.12
