Parameter/Date,31 July 2024,30 July 2024,29 July 2024,28 July 2024,27 July 2024,26 July 2024,25 July 2024,24 July 2024,23 July 2024,22 July 2024,21 July 2024,20 July 2024,19 July 2024,18 July 2024,17 July 2024,16 July 2024,15 July 2024,14 July 2024,13 July 2024,12 July 2024,11 July 2024,10 July 2024,9 July 2024,8 July 2024,7 July 2024,6 July 2024,5 July 2024,4 July 2024,3 July 2024,2 July 2024,1 July 2024,Total
Sales,329.85,197.91,241.89,329.85,329.85,65.97,175.92,285.87,175.92,395.82,131.94,241.89,131.94,153.93,285.87,483.78,263.88,153.93,197.91,153.93,263.88,197.91,307.86,285.87,219.9,241.89,373.83,417.81,175.92,241.89,329.85,7784.46
    Organic,197.91,131.94,65.97,197.91,109.95,65.97,87.96,153.93,65.97,329.85,109.95,175.92,21.99,153.93,153.93,285.87,219.9,131.94,131.94,87.96,131.94,153.93,285.87,65.97,131.94,21.99,87.96,197.91,109.95,131.94,241.89,4441.98
    Sponsored Products (same day),131.94,65.97,175.92,131.94,219.9,0,87.96,131.94,109.95,65.97,21.99,65.97,109.95,0,131.94,197.91,43.98,21.99,65.97,65.97,131.94,43.98,21.99,219.9,87.96,219.9,285.87,219.9,65.97,109.95,87.96,3342.48
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,329.85,197.91,241.89,329.85,329.85,65.97,175.92,285.87,175.92,395.82,131.94,241.89,131.94,153.93,285.87,483.78,263.88,153.93,197.91,153.93,263.88,197.91,307.86,285.87,219.9,241.89,373.83,417.81,175.92,241.89,329.85,7784.46
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,15,9,11,15,15,3,8,13,8,18,6,11,6,7,13,22,12,7,9,7,12,9,14,13,10,11,17,19,8,11,15,354
    Organic,9,6,3,9,5,3,4,7,3,15,5,8,1,7,7,13,10,6,6,4,6,7,13,3,6,1,4,9,5,6,11,202
    Sponsored Products (same day),6,3,8,6,10,0,4,6,5,3,1,3,5,0,6,9,2,1,3,3,6,2,1,10,4,10,13,10,3,5,4,152
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,15,9,11,15,15,3,8,13,8,18,6,11,6,7,13,22,12,7,9,7,12,9,14,13,10,11,17,19,8,11,15,354
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
Promo,0,0,0,0,-26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.4
Advertising cost,-50.94,-44.55,-53.23,-56.63,-76.65,-24.31,-35.68,-29.44,-27.99,-43.78,-46.86,-42.76,-58.83,-29.29,-57.34,-72.37,-43.08,-65.39,-58.12,-55.22,-43.19,-54.54,-74.23,-78.22,-133.94,-121.13,-174.75,-100.64,-45.67,-38.62,-57.83,-1895.22
    Sponsored Products,-50.94,-44.55,-53.23,-56.63,-76.65,-24.31,-35.68,-29.44,-27.99,-43.78,-46.86,-42.76,-58.83,-29.29,-57.34,-72.37,-43.08,-65.39,-58.12,-55.22,-43.19,-54.54,-74.23,-78.22,-133.94,-121.13,-174.75,-100.64,-45.67,-38.62,-57.83,-1895.22
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,-38.7,-19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.35,0,0,0,0,0,-77.4
    Refunded referral fee,0,0,0,0,6.6,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,13.2
    Refund commission,0,0,0,0,-1.32,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,0,-2.64
    Refunded amount,0,0,0,0,-43.98,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,0,-87.96
Amazon fees,-123,-73.8,-90.2,-123,-119,-24.6,-75.98,-106.6,-65.6,-149.13,-49.2,-90.2,-49.2,-57.4,-106.6,-180.4,-98.4,-57.4,-73.8,-57.4,-98.4,-73.8,-114.8,-106.6,-205.81,-90.2,-120.71,-116.6,-31.3,-55.9,-108.3,-2893.33
    FBA per unit fulfilment fee,-73.5,-44.1,-53.9,-73.5,-73.5,-14.7,-39.2,-63.7,-39.2,-88.2,-29.4,-53.9,-29.4,-34.3,-63.7,-107.8,-58.8,-34.3,-44.1,-34.3,-58.8,-44.1,-68.6,-63.7,-49,-53.9,-78.4,-53.9,-4.9,-19.6,-58.8,-1607.2
    Referral fee,-49.5,-29.7,-36.3,-49.5,-45.5,-9.9,-26.4,-42.9,-26.4,-59.4,-19.8,-36.3,-19.8,-23.1,-42.9,-72.6,-39.6,-23.1,-29.7,-23.1,-39.6,-29.7,-46.2,-42.9,-33,-36.3,-56.1,-62.7,-26.4,-36.3,-49.5,-1164.2
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-123.81,0,0,0,0,0,0,-123.81
    Compensated clawback,0,0,0,0,0,0,-10.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.38
    FBA disposal fee,0,0,0,0,0,0,0,0,0,-1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,0,13.79
