Parameter/Date,28 February 2025,27 February 2025,26 February 2025,25 February 2025,24 February 2025,23 February 2025,22 February 2025,21 February 2025,20 February 2025,19 February 2025,18 February 2025,17 February 2025,16 February 2025,15 February 2025,14 February 2025,13 February 2025,12 February 2025,11 February 2025,10 February 2025,9 February 2025,8 February 2025,7 February 2025,6 February 2025,5 February 2025,4 February 2025,3 February 2025,2 February 2025,1 February 2025,Total
Sales,307.86,285.87,197.91,461.79,336.85,344.85,321.86,252.89,344.85,344.85,344.85,413.82,459.8,436.81,413.82,551.76,597.74,390.83,482.79,551.76,436.81,459.8,551.76,643.72,344.85,436.81,735.68,505.78,11958.77
    Organic,197.91,109.95,0,219.9,23.99,137.94,183.92,114.95,206.91,137.94,229.9,137.94,114.95,91.96,321.86,275.88,252.89,183.92,206.91,206.91,183.92,183.92,229.9,252.89,91.96,206.91,344.85,160.93,5011.81
    Sponsored Products (same day),109.95,175.92,197.91,241.89,312.86,206.91,137.94,137.94,137.94,206.91,114.95,275.88,344.85,344.85,91.96,275.88,344.85,206.91,275.88,344.85,252.89,275.88,321.86,390.83,252.89,229.9,390.83,344.85,6946.96
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,307.86,285.87,197.91,461.79,336.85,344.85,321.86,252.89,344.85,344.85,344.85,413.82,459.8,436.81,413.82,551.76,597.74,390.83,482.79,551.76,436.81,459.8,551.76,643.72,344.85,436.81,735.68,505.78,11958.77
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,14,13,9,21,15,15,14,11,15,15,15,18,20,19,18,24,27,17,21,25,19,20,24,28,15,19,32,22,525
    Organic,9,5,0,10,1,6,8,5,9,6,10,6,5,4,14,12,12,8,9,10,8,8,10,11,4,9,15,7,221
    Sponsored Products (same day),5,8,9,11,14,9,6,6,6,9,5,12,15,15,4,12,15,9,12,15,11,12,14,17,11,10,17,15,304
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,14,13,9,21,15,15,14,11,15,15,15,18,20,19,18,24,27,17,21,25,19,20,24,28,15,19,32,22,525
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-88.99,-125.39,-111.95,-154.3,-148.83,-173.03,-165.38,-119.52,-139.46,-162.86,-165.12,-176.15,-246.15,-186.31,-121.28,-158.1,-183.56,-219.86,-219.46,-284.35,-236.02,-197.67,-183.29,-201.08,-184.4,-217.3,-270.94,-260.14,-5100.89
    Sponsored Products,-88.99,-125.39,-111.95,-154.3,-148.83,-173.03,-165.38,-119.52,-139.46,-162.86,-165.12,-176.15,-246.15,-186.31,-121.28,-158.1,-183.56,-219.86,-219.46,-284.35,-236.02,-197.67,-183.29,-201.08,-184.4,-217.3,-270.94,-260.14,-5100.89
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-20.23,-20.23,0,0,0,0,4.5,0,0,0,-20.23,-20.23,0,0,0,0,0,-20.23,0,-56.19,0,0,0,0,0,0,-152.84
    Refunded referral fee,0,0,3.45,3.45,0,0,0,0,0,0,0,0,3.45,3.45,0,0,0,0,0,3.45,0,10.35,0,0,0,0,0,0,27.6
    Value of returned items,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,9
