Parameter/Date,31 May 2025,30 May 2025,29 May 2025,28 May 2025,27 May 2025,26 May 2025,25 May 2025,24 May 2025,23 May 2025,22 May 2025,21 May 2025,20 May 2025,19 May 2025,18 May 2025,17 May 2025,16 May 2025,15 May 2025,14 May 2025,13 May 2025,12 May 2025,11 May 2025,10 May 2025,9 May 2025,8 May 2025,7 May 2025,6 May 2025,5 May 2025,4 May 2025,3 May 2025,2 May 2025,1 May 2025,Total
Sales,275.88,321.86,339.85,194.91,440.79,503.76,398.81,188.91,209.9,209.9,335.84,650.69,398.81,419.8,461.78,230.89,356.83,356.83,419.8,356.83,440.79,419.8,335.84,335.84,356.83,314.85,566.73,377.82,482.77,377.82,314.85,11396.61
    Organic,137.94,183.92,156.93,40.98,230.89,230.89,125.94,146.93,62.97,62.97,209.9,398.81,167.92,146.93,230.89,83.96,167.92,188.91,230.89,125.94,230.89,146.93,146.93,167.92,209.9,146.93,272.87,125.94,146.93,188.91,146.93,5263.51
    Sponsored Products (same day),137.94,137.94,182.92,153.93,209.9,272.87,272.87,41.98,146.93,146.93,125.94,251.88,230.89,272.87,230.89,146.93,188.91,167.92,188.91,230.89,209.9,272.87,188.91,167.92,146.93,167.92,293.86,251.88,335.84,188.91,167.92,6133.1
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,275.88,321.86,339.85,194.91,440.79,503.76,398.81,188.91,209.9,209.9,335.84,650.69,398.81,419.8,461.78,230.89,356.83,356.83,419.8,356.83,440.79,419.8,335.84,335.84,356.83,314.85,566.73,377.82,482.77,377.82,314.85,11396.61
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,12,14,15,9,21,24,19,9,10,10,16,31,19,20,22,11,17,17,20,17,21,20,16,16,17,15,27,18,23,18,15,539
    Organic,6,8,7,2,11,11,6,7,3,3,10,19,8,7,11,4,8,9,11,6,11,7,7,8,10,7,13,6,7,9,7,249
    Sponsored Products (same day),6,6,8,7,10,13,13,2,7,7,6,12,11,13,11,7,9,8,9,11,10,13,9,8,7,8,14,12,16,9,8,290
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,12,14,15,9,21,24,19,9,10,10,16,31,19,20,22,11,17,17,20,17,21,20,16,16,17,15,27,18,23,18,15,539
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-111.89,-83.17,-104.79,-96.34,-128.08,-182.31,-136.03,-92.75,-107.55,-116.83,-131.8,-133.13,-119.35,-184.34,-115.65,-96.63,-96.87,-114.48,-117.93,-110.29,-148.76,-112.48,-110.43,-95.32,-105.07,-166.43,-146.14,-199.11,-156.69,-110.65,-113.6,-3844.89
    Sponsored Products,-111.89,-83.17,-104.79,-96.34,-128.08,-182.31,-136.03,-92.75,-107.55,-116.83,-131.8,-133.13,-119.35,-184.34,-115.65,-96.63,-96.87,-114.48,-117.93,-110.29,-148.76,-112.48,-110.43,-95.32,-105.07,-166.43,-146.14,-199.11,-156.69,-110.65,-113.6,-3844.89
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-18.47,-13.97,-13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,-18.47,0,0,4.5,-55.88
    Value of returned items,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5,18
    Refunded referral fee,0,3.15,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.6
    Refund commission,0,-0.63,-0.63,-0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63,0,0,0,-2.52
    Refunded amount,0,-20.99,-20.99,-20.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.99,0,0,0,-83.96
Amazon fees,-104.76,-122.22,-130.2,-76.77,-163.62,-202.32,-160.17,-75.87,-789.89,-84.3,-134.88,-261.33,-160.17,-155.19,-185.46,-92.73,-143.31,-143.31,-168.6,-143.31,-177.03,-168.6,-134.88,-134.88,-190.75,-126.45,-227.61,-151.74,-193.89,-151.74,-126.45,-5282.43
    FBA per unit fulfilment fee,-63.36,-73.92,-79.2,-47.52,-110.88,-126.72,-100.32,-47.52,-52.8,-52.8,-84.48,-163.68,-100.32,-105.6,-116.16,-58.08,-89.76,-89.76,-105.6,-89.76,-110.88,-105.6,-84.48,-84.48,-89.76,-79.2,-142.56,-95.04,-121.44,-95.04,-79.2,-2845.92
    Referral fee,-41.4,-48.3,-51,-29.25,-66.15,-75.6,-59.85,-28.35,-31.5,-31.5,-50.4,-97.65,-59.85,-63,-69.3,-34.65,-53.55,-53.55,-63,-53.55,-66.15,-63,-50.4,-50.4,-53.55,-47.25,-85.05,-56.7,-72.45,-56.7,-47.25,-1710.3
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,-705.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-705.59
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.85,0,0,0,0,0,0,-60.85
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41
    Reversal reimbursement,0,0,0,0,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.41,0,0,0,0,0,0,26.82
Cost of goods,-54,-63,-67.5,-40.5,-94.5,-108,-85.5,-40.5,-45,-45,-72,-139.5,-85.5,-90,-99,-49.5,-76.5,-76.5,-90,-76.5,-94.5,-90,-72,-72,-76.5,-67.5,-121.5,-81,-103.5,-81,-67.5,-2425.5
    Cost of goods sold,-54,-63,-67.5,-40.5,-94.5,-108,-85.5,-40.5,-45,-45,-72,-139.5,-85.5,-90,-99,-49.5,-76.5,-76.5,-90,-76.5,-94.5,-90,-72,-72,-76.5,-67.5,-121.5,-81,-103.5,-81,-67.5,-2425.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
