Parameter/Date,31 October 2024,30 October 2024,29 October 2024,28 October 2024,27 October 2024,26 October 2024,25 October 2024,24 October 2024,23 October 2024,22 October 2024,21 October 2024,20 October 2024,19 October 2024,18 October 2024,17 October 2024,16 October 2024,15 October 2024,14 October 2024,13 October 2024,12 October 2024,11 October 2024,10 October 2024,9 October 2024,8 October 2024,7 October 2024,6 October 2024,5 October 2024,4 October 2024,3 October 2024,2 October 2024,1 October 2024,Total
Sales,219.9,263.88,197.91,329.85,439.8,307.86,219.9,373.83,241.89,153.93,197.91,219.9,109.95,175.92,109.95,197.91,461.79,263.88,109.95,373.83,131.94,263.88,285.87,483.78,175.92,175.92,285.87,219.9,131.94,219.9,153.93,7498.59
    Organic,65.97,87.96,175.92,219.9,153.93,219.9,175.92,197.91,175.92,43.98,153.93,87.96,0,65.97,43.98,175.92,219.9,43.98,65.97,241.89,21.99,219.9,109.95,307.86,21.99,109.95,175.92,153.93,65.97,109.95,87.96,4002.18
    Sponsored Products (same day),153.93,175.92,21.99,109.95,285.87,87.96,43.98,175.92,65.97,109.95,43.98,131.94,109.95,109.95,65.97,21.99,241.89,219.9,43.98,131.94,109.95,43.98,175.92,175.92,153.93,65.97,109.95,65.97,65.97,109.95,65.97,3496.41
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,219.9,263.88,197.91,329.85,439.8,307.86,219.9,373.83,241.89,153.93,197.91,219.9,109.95,175.92,109.95,197.91,461.79,263.88,109.95,373.83,131.94,263.88,285.87,483.78,175.92,175.92,285.87,219.9,131.94,219.9,153.93,7498.59
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,12,10,15,20,14,10,17,11,7,9,10,5,8,5,9,21,12,5,17,6,12,13,23,8,8,13,10,6,10,7,343
    Organic,3,4,9,10,7,10,8,9,8,2,7,4,0,3,2,8,10,2,3,11,1,10,5,15,1,5,8,7,3,5,4,184
    Sponsored Products (same day),7,8,1,5,13,4,2,8,3,5,2,6,5,5,3,1,11,10,2,6,5,2,8,8,7,3,5,3,3,5,3,159
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,12,10,15,20,14,10,17,11,7,9,10,5,8,5,9,21,12,5,17,6,12,13,23,8,8,13,10,6,10,7,343
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,8
Promo,-26.4,0,0,0,-52.8,0,0,0,0,0,0,0,0,0,0,0,-52.8,0,0,0,0,0,0,-48.4,0,0,-16.5,0,0,0,0,-196.9
Advertising cost,-72.14,-56.07,-66.68,-45.91,-130.82,-60.02,-44.79,-60.68,-54.21,-66.63,-47.45,-86.37,-63.68,-57.04,-69.41,-54.44,-86.62,-65.09,-88.12,-73.01,-46.5,-47.69,-83.72,-131.91,-57.95,-51.24,-72.87,-34.12,-45.5,-37.92,-38.22,-1996.82
    Sponsored Products,-72.14,-56.07,-66.68,-45.91,-130.82,-60.02,-44.79,-60.68,-54.21,-66.63,-47.45,-86.37,-63.68,-57.04,-69.41,-54.44,-86.62,-65.09,-88.12,-73.01,-46.5,-47.69,-83.72,-131.91,-57.95,-51.24,-72.87,-34.12,-45.5,-37.92,-38.22,-1996.82
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-14.85,0,0,-19.35,-19.35,0,0,0,-19.35,0,0,0,0,0,0,0,0,0,0,0,-16.45,-19.35,0,0,-19.35,-16.45,0,0,0,-144.5
    Refunded referral fee,0,0,3.3,0,0,3.3,3.3,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,2.8,3.3,0,0,3.3,2.8,0,0,0,25.4
    Promotion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,3.3,0,0,0,6.6
    Value of returned items,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
    Refund commission,0,0,-0.66,0,0,-0.66,-0.66,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,-0.56,-0.66,0,0,-0.66,-0.56,0,0,0,-5.08
    Refunded amount,0,0,-21.99,0,0,-21.99,-21.99,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,-21.99,-21.99,0,0,-21.99,-21.99,0,0,0,-175.92
Amazon fees,-84.94,-106.68,-80.01,-120.25,-169.88,-124.46,-75.8,-151.13,-97.79,-62.23,-80.01,-88.9,-44.45,-71.12,-44.45,-80.01,-178.77,-105.44,-43.83,-135.87,-52.1,-103.27,-113.07,-181.5,-112.43,-68.64,-109.04,-85.8,-51.48,-85.8,-60.06,-2969.21
    FBA per unit fulfilment fee,-55.9,-67.08,-50.31,-83.85,-111.8,-78.26,-55.9,-95.03,-61.49,-39.13,-50.31,-55.9,-27.95,-44.72,-27.95,-50.31,-117.39,-65.84,-27.33,-90.38,-32.3,-63.67,-68.64,-116.16,-42.24,-42.24,-68.64,-52.8,-31.68,-52.8,-36.96,-1864.96
    Referral fee,-29.04,-39.6,-29.7,-49.5,-58.08,-46.2,-33,-56.1,-36.3,-23.1,-29.7,-33,-16.5,-26.4,-16.5,-29.7,-61.38,-39.6,-16.5,-56.1,-19.8,-39.6,-42.9,-65.34,-26.4,-26.4,-40.4,-33,-19.8,-33,-23.1,-1095.74
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.79,0,0,0,0,0,0,-43.79
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53,0,0,0,0,0,0,0,0,-1.53
    Warehouse damage,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1
    Reversal reimbursement,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.61,0,0,0,0,0,0,0,0,0,0,0,23.71
Cost of goods,-45,-54,-45,-67.5,-90,-63,-49.5,-76.5,-49.5,-31.5,-40.5,-45,-22.5,-36,-22.5,-40.5,-94.5,-54,-22.5,-76.5,-27,-54,-58.5,-103.5,-36,-36,-58.5,-45,-27,-45,-31.5,-1548
