Parameter/Date,31 December 2022,30 December 2022,29 December 2022,28 December 2022,27 December 2022,26 December 2022,25 December 2022,24 December 2022,23 December 2022,22 December 2022,21 December 2022,20 December 2022,19 December 2022,18 December 2022,17 December 2022,16 December 2022,15 December 2022,14 December 2022,13 December 2022,12 December 2022,11 December 2022,10 December 2022,9 December 2022,8 December 2022,7 December 2022,6 December 2022,5 December 2022,4 December 2022,3 December 2022,2 December 2022,1 December 2022,Total
Sales,505.77,373.83,615.72,615.72,857.61,483.78,505.77,329.85,351.84,329.85,263.88,241.89,631.9,483.78,571.74,307.86,455.93,483.78,483.78,439.8,549.75,417.81,241.89,439.8,505.77,219.9,505.77,461.79,681.69,241.89,329.85,13929.99
    Organic,505.77,373.83,615.72,615.72,857.61,483.78,505.77,329.85,351.84,329.85,263.88,241.89,631.9,483.78,571.74,307.86,455.93,483.78,483.78,439.8,549.75,417.81,241.89,439.8,505.77,219.9,505.77,461.79,681.69,241.89,329.85,13929.99
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,505.77,373.83,615.72,615.72,857.61,483.78,505.77,329.85,351.84,329.85,263.88,241.89,631.9,483.78,571.74,307.86,455.93,483.78,483.78,439.8,549.75,417.81,241.89,439.8,505.77,219.9,505.77,461.79,681.69,241.89,329.85,13929.99
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,23,17,28,28,39,22,23,15,16,15,12,11,29,22,26,14,21,22,22,20,25,19,11,20,23,10,23,21,31,11,15,634
    Organic,23,17,28,28,39,22,23,15,16,15,12,11,29,22,26,14,21,22,22,20,25,19,11,20,23,10,23,21,31,11,15,634
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,23,17,28,28,39,22,23,15,16,15,12,11,29,22,26,14,21,22,22,20,25,19,11,20,23,10,23,21,31,11,15,634
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,0,12
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
