Parameter/Date,30 November 2022,29 November 2022,28 November 2022,27 November 2022,26 November 2022,25 November 2022,24 November 2022,23 November 2022,22 November 2022,21 November 2022,20 November 2022,19 November 2022,18 November 2022,17 November 2022,16 November 2022,15 November 2022,14 November 2022,13 November 2022,12 November 2022,11 November 2022,10 November 2022,9 November 2022,8 November 2022,7 November 2022,6 November 2022,5 November 2022,4 November 2022,3 November 2022,2 November 2022,1 November 2022,Total
Sales,373.83,395.82,549.75,571.74,505.77,637.71,373.83,483.78,522.18,395.82,571.74,593.73,417.81,637.71,593.73,505.77,571.74,483.78,593.73,571.74,483.78,505.77,307.86,527.76,527.76,417.81,285.87,527.76,395.82,351.84,14683.74
    Organic,373.83,395.82,549.75,571.74,505.77,637.71,373.83,483.78,522.18,395.82,571.74,593.73,417.81,637.71,593.73,505.77,571.74,483.78,593.73,571.74,483.78,505.77,307.86,527.76,527.76,417.81,285.87,527.76,395.82,351.84,14683.74
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,373.83,395.82,549.75,571.74,505.77,637.71,373.83,483.78,522.18,395.82,571.74,593.73,417.81,637.71,593.73,505.77,571.74,483.78,593.73,571.74,483.78,505.77,307.86,527.76,527.76,417.81,285.87,527.76,395.82,351.84,14683.74
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,17,18,25,26,23,29,17,22,24,18,26,27,20,29,27,23,26,22,27,26,22,23,14,25,24,19,13,24,18,16,670
    Organic,17,18,25,26,23,29,17,22,24,18,26,27,20,29,27,23,26,22,27,26,22,23,14,25,24,19,13,24,18,16,670
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,17,18,25,26,23,29,17,22,24,18,26,27,20,29,27,23,26,22,27,26,22,23,14,25,24,19,13,24,18,16,670
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-17.6,-17.6,-15.4,-2.2,-63.8
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,-19.35,0,0,0,0,0,0,0,0,4.5,-19.35,0,0,0,4.5,-19.35,0,-14.85,0,0,-19.35,0,0,0,0,0,-83.25
    Refunded referral fee,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,3.3,0,3.3,0,0,3.3,0,0,0,0,0,16.5
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,4.5,0,0,4.5,0,0,0,0,0,0,0,0,13.5
    Refund commission,0,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,-0.66,0,0,0,0,-0.66,0,-0.66,0,0,-0.66,0,0,0,0,0,-3.3
    Refunded amount,0,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,-21.99,0,0,0,0,-21.99,0,-21.99,0,0,-21.99,0,0,0,0,0,-109.95
Amazon fees,-153.17,-162.18,-225.25,-221.28,-207.23,-261.29,-153.17,-198.22,-218.91,-162.18,-220.97,-243.27,-171.19,-261.29,-234.04,-207.23,-225.09,-198.22,-243.27,-238.01,-198.22,-207.23,-438.13,-216.24,-216.24,-169.54,-114.49,-213.61,-159.88,-143.83,-6282.87
    FBA per unit fulfilment fee,-97.07,-102.78,-142.75,-148.46,-131.33,-165.59,-97.07,-125.62,-140.55,-102.78,-148.46,-154.17,-108.49,-165.59,-154.17,-131.33,-148.47,-125.62,-154.17,-148.46,-125.62,-131.33,-79.95,-137.04,-137.04,-108.49,-74.23,-137.05,-102.79,-91.36,-3817.83
    Referral fee,-56.1,-59.4,-82.5,-85.8,-75.9,-95.7,-56.1,-72.6,-78.36,-59.4,-85.8,-89.1,-62.7,-95.7,-89.1,-75.9,-85.8,-72.6,-89.1,-85.8,-72.6,-75.9,-46.2,-79.2,-79.2,-61.05,-40.26,-76.56,-57.09,-52.47,-2193.99
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-311.98,0,0,0,0,0,0,0,-311.98
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.75,0,-1.5,0,0,-3.75,0,0,0,0,0,0,0,0,0,0,-9
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29
    Reversal reimbursement,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.96
Cost of goods,-76.5,-81,-112.5,-117,-103.5,-130.5,-76.5,-99,-108,-81,-117,-121.5,-90,-130.5,-121.5,-103.5,-121.5,-99,-121.5,-117,-99,-103.5,-63,-112.5,-108,-85.5,-58.5,-108,-81,-72,-3019.5
    Cost of goods sold,-76.5,-81,-112.5,-117,-103.5,-130.5,-76.5,-99,-108,-81,-117,-121.5,-90,-130.5,-121.5,-103.5,-117,-99,-121.5,-117,-99,-103.5,-63,-112.5,-108,-85.5,-58.5,-108,-81,-72,-3015
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
