Parameter/Date,31 January 2023,30 January 2023,29 January 2023,28 January 2023,27 January 2023,26 January 2023,25 January 2023,24 January 2023,23 January 2023,22 January 2023,21 January 2023,20 January 2023,19 January 2023,18 January 2023,17 January 2023,16 January 2023,15 January 2023,14 January 2023,13 January 2023,12 January 2023,11 January 2023,10 January 2023,9 January 2023,8 January 2023,7 January 2023,6 January 2023,5 January 2023,4 January 2023,3 January 2023,2 January 2023,1 January 2023,Total
Sales,285.87,241.89,197.91,219.9,131.94,109.95,241.89,285.87,263.88,263.88,219.9,285.87,197.91,219.9,0,0,0,0,21.99,0,0,0,0,0,0,21.99,21.99,0,0,0,175.92,3408.45
    Organic,285.87,241.89,197.91,219.9,131.94,109.95,241.89,285.87,263.88,263.88,219.9,285.87,197.91,219.9,0,0,0,0,21.99,0,0,0,0,0,0,21.99,21.99,0,0,0,175.92,3408.45
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,285.87,241.89,197.91,219.9,131.94,109.95,241.89,285.87,263.88,263.88,219.9,285.87,197.91,219.9,0,0,0,0,21.99,0,0,0,0,0,0,21.99,21.99,0,0,0,175.92,3408.45
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,14,11,9,10,6,5,11,13,12,12,10,13,9,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,156
    Organic,14,11,9,10,6,5,11,13,12,12,10,13,9,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,156
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,14,11,9,10,6,5,11,13,12,12,10,13,9,10,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,8,156
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,-19.35,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5,0,0,0,0,0,-38.7,0,0,0,0,0,-49.05
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,9
    Refunded referral fee,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,9.9
    Refund commission,0,0,0,0,0,0,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.32,0,0,0,0,0,-1.98
    Refunded amount,0,0,0,0,0,0,-21.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.98,0,0,0,0,0,-65.97
Amazon fees,-113.1,-95.7,-78.3,-89.25,-52.2,-43.5,-95.7,-113.1,-105.15,-104.4,-87,-113.1,-78.3,-74.02,0,0,5.81,0,-8.7,0,0,0,12.98,0,-76.75,-9.01,-9.01,0,0,0,-72.08,-1399.58
