Parameter/Date,31 August 2022,30 August 2022,29 August 2022,28 August 2022,27 August 2022,26 August 2022,25 August 2022,24 August 2022,23 August 2022,22 August 2022,21 August 2022,20 August 2022,19 August 2022,18 August 2022,17 August 2022,16 August 2022,15 August 2022,14 August 2022,13 August 2022,12 August 2022,11 August 2022,10 August 2022,9 August 2022,8 August 2022,7 August 2022,6 August 2022,5 August 2022,4 August 2022,3 August 2022,2 August 2022,1 August 2022,Total
Sales,483.78,307.86,395.82,351.84,395.82,373.83,241.89,373.83,307.86,329.85,241.89,285.87,285.87,263.88,373.83,351.84,395.82,527.76,483.78,219.9,439.8,505.77,593.73,505.77,351.84,329.85,417.81,483.78,505.77,417.81,417.81,11962.56
    Organic,483.78,307.86,395.82,351.84,395.82,373.83,241.89,373.83,307.86,329.85,241.89,285.87,285.87,263.88,373.83,351.84,395.82,527.76,483.78,219.9,439.8,505.77,593.73,505.77,351.84,329.85,417.81,483.78,505.77,417.81,417.81,11962.56
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,483.78,307.86,395.82,351.84,395.82,373.83,241.89,373.83,307.86,329.85,241.89,285.87,285.87,263.88,373.83,351.84,395.82,527.76,483.78,219.9,439.8,505.77,593.73,505.77,351.84,329.85,417.81,483.78,505.77,417.81,417.81,11962.56
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,22,14,18,16,18,17,11,17,15,15,11,13,13,12,17,16,18,24,22,10,20,23,27,23,16,15,19,22,23,19,19,545
    Organic,22,14,18,16,18,17,11,17,15,15,11,13,13,12,17,16,18,24,22,10,20,23,27,23,16,15,19,22,23,19,19,545
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,22,14,18,16,18,17,11,17,15,15,11,13,13,12,17,16,18,24,22,10,20,23,27,23,16,15,19,22,23,19,19,545
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,1,2,0,0,1,0,0,1,0,1,4,0,1,18
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-19.35,0,0,0,0,0,0,-38.7,0,-19.35,-19.35,-38.7,0,0,0,0,-19.35,-37.82,0,9,-19.35,0,0,-19.35,4.5,-18.47,-66.64,4.5,-18.47,-316.9
    Refunded referral fee,0,0,3.3,0,0,0,0,0,0,6.6,0,3.3,3.3,6.6,0,0,0,0,3.3,6.45,0,0,3.3,0,0,3.3,0,3.15,12.9,0,3.15,58.65
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4.5,0,9,4.5,0,27
    Refund commission,0,0,-0.66,0,0,0,0,0,0,-1.32,0,-0.66,-0.66,-1.32,0,0,0,0,-0.66,-1.29,0,0,-0.66,0,0,-0.66,0,-0.63,-2.58,0,-0.63,-11.73
    Refunded amount,0,0,-21.99,0,0,0,0,0,0,-43.98,0,-21.99,-21.99,-43.98,0,0,0,0,-21.99,-42.98,0,0,-21.99,0,0,-21.99,0,-20.99,-85.96,0,-20.99,-390.82
Amazon fees,-191.4,-121.8,-156.59,-139.2,-156.6,-123.01,-70.82,-110.58,-121.8,-130.5,-95.7,-113.1,-113.1,-104.4,-147.89,-126.76,-156.6,-208.8,-202.38,-62.12,-174,-200.1,-221.59,-187.66,-237.53,-130.5,-152.86,-191.39,-187.66,-165.3,-165.3,-4667.04
    FBA per unit fulfilment fee,-118.8,-75.6,-97.19,-86.4,-97.2,-91.79,-59.4,-91.8,-75.6,-81,-59.4,-70.2,-70.2,-64.8,-91.79,-86.4,-97.2,-129.6,-118.78,-54,-108,-124.2,-145.78,-124.2,-86.4,-81,-102.6,-118.79,-124.2,-102.6,-102.6,-2937.52
    Referral fee,-72.6,-46.2,-59.4,-52.8,-59.4,-56.1,-36.3,-56.1,-46.2,-49.5,-36.3,-42.9,-42.9,-39.6,-56.1,-52.8,-59.4,-79.2,-72.6,-33,-66,-75.9,-89.1,-75.9,-52.8,-49.5,-62.7,-72.6,-75.9,-62.7,-62.7,-1795.2
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98.33,0,0,0,0,0,0,-98.33
    Compensated clawback,0,0,0,0,0,0,0,-12.44,0,0,0,0,0,0,0,0,0,0,-23.44,0,0,0,0,0,0,0,0,0,0,0,0,-35.88
    Reversal reimbursement,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,13.29,0,0,0,0,0,0,0,0,38.17
    Warehouse damage,0,0,0,0,0,24.88,12.44,49.76,0,0,0,0,0,0,0,12.44,0,0,0,24.88,0,0,0,12.44,0,0,12.44,0,12.44,0,0,161.72
Cost of goods,-99,-63,-81,-72,-81,-85.5,-54,-90,-67.5,-67.5,-49.5,-58.5,-58.5,-54,-76.5,-76.5,-81,-108,-90,-54,-90,-103.5,-121.5,-108,-72,-67.5,-90,-99,-108,-85.5,-85.5,-2497.5
    Cost of goods sold,-99,-63,-81,-72,-81,-76.5,-49.5,-76.5,-67.5,-67.5,-49.5,-58.5,-58.5,-54,-76.5,-72,-81,-108,-99,-45,-90,-103.5,-121.5,-103.5,-72,-67.5,-85.5,-99,-103.5,-85.5,-85.5,-2452.5
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,-9,-4.5,-13.5,0,0,0,0,0,0,0,-4.5,0,0,9,-9,0,0,0,-4.5,0,0,-4.5,0,-4.5,0,0,-45
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,193.38,123.06,138.88,140.64,158.22,165.32,117.07,173.25,118.56,93.15,96.69,94.92,94.92,66.78,149.44,148.58,158.22,210.96,172.05,65.96,175.8,211.17,231.29,210.11,42.31,112.5,179.45,174.92,143.47,171.51,148.54,4481.12
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,193.38,123.06,138.88,140.64,158.22,165.32,117.07,173.25,118.56,93.15,96.69,94.92,94.92,66.78,149.44,148.58,158.22,210.96,172.05,65.96,175.8,211.17,231.29,210.11,42.31,112.5,179.45,174.92,143.47,171.51,148.54,4481.12
Estimated payout,292.38,186.06,219.88,212.64,239.22,250.82,171.07,263.25,186.06,160.65,146.19,153.42,153.42,120.78,225.94,225.08,239.22,318.96,262.05,119.96,265.8,305.67,352.79,318.11,114.31,180,264.95,273.92,242.47,252.51,234.04,6951.62
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,5.56%,0%,0%,0%,0%,0%,0%,13.33%,0%,7.69%,7.69%,16.67%,0%,0%,0%,0%,4.55%,20%,0%,0%,3.7%,0%,0%,6.67%,0%,4.55%,17.39%,0%,5.26%,3.3%
Sellable returns,,,,0%,,,0%,,,,,,,,,,0%,,0%,0%,,100%,,,,0%,100%,,66.67%,100%,,37.5%
Margin,39.97%,39.97%,35.09%,39.97%,39.97%,44.22%,48.4%,46.34%,38.51%,28.24%,39.97%,33.2%,33.2%,25.31%,39.98%,42.23%,39.97%,39.97%,35.56%,30%,39.97%,41.75%,38.96%,41.54%,12.03%,34.11%,42.95%,36.16%,28.37%,41.05%,35.55%,37.46%
ROI,195.33%,195.33%,171.46%,195.33%,195.33%,193.36%,216.8%,192.5%,175.64%,138%,195.33%,162.26%,162.26%,123.67%,195.35%,194.22%,195.33%,195.33%,191.17%,122.15%,195.33%,204.03%,190.36%,194.55%,58.76%,166.67%,199.39%,176.69%,132.84%,200.6%,173.73%,179.42%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
