Parameter/Date,30 June 2024,29 June 2024,28 June 2024,27 June 2024,26 June 2024,25 June 2024,24 June 2024,23 June 2024,22 June 2024,21 June 2024,20 June 2024,19 June 2024,18 June 2024,17 June 2024,16 June 2024,15 June 2024,14 June 2024,13 June 2024,12 June 2024,11 June 2024,10 June 2024,9 June 2024,8 June 2024,7 June 2024,6 June 2024,5 June 2024,4 June 2024,3 June 2024,2 June 2024,1 June 2024,Total
Sales,395.82,241.89,153.93,241.89,263.88,197.91,153.93,153.93,109.95,197.91,197.91,373.83,197.91,219.9,197.91,153.93,285.87,153.93,285.87,175.92,351.84,351.84,373.83,329.85,285.87,241.89,307.86,329.85,263.88,373.83,7564.56
    Organic,87.96,87.96,131.94,175.92,87.96,197.91,153.93,153.93,87.96,153.93,175.92,329.85,109.95,197.91,197.91,131.94,263.88,131.94,285.87,153.93,285.87,197.91,329.85,307.86,175.92,175.92,197.91,307.86,241.89,219.9,5739.39
    Sponsored Products (same day),307.86,153.93,21.99,65.97,175.92,0,0,0,21.99,43.98,21.99,43.98,87.96,21.99,0,21.99,21.99,21.99,0,21.99,65.97,153.93,43.98,21.99,109.95,65.97,109.95,21.99,21.99,153.93,1825.17
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,395.82,241.89,153.93,241.89,263.88,197.91,153.93,153.93,109.95,197.91,197.91,373.83,197.91,219.9,197.91,153.93,285.87,153.93,285.87,175.92,351.84,351.84,373.83,329.85,285.87,241.89,307.86,329.85,263.88,373.83,7564.56
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,18,11,7,11,12,9,7,7,5,9,9,17,9,10,9,7,13,7,13,8,16,16,17,15,13,11,14,15,12,17,344
    Organic,4,4,6,8,4,9,7,7,4,7,8,15,5,9,9,6,12,6,13,7,13,9,15,14,8,8,9,14,11,10,261
    Sponsored Products (same day),14,7,1,3,8,0,0,0,1,2,1,2,4,1,0,1,1,1,0,1,3,7,2,1,5,3,5,1,1,7,83
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,18,11,7,11,12,9,7,7,5,9,9,17,9,10,9,7,13,7,13,8,16,16,17,15,13,11,14,15,12,17,344
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-103.53,-105.32,-26.62,-17.64,-25.81,-20.25,-30.51,-47.57,-32.8,-37.22,-39.25,-60.91,-63.22,-53.74,-62.53,-42.5,-50.76,-40.09,-51.06,-39.61,-63.22,-96.5,-75.43,-61.89,-78.78,-66.53,-84.74,-83.14,-99.31,-87.51,-1747.99
    Sponsored Products,-103.53,-105.32,-26.62,-17.64,-25.81,-20.25,-30.51,-26.49,-17.51,-18.46,-12.72,-26.53,-26.42,-12.93,-14.99,-9.8,-8.41,-14.27,-9.75,-7.57,-18.23,-50.27,-33.07,-24.98,-50.45,-41.92,-49.78,-41.76,-66.24,-49.13,-961.36
    Sponsored Brands,0,0,0,0,0,0,0,-21.08,-15.29,-18.76,-26.53,-34.38,-36.8,-40.81,-47.54,-32.7,-42.35,-25.82,-41.31,-32.04,-44.99,-46.23,-42.36,-36.91,-28.33,-24.61,-34.96,-41.38,-33.07,-38.38,-786.63
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,-19.35,0,-19.35,-19.35,0,0,0,0,0,0,-19.35,0,0,-14.85,0,0,-19.35,0,0,0,0,0,-111.6
    Refunded referral fee,0,0,0,0,0,0,0,0,3.3,0,3.3,3.3,0,0,0,0,0,0,3.3,0,0,3.3,0,0,3.3,0,0,0,0,0,19.8
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,4.5
    Refund commission,0,0,0,0,0,0,0,0,-0.66,0,-0.66,-0.66,0,0,0,0,0,0,-0.66,0,0,-0.66,0,0,-0.66,0,0,0,0,0,-3.96
    Refunded amount,0,0,0,0,0,0,0,0,-21.99,0,-21.99,-21.99,0,0,0,0,0,0,-21.99,0,0,-21.99,0,0,-21.99,0,0,0,0,0,-131.94
Amazon fees,-142.7,-90.2,-57.4,-90.2,-98.4,-73.8,-57.4,-57.4,-41,-66.9,-73.8,-125.61,-75.33,-82,-73.8,-57.4,-92.81,-57.4,-106.6,-65.6,-131.2,-131.2,-139.4,-123,-181.86,-76.61,-114.8,-123,-98.4,-139.4,-2844.62
    FBA per unit fulfilment fee,-83.3,-53.9,-34.3,-53.9,-58.8,-44.1,-34.3,-34.3,-24.5,-44.1,-44.1,-83.3,-44.1,-49,-44.1,-34.3,-63.7,-34.3,-63.7,-39.2,-78.4,-78.4,-83.3,-73.5,-63.7,-53.9,-68.6,-73.5,-58.8,-83.3,-1680.7
    Referral fee,-59.4,-36.3,-23.1,-36.3,-39.6,-29.7,-23.1,-23.1,-16.5,-29.7,-29.7,-56.1,-29.7,-33,-29.7,-23.1,-42.9,-23.1,-42.9,-26.4,-52.8,-52.8,-56.1,-49.5,-42.9,-36.3,-46.2,-49.5,-39.6,-56.1,-1135.2
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.26,0,0,0,0,0,-75.26
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,-1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53
    Warehouse lost manual,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.59,0,0,0,0,13.59
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0,27.58
Cost of goods,-81,-49.5,-31.5,-49.5,-54,-40.5,-31.5,-31.5,-22.5,-45,-40.5,-76.5,-40.5,-45,-40.5,-31.5,-58.5,-31.5,-58.5,-36,-72,-72,-76.5,-67.5,-58.5,-49.5,-63,-67.5,-54,-76.5,-1552.5
    Cost of goods sold,-81,-49.5,-31.5,-49.5,-54,-40.5,-31.5,-31.5,-22.5,-40.5,-40.5,-76.5,-40.5,-45,-40.5,-31.5,-58.5,-31.5,-58.5,-36,-72,-72,-76.5,-67.5,-58.5,-49.5,-63,-67.5,-54,-76.5,-1548
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
