Parameter/Date,31 October 2025,30 October 2025,29 October 2025,28 October 2025,27 October 2025,26 October 2025,25 October 2025,24 October 2025,23 October 2025,22 October 2025,21 October 2025,20 October 2025,19 October 2025,18 October 2025,17 October 2025,16 October 2025,15 October 2025,14 October 2025,13 October 2025,12 October 2025,11 October 2025,10 October 2025,9 October 2025,8 October 2025,7 October 2025,6 October 2025,5 October 2025,4 October 2025,3 October 2025,2 October 2025,1 October 2025,Total
Sales,119.92,104.93,44.97,164.89,104.93,134.91,44.97,44.97,179.88,59.96,104.93,164.89,179.88,134.91,59.96,179.88,194.87,119.92,104.93,209.86,194.87,164.89,164.89,224.85,314.79,134.91,134.91,134.91,44.97,164.89,149.9,4287.14
    Organic,119.92,104.93,44.97,164.89,104.93,134.91,44.97,44.97,179.88,59.96,104.93,164.89,179.88,134.91,59.96,179.88,194.87,119.92,104.93,209.86,194.87,164.89,164.89,224.85,314.79,134.91,134.91,134.91,44.97,164.89,149.9,4287.14
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,119.92,104.93,44.97,164.89,104.93,134.91,44.97,44.97,179.88,59.96,104.93,164.89,179.88,134.91,59.96,179.88,194.87,119.92,104.93,209.86,194.87,164.89,164.89,224.85,314.79,134.91,134.91,134.91,44.97,164.89,149.9,4287.14
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,8,7,3,11,7,9,3,3,12,4,7,11,12,9,4,12,13,8,7,14,13,11,11,15,22,9,9,9,3,11,10,287
    Organic,8,7,3,11,7,9,3,3,12,4,7,11,12,9,4,12,13,8,7,14,13,11,11,15,22,9,9,9,3,11,10,287
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,8,7,3,11,7,9,3,3,12,4,7,11,12,9,4,12,13,8,7,14,13,11,11,15,22,9,9,9,3,11,10,287
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,12
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
