Parameter/Date,31 August 2022,30 August 2022,29 August 2022,28 August 2022,27 August 2022,26 August 2022,25 August 2022,24 August 2022,23 August 2022,22 August 2022,21 August 2022,20 August 2022,19 August 2022,18 August 2022,17 August 2022,16 August 2022,15 August 2022,14 August 2022,13 August 2022,12 August 2022,11 August 2022,10 August 2022,9 August 2022,8 August 2022,7 August 2022,6 August 2022,5 August 2022,4 August 2022,3 August 2022,2 August 2022,1 August 2022,Total
Sales,94.95,18.99,37.98,75.96,113.94,56.97,56.97,56.97,18.99,18.99,113.94,18.99,56.97,56.97,56.97,18.99,37.98,94.95,18.99,37.98,0,18.99,18.99,18.99,0,0,0,0,0,0,0,1120.41
    Organic,94.95,18.99,37.98,75.96,113.94,56.97,56.97,56.97,18.99,18.99,113.94,18.99,56.97,56.97,56.97,18.99,37.98,94.95,18.99,37.98,0,18.99,18.99,18.99,0,0,0,0,0,0,0,1120.41
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,94.95,18.99,37.98,75.96,113.94,56.97,56.97,56.97,18.99,18.99,113.94,18.99,56.97,56.97,56.97,18.99,37.98,94.95,18.99,37.98,0,18.99,18.99,18.99,0,0,0,0,0,0,0,1120.41
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,5,1,2,4,6,3,3,3,1,1,6,1,3,3,3,1,2,5,1,2,0,1,1,1,0,0,0,0,0,0,0,59
    Organic,5,1,2,4,6,3,3,3,1,1,6,1,3,3,3,1,2,5,1,2,0,1,1,1,0,0,0,0,0,0,0,59
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,5,1,2,4,6,3,3,3,1,1,6,1,3,3,3,1,2,5,1,2,0,1,1,1,0,0,0,0,0,0,0,59
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,-16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.71
    Refunded referral fee,0,0,0,0,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85
    Refund commission,0,0,0,0,0,0,0,0,0,-0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57
    Refunded amount,0,0,0,0,0,0,0,0,0,-18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.99
Amazon fees,-34.05,-6.81,-13.62,-27.24,-40.86,-20.43,-20.43,-20.43,-6.81,-6.81,-40.86,-6.81,-20.43,-20.43,-20.43,-6.81,-13.62,-34.05,-6.81,-13.62,0,-6.81,-6.81,-6.81,0,0,0,0,0,0,0,-401.79
    FBA per unit fulfilment fee,-19.8,-3.96,-7.92,-15.84,-23.76,-11.88,-11.88,-11.88,-3.96,-3.96,-23.76,-3.96,-11.88,-11.88,-11.88,-3.96,-7.92,-19.8,-3.96,-7.92,0,-3.96,-3.96,-3.96,0,0,0,0,0,0,0,-233.64
    Referral fee,-14.25,-2.85,-5.7,-11.4,-17.1,-8.55,-8.55,-8.55,-2.85,-2.85,-17.1,-2.85,-8.55,-8.55,-8.55,-2.85,-5.7,-14.25,-2.85,-5.7,0,-2.85,-2.85,-2.85,0,0,0,0,0,0,0,-168.15
Cost of goods,-13.65,-2.73,-5.46,-10.92,-16.38,-8.19,-8.19,-8.19,-2.73,-2.73,-16.38,-2.73,-8.19,-8.19,-8.19,-2.73,-5.46,-13.65,-2.73,-5.46,0,-2.73,-2.73,-2.73,0,0,0,0,0,0,0,-161.07
    Cost of goods sold,-13.65,-2.73,-5.46,-10.92,-16.38,-8.19,-8.19,-8.19,-2.73,-2.73,-16.38,-2.73,-8.19,-8.19,-8.19,-2.73,-5.46,-13.65,-2.73,-5.46,0,-2.73,-2.73,-2.73,0,0,0,0,0,0,0,-161.07
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,47.25,9.45,18.9,37.8,56.7,28.35,28.35,28.35,9.45,-7.26,56.7,9.45,28.35,28.35,28.35,9.45,18.9,47.25,9.45,18.9,0,9.45,9.45,9.45,0,0,0,0,0,0,0,540.84
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,47.25,9.45,18.9,37.8,56.7,28.35,28.35,28.35,9.45,-7.26,56.7,9.45,28.35,28.35,28.35,9.45,18.9,47.25,9.45,18.9,0,9.45,9.45,9.45,0,0,0,0,0,0,0,540.84
Estimated payout,60.9,12.18,24.36,48.72,73.08,36.54,36.54,36.54,12.18,-4.53,73.08,12.18,36.54,36.54,36.54,12.18,24.36,60.9,12.18,24.36,0,12.18,12.18,12.18,0,0,0,0,0,0,0,701.91
