Parameter/Date,31 March 2024,30 March 2024,29 March 2024,28 March 2024,27 March 2024,26 March 2024,25 March 2024,24 March 2024,23 March 2024,22 March 2024,21 March 2024,20 March 2024,19 March 2024,18 March 2024,17 March 2024,16 March 2024,15 March 2024,14 March 2024,13 March 2024,12 March 2024,11 March 2024,10 March 2024,9 March 2024,8 March 2024,7 March 2024,6 March 2024,5 March 2024,4 March 2024,3 March 2024,2 March 2024,1 March 2024,Total
Sales,305.82,220.87,288.83,305.82,373.78,305.82,373.78,509.7,271.84,203.88,390.77,407.76,373.78,254.85,288.83,390.77,220.87,169.9,220.87,271.84,254.85,373.78,424.75,322.81,305.82,356.79,322.81,271.84,390.77,254.85,135.92,9565.37
    Organic,67.96,186.89,186.89,169.9,135.92,237.86,152.91,237.86,203.88,101.94,271.84,220.87,220.87,152.91,203.88,288.83,152.91,84.95,135.92,169.9,152.91,186.89,220.87,186.89,169.9,118.93,220.87,135.92,271.84,169.9,84.95,5504.76
    Sponsored Products (same day),237.86,33.98,101.94,135.92,237.86,67.96,220.87,271.84,67.96,101.94,118.93,186.89,152.91,101.94,84.95,101.94,67.96,84.95,84.95,101.94,101.94,186.89,203.88,135.92,135.92,237.86,101.94,135.92,118.93,84.95,50.97,4060.61
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,305.82,220.87,288.83,305.82,373.78,305.82,373.78,509.7,271.84,203.88,390.77,407.76,373.78,254.85,288.83,390.77,220.87,169.9,220.87,271.84,254.85,373.78,424.75,322.81,305.82,356.79,322.81,271.84,390.77,254.85,135.92,9565.37
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,18,13,17,18,22,18,22,30,16,12,23,24,22,15,17,23,13,11,13,16,15,22,25,19,18,21,19,16,23,15,8,564
    Organic,4,11,11,10,8,14,9,14,12,6,16,13,13,9,12,17,9,6,8,10,9,11,13,11,10,7,13,8,16,10,5,325
    Sponsored Products (same day),14,2,6,8,14,4,13,16,4,6,7,11,9,6,5,6,4,5,5,6,6,11,12,8,8,14,6,8,7,5,3,239
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,18,13,17,18,22,18,22,30,16,12,23,24,22,15,17,23,13,11,13,16,15,22,25,19,18,21,19,16,23,15,8,564
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-53.24,-44.66,-40.95,-45.69,-70.29,-49.2,-67.47,-72.91,-62.11,-51.08,-34.34,-68.61,-58.03,-65.31,-59.88,-64.82,-57.97,-60.49,-69.38,-45.82,-49.26,-57.88,-52.81,-55,-44.48,-59.57,-48.95,-48.39,-48.26,-43.84,-40.1,-1690.79
    Sponsored Products,-53.24,-44.66,-40.95,-45.69,-70.29,-49.2,-67.47,-72.91,-62.11,-51.08,-34.34,-68.61,-58.03,-65.31,-59.88,-64.82,-57.97,-60.49,-69.38,-45.82,-49.26,-57.88,-52.81,-55,-44.48,-59.57,-48.95,-48.39,-48.26,-43.84,-40.1,-1690.79
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-14.95,0,-14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,2.73,0,-42.12
    Refunded referral fee,2.55,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,7.65
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,2.73
    Refund commission,-0.51,0,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,-1.53
