Parameter/Date,31 January 2025,30 January 2025,29 January 2025,28 January 2025,27 January 2025,26 January 2025,25 January 2025,24 January 2025,23 January 2025,22 January 2025,21 January 2025,20 January 2025,19 January 2025,18 January 2025,17 January 2025,16 January 2025,15 January 2025,14 January 2025,13 January 2025,12 January 2025,11 January 2025,10 January 2025,9 January 2025,8 January 2025,7 January 2025,6 January 2025,5 January 2025,4 January 2025,3 January 2025,2 January 2025,1 January 2025,Total
Sales,125.93,125.93,161.91,125.93,233.87,107.94,179.9,35.98,215.88,161.91,197.89,107.94,179.9,251.86,125.93,143.92,107.94,179.9,179.9,269.85,215.88,89.95,53.97,89.95,143.92,71.96,53.97,251.86,179.9,125.93,269.85,4767.35
    Organic,125.93,125.93,161.91,125.93,233.87,107.94,179.9,35.98,215.88,161.91,197.89,107.94,179.9,251.86,125.93,143.92,107.94,179.9,179.9,269.85,215.88,89.95,53.97,89.95,143.92,71.96,53.97,251.86,179.9,125.93,269.85,4767.35
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,125.93,125.93,161.91,125.93,233.87,107.94,179.9,35.98,215.88,161.91,197.89,107.94,179.9,251.86,125.93,143.92,107.94,179.9,179.9,269.85,215.88,89.95,53.97,89.95,143.92,71.96,53.97,251.86,179.9,125.93,269.85,4767.35
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,7,7,9,7,13,6,10,2,12,9,11,6,10,14,7,8,6,10,10,15,12,5,3,5,8,4,3,14,10,9,15,267
    Organic,7,7,9,7,13,6,10,2,12,9,11,6,10,14,7,8,6,10,10,15,12,5,3,5,8,4,3,14,10,9,15,267
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,7,7,9,7,13,6,10,2,12,9,11,6,10,14,7,8,6,10,10,15,12,5,3,5,8,4,3,14,10,9,15,267
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,-15.83,0,0,0,0,0,0,-15.83,0,0,-15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.49
    Refunded referral fee,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,2.7,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
    Refund commission,0,0,0,0,0,0,0,-0.54,0,0,0,0,0,0,-0.54,0,0,-0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62
    Refunded amount,0,0,0,0,0,0,0,-17.99,0,0,0,0,0,0,-17.99,0,0,-17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.97
Amazon fees,-47.95,-47.95,-61.65,-47.95,-89.05,-41.1,-68.5,-13.7,-31.03,-61.65,-75.35,-41.1,-68.5,-95.9,-47.95,-54.8,-43.28,-69.62,-70.18,-106.11,-85,-35.37,-21.39,-35.65,-239.85,-28.52,-21.39,-99.82,-71.3,-49.91,-106.95,-1978.47
    FBA per unit fulfilment fee,-29.05,-29.05,-37.35,-29.05,-53.95,-24.9,-41.5,-8.3,-49.8,-37.35,-45.65,-24.9,-41.5,-58.1,-29.05,-33.2,-24.9,-42.62,-43.18,-65.61,-52.6,-21.87,-13.29,-22.15,-35.44,-17.72,-13.29,-62.02,-44.3,-31.01,-66.45,-1129.15
    Referral fee,-18.9,-18.9,-24.3,-18.9,-35.1,-16.2,-27,-5.4,-32.4,-24.3,-29.7,-16.2,-27,-37.8,-18.9,-21.6,-16.2,-27,-27,-40.5,-32.4,-13.5,-8.1,-13.5,-21.6,-10.8,-8.1,-37.8,-27,-18.9,-40.5,-715.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-182.81,0,0,0,0,0,0,-182.81
    Long term storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.18
