Parameter/Date,30 September 2024,29 September 2024,28 September 2024,27 September 2024,26 September 2024,25 September 2024,24 September 2024,23 September 2024,22 September 2024,21 September 2024,20 September 2024,19 September 2024,18 September 2024,17 September 2024,16 September 2024,15 September 2024,14 September 2024,13 September 2024,12 September 2024,11 September 2024,10 September 2024,9 September 2024,8 September 2024,7 September 2024,6 September 2024,5 September 2024,4 September 2024,3 September 2024,2 September 2024,1 September 2024,Total
Sales,33.98,67.96,135.92,16.99,50.97,135.92,84.95,84.95,169.9,101.94,101.94,33.98,50.97,203.88,118.93,135.92,135.92,50.97,118.93,84.95,67.96,101.94,169.9,84.95,84.95,118.93,118.93,16.99,118.93,118.93,2922.28
    Organic,33.98,67.96,135.92,16.99,50.97,135.92,84.95,84.95,169.9,101.94,101.94,33.98,50.97,203.88,118.93,135.92,135.92,50.97,118.93,84.95,67.96,101.94,169.9,84.95,84.95,118.93,118.93,16.99,118.93,118.93,2922.28
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,33.98,67.96,135.92,16.99,50.97,135.92,84.95,84.95,169.9,101.94,101.94,33.98,50.97,203.88,118.93,135.92,135.92,50.97,118.93,84.95,67.96,101.94,169.9,84.95,84.95,118.93,118.93,16.99,118.93,118.93,2922.28
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,2,4,8,1,4,8,5,5,10,6,6,2,3,12,7,8,8,3,7,5,4,6,10,5,5,7,7,1,7,7,173
    Organic,2,4,8,1,4,8,5,5,10,6,6,2,3,12,7,8,8,3,7,5,4,6,10,5,5,7,7,1,7,7,173
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,2,4,8,1,4,8,5,5,10,6,6,2,3,12,7,8,8,3,7,5,4,6,10,5,5,7,7,1,7,7,173
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,-5.1,0,-7.65,0,0,0,0,0,0,-10.2,0,0,0,0,0,-12.75,0,0,0,0,0,0,0,-35.7
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,-14.95,0,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,-14.95,5.46,0,0,0,0,0,0,0,0,0,-39.39
    Refunded referral fee,0,0,0,0,2.55,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,7.65
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,5.46
    Refund commission,0,0,0,0,-0.51,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,0,-1.53
    Refunded amount,0,0,0,0,-16.99,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,0,-50.97
Amazon fees,-3.11,-26.8,-53.6,-6.7,-20.1,-53.6,-33.5,-32.74,-67,-39.06,-40.2,-13.4,-69.97,-80.4,-46.9,-53.6,-52.08,-20.1,-46.9,-33.5,-26.8,-40.2,-65.1,-33.5,-33.5,-46.9,-46.9,-6.7,-46.9,-46.9,-1186.66
    FBA per unit fulfilment fee,-8.3,-16.6,-33.2,-4.15,-12.45,-33.2,-20.75,-20.75,-41.5,-24.9,-24.9,-8.3,-12.45,-49.8,-29.05,-33.2,-33.2,-12.45,-29.05,-20.75,-16.6,-24.9,-41.5,-20.75,-20.75,-29.05,-29.05,-4.15,-29.05,-29.05,-713.8
    Referral fee,-5.1,-10.2,-20.4,-2.55,-7.65,-20.4,-12.75,-11.99,-25.5,-14.16,-15.3,-5.1,-7.65,-30.6,-17.85,-20.4,-18.88,-7.65,-17.85,-12.75,-10.2,-15.3,-23.6,-12.75,-12.75,-17.85,-17.85,-2.55,-17.85,-17.85,-433.28
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,-49.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49.87
    Warehouse lost manual,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
Cost of goods,-8.19,-10.92,-21.84,-2.73,-10.92,-21.84,-13.65,-13.65,-27.3,-16.38,-16.38,-5.46,-8.19,-32.76,-19.11,-21.84,-21.84,-8.19,-19.11,-13.65,-10.92,-16.38,-27.3,-13.65,-13.65,-19.11,-19.11,-2.73,-19.11,-19.11,-475.02
    Cost of goods sold,-5.46,-10.92,-21.84,-2.73,-10.92,-21.84,-13.65,-13.65,-27.3,-16.38,-16.38,-5.46,-8.19,-32.76,-19.11,-21.84,-21.84,-8.19,-19.11,-13.65,-10.92,-16.38,-27.3,-13.65,-13.65,-19.11,-19.11,-2.73,-19.11,-19.11,-472.29
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
