Parameter/Date,30 November 2022,29 November 2022,28 November 2022,27 November 2022,26 November 2022,25 November 2022,24 November 2022,23 November 2022,22 November 2022,21 November 2022,20 November 2022,19 November 2022,18 November 2022,17 November 2022,16 November 2022,15 November 2022,14 November 2022,13 November 2022,12 November 2022,11 November 2022,10 November 2022,9 November 2022,8 November 2022,7 November 2022,6 November 2022,5 November 2022,4 November 2022,3 November 2022,2 November 2022,1 November 2022,Total
Sales,0,94.95,94.95,75.96,37.98,151.92,94.95,56.97,94.95,56.97,113.94,37.98,113.94,56.97,94.95,56.97,75.96,37.98,37.98,37.98,94.95,56.97,94.95,75.96,113.94,113.94,56.97,75.96,75.96,75.96,2259.81
    Organic,0,94.95,94.95,75.96,37.98,151.92,94.95,56.97,94.95,56.97,113.94,37.98,113.94,56.97,94.95,56.97,75.96,37.98,37.98,37.98,94.95,56.97,94.95,75.96,113.94,113.94,56.97,75.96,75.96,75.96,2259.81
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,94.95,94.95,75.96,37.98,151.92,94.95,56.97,94.95,56.97,113.94,37.98,113.94,56.97,94.95,56.97,75.96,37.98,37.98,37.98,94.95,56.97,94.95,75.96,113.94,113.94,56.97,75.96,75.96,75.96,2259.81
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,5,5,4,2,8,5,3,5,3,6,2,6,3,5,3,4,2,2,2,5,3,5,4,6,6,3,4,4,4,119
    Organic,0,5,5,4,2,8,5,3,5,3,6,2,6,3,5,3,4,2,2,2,5,3,5,4,6,6,3,4,4,4,119
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,5,5,4,2,8,5,3,5,3,6,2,6,3,5,3,4,2,2,2,5,3,5,4,6,6,3,4,4,4,119
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
