Parameter/Date,31 October 2022,30 October 2022,29 October 2022,28 October 2022,27 October 2022,26 October 2022,25 October 2022,24 October 2022,23 October 2022,22 October 2022,21 October 2022,20 October 2022,19 October 2022,18 October 2022,17 October 2022,16 October 2022,15 October 2022,14 October 2022,13 October 2022,12 October 2022,11 October 2022,10 October 2022,9 October 2022,8 October 2022,7 October 2022,6 October 2022,5 October 2022,4 October 2022,3 October 2022,2 October 2022,1 October 2022,Total
Sales,75.96,75.96,37.98,56.97,56.97,94.95,75.96,56.97,56.97,56.97,94.95,56.97,94.95,94.95,151.92,94.95,56.97,75.96,0,60.76,91.14,37.98,75.96,18.99,151.92,75.96,75.96,94.95,151.92,56.97,151.92,2411.71
    Organic,75.96,75.96,37.98,56.97,56.97,94.95,75.96,56.97,56.97,56.97,94.95,56.97,94.95,94.95,151.92,94.95,56.97,75.96,0,60.76,91.14,37.98,75.96,18.99,151.92,75.96,75.96,94.95,151.92,56.97,151.92,2411.71
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,75.96,75.96,37.98,56.97,56.97,94.95,75.96,56.97,56.97,56.97,94.95,56.97,94.95,94.95,151.92,94.95,56.97,75.96,0,60.76,91.14,37.98,75.96,18.99,151.92,75.96,75.96,94.95,151.92,56.97,151.92,2411.71
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,4,4,2,3,3,5,4,3,3,3,5,3,5,5,8,5,3,4,0,4,6,2,4,1,8,4,4,5,8,3,8,129
    Organic,4,4,2,3,3,5,4,3,3,3,5,3,5,5,8,5,3,4,0,4,6,2,4,1,8,4,4,5,8,3,8,129
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,4,4,2,3,3,5,4,3,3,3,5,3,5,5,8,5,3,4,0,4,6,2,4,1,8,4,4,5,8,3,8,129
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,-16.71,0,0,0,-16.71,-16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,-47.4
    Refunded referral fee,0,0,0,2.85,0,0,0,2.85,2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,2.73
    Refund commission,0,0,0,-0.57,0,0,0,-0.57,-0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.71
    Refunded amount,0,0,0,-18.99,0,0,0,-18.99,-18.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56.97
Amazon fees,-28.48,-28.48,-14.24,-21.36,-21.36,-35.6,-28.48,-21.36,-21.36,-21.36,-35.6,-21.36,-32.75,-35.6,-56.96,-35.6,-21.36,-27.86,0,-24.96,-37.44,-13.62,-68.52,-6.81,-54.48,-27.24,-27.24,-34.57,-54.48,-20.43,-54.48,-933.44
    FBA per unit fulfilment fee,-17.08,-17.08,-8.54,-12.81,-12.81,-21.35,-17.08,-12.81,-12.81,-12.81,-21.35,-12.81,-21.35,-21.35,-34.16,-21.35,-12.81,-16.46,0,-15.84,-23.76,-7.92,-15.84,-3.96,-31.68,-15.84,-15.84,-19.8,-31.68,-11.88,-31.68,-532.54
    Referral fee,-11.4,-11.4,-5.7,-8.55,-8.55,-14.25,-11.4,-8.55,-8.55,-8.55,-14.25,-8.55,-11.4,-14.25,-22.8,-14.25,-8.55,-11.4,0,-9.12,-13.68,-5.7,-11.4,-2.85,-22.8,-11.4,-11.4,-14.25,-22.8,-8.55,-22.8,-359.1
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.28,0,0,0,0,0,0,0,0,-41.28
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52,0,0,0,-0.52
Cost of goods,-10.92,-10.92,-5.46,-8.19,-8.19,-13.65,-10.92,-8.19,-8.19,-8.19,-13.65,-8.19,-13.65,-13.65,-21.84,-13.65,-8.19,-10.92,0,-10.92,-16.38,-5.46,-10.92,-2.73,-21.84,-10.92,-10.92,-13.65,-21.84,-8.19,-21.84,-352.17
