Parameter/Date,30 November 2024,29 November 2024,28 November 2024,27 November 2024,26 November 2024,25 November 2024,24 November 2024,23 November 2024,22 November 2024,21 November 2024,20 November 2024,19 November 2024,18 November 2024,17 November 2024,16 November 2024,15 November 2024,14 November 2024,13 November 2024,12 November 2024,11 November 2024,10 November 2024,9 November 2024,8 November 2024,7 November 2024,6 November 2024,5 November 2024,4 November 2024,3 November 2024,2 November 2024,1 November 2024,Total
Sales,149.9,119.92,44.97,84.95,152.91,152.91,67.96,169.9,305.82,118.93,118.93,152.91,135.92,220.87,50.97,118.93,67.96,84.95,118.93,203.88,84.95,101.94,152.91,186.89,152.91,0,84.95,101.94,152.91,67.96,3729.78
    Organic,149.9,119.92,44.97,84.95,152.91,152.91,67.96,169.9,305.82,118.93,118.93,152.91,135.92,220.87,50.97,118.93,67.96,84.95,118.93,203.88,84.95,101.94,152.91,186.89,152.91,0,84.95,101.94,152.91,67.96,3729.78
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,149.9,119.92,44.97,84.95,152.91,152.91,67.96,169.9,305.82,118.93,118.93,152.91,135.92,220.87,50.97,118.93,67.96,84.95,118.93,203.88,84.95,101.94,152.91,186.89,152.91,0,84.95,101.94,152.91,67.96,3729.78
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,8,3,5,9,10,4,10,18,7,7,9,8,13,3,7,4,5,7,12,5,6,9,11,9,0,5,6,9,4,223
    Organic,10,8,3,5,9,10,4,10,18,7,7,9,8,13,3,7,4,5,7,12,5,6,9,11,9,0,5,6,9,4,223
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,8,3,5,9,10,4,10,18,7,7,9,8,13,3,7,4,5,7,12,5,6,9,11,9,0,5,6,9,4,223
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,-40.8,0,0,0,0,0,0,0,0,0,0,-13.6,0,0,0,-20.4,0,0,0,0,0,0,-74.8
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-11.96,0,0,0,0,-14.95,0,-14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.86
    Refunded referral fee,2.04,0,0,0,0,2.55,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14
    Promotion,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
    Refund commission,-0.41,0,0,0,0,-0.51,0,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43
    Refunded amount,-16.99,0,0,0,0,-16.99,0,-16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50.97
Amazon fees,-56.79,-53.44,-30.33,-34.9,-62.82,-52.53,-27.92,-69.8,-119.52,-48.86,-48.86,-62.82,-55.84,-318.21,-20.94,-48.86,-48.5,-45.19,-69.44,-81.72,-34.9,-41.88,-62.82,-73.72,-287.35,0,-34.9,-41.88,-62.82,-27.92,-2025.48
    FBA per unit fulfilment fee,-44.3,-35.44,-13.29,-22.15,-39.87,-39.87,-17.72,-44.3,-79.74,-31.01,-31.01,-39.87,-35.44,-57.59,-13.29,-31.01,-17.72,-22.15,-31.01,-53.16,-22.15,-26.58,-39.87,-48.73,-39.87,0,-22.15,-26.58,-39.87,-17.72,-983.46
    Referral fee,-22.5,-18,-6.75,-12.75,-22.95,-22.95,-10.2,-25.5,-39.78,-17.85,-17.85,-22.95,-20.4,-33.15,-7.65,-17.85,-10.2,-12.75,-17.85,-28.56,-12.75,-15.3,-22.95,-24.99,-22.95,0,-12.75,-15.3,-22.95,-10.2,-548.58
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-227.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-227.47
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-224.53,0,0,0,0,0,-224.53
    Compensated clawback,0,0,-10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.58,-10.29,-20.58,0,0,0,0,0,0,0,0,0,0,0,-61.74
    Warehouse damage,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01
    Free replacement refund items,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
