Parameter/Date,31 May 2025,30 May 2025,29 May 2025,28 May 2025,27 May 2025,26 May 2025,25 May 2025,24 May 2025,23 May 2025,22 May 2025,21 May 2025,20 May 2025,19 May 2025,18 May 2025,17 May 2025,16 May 2025,15 May 2025,14 May 2025,13 May 2025,12 May 2025,11 May 2025,10 May 2025,9 May 2025,8 May 2025,7 May 2025,6 May 2025,5 May 2025,4 May 2025,3 May 2025,2 May 2025,1 May 2025,Total
Sales,95.94,175.89,111.93,144.91,118.93,118.93,50.97,169.9,101.94,118.93,67.96,101.94,135.92,203.88,169.9,186.89,67.96,118.93,67.96,50.97,135.92,67.96,118.93,152.91,67.96,101.94,33.98,84.95,135.92,135.92,50.97,3467.94
    Organic,95.94,175.89,111.93,144.91,118.93,118.93,50.97,169.9,101.94,118.93,67.96,101.94,135.92,203.88,169.9,186.89,67.96,118.93,67.96,50.97,135.92,67.96,118.93,152.91,67.96,101.94,33.98,84.95,135.92,135.92,50.97,3467.94
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,95.94,175.89,111.93,144.91,118.93,118.93,50.97,169.9,101.94,118.93,67.96,101.94,135.92,203.88,169.9,186.89,67.96,118.93,67.96,50.97,135.92,67.96,118.93,152.91,67.96,101.94,33.98,84.95,135.92,135.92,50.97,3467.94
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,6,11,7,9,7,7,3,10,6,7,4,6,8,12,10,11,4,7,4,3,8,4,7,9,4,6,2,5,8,8,3,206
    Organic,6,11,7,9,7,7,3,10,6,7,4,6,8,12,10,11,4,7,4,3,8,4,7,9,4,6,2,5,8,8,3,206
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,6,11,7,9,7,7,3,10,6,7,4,6,8,12,10,11,4,7,4,3,8,4,7,9,4,6,2,5,8,8,3,206
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,-14.95,0,0,0,0,0,-44.85
    Refunded referral fee,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,2.55,0,0,0,0,0,7.65
    Refund commission,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,-1.53
    Refunded amount,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,-50.97
Amazon fees,-29.01,-72.05,-45.85,-59.1,-46.9,-46.9,-20.1,-67,-275.24,-46.9,-26.8,-40.2,-53.6,-80.4,-67,-73.7,-35.33,-46.9,-26.8,-20.1,-53.6,-26.8,-46.9,-60.3,-73.61,-40.2,-13.4,-33.5,-53.6,-53.6,-20.1,-1655.49
    FBA per unit fulfilment fee,-24.9,-45.65,-29.05,-37.35,-29.05,-29.05,-12.45,-41.5,-24.9,-29.05,-16.6,-24.9,-33.2,-49.8,-41.5,-45.65,-16.6,-29.05,-16.6,-12.45,-33.2,-16.6,-29.05,-37.35,-16.6,-24.9,-8.3,-20.75,-33.2,-33.2,-12.45,-854.9
    Referral fee,-14.4,-26.4,-16.8,-21.75,-17.85,-17.85,-7.65,-25.5,-15.3,-17.85,-10.2,-15.3,-20.4,-30.6,-25.5,-28.05,-10.2,-17.85,-10.2,-7.65,-20.4,-10.2,-17.85,-22.95,-10.2,-15.3,-5.1,-12.75,-20.4,-20.4,-7.65,-520.5
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,-235.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-235.04
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.81,0,0,0,0,0,0,-46.81
    Long term storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.53
    Free replacement refund items,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
Cost of goods,-16.38,-30.03,-19.11,-24.57,-19.11,-19.11,-8.19,-27.3,-16.38,-19.11,-10.92,-16.38,-21.84,-32.76,-27.3,-30.03,-10.92,-19.11,-10.92,-8.19,-21.84,-10.92,-19.11,-24.57,-10.92,-16.38,-5.46,-13.65,-21.84,-21.84,-8.19,-562.38
    Cost of goods sold,-16.38,-30.03,-19.11,-24.57,-19.11,-19.11,-8.19,-27.3,-16.38,-19.11,-10.92,-16.38,-21.84,-32.76,-27.3,-30.03,-10.92,-19.11,-10.92,-8.19,-21.84,-10.92,-19.11,-24.57,-10.92,-16.38,-5.46,-13.65,-21.84,-21.84,-8.19,-562.38
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,50.55,73.81,46.97,61.24,52.92,37.97,22.68,75.6,-189.68,52.92,30.24,45.36,60.48,90.72,75.6,83.16,21.71,37.97,30.24,22.68,60.48,30.24,52.92,68.04,-16.57,30.41,15.12,37.8,60.48,60.48,22.68,1205.22
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,50.55,73.81,46.97,61.24,52.92,37.97,22.68,75.6,-189.68,52.92,30.24,45.36,60.48,90.72,75.6,83.16,21.71,37.97,30.24,22.68,60.48,30.24,52.92,68.04,-16.57,30.41,15.12,37.8,60.48,60.48,22.68,1205.22
Estimated payout,66.93,103.84,66.08,85.81,72.03,57.08,30.87,102.9,-173.3,72.03,41.16,61.74,82.32,123.48,102.9,113.19,32.63,57.08,41.16,30.87,82.32,41.16,72.03,92.61,-5.65,46.79,20.58,51.45,82.32,82.32,30.87,1767.6
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,14.29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14.29%,0%,0%,0%,0%,0%,0%,0%,16.67%,0%,0%,0%,0%,0%,1.46%
Sellable returns,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,0%
Margin,52.69%,41.96%,41.96%,42.26%,44.5%,31.93%,44.5%,44.5%,-186.07%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,31.95%,31.93%,44.5%,44.5%,44.5%,44.5%,44.5%,44.5%,-24.38%,29.83%,44.5%,44.5%,44.5%,44.5%,44.5%,34.75%
ROI,308.61%,245.79%,245.79%,249.25%,276.92%,198.69%,276.92%,276.92%,-1158%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,198.81%,198.69%,276.92%,276.92%,276.92%,276.92%,276.92%,276.92%,-151.74%,185.65%,276.92%,276.92%,276.92%,276.92%,276.92%,214.31%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,26,23,24,16,26,28,18,22,28,25,22,17,32,30,24,18,27,23,16,19,43,28,19,23,20,30,14,29,30,20,20,740
