Parameter/Date,31 October 2023,30 October 2023,29 October 2023,28 October 2023,27 October 2023,26 October 2023,25 October 2023,24 October 2023,23 October 2023,22 October 2023,21 October 2023,20 October 2023,19 October 2023,18 October 2023,17 October 2023,16 October 2023,15 October 2023,14 October 2023,13 October 2023,12 October 2023,11 October 2023,10 October 2023,9 October 2023,8 October 2023,7 October 2023,6 October 2023,5 October 2023,4 October 2023,3 October 2023,2 October 2023,1 October 2023,Total
Sales,143.91,239.85,271.83,143.91,111.93,127.92,143.91,127.92,159.9,159.9,127.92,95.94,175.89,95.94,63.96,127.92,95.94,111.93,63.96,143.91,95.94,95.94,111.93,111.93,127.92,79.95,47.97,95.94,79.95,159.9,15.99,3757.65
    Organic,111.93,143.91,207.87,63.96,95.94,111.93,111.93,79.95,111.93,111.93,79.95,79.95,79.95,79.95,63.96,47.97,95.94,79.95,47.97,111.93,63.96,47.97,79.95,31.98,111.93,47.97,0,63.96,63.96,63.96,15.99,2510.43
    Sponsored Products (same day),31.98,95.94,63.96,79.95,15.99,15.99,31.98,47.97,47.97,47.97,47.97,15.99,95.94,15.99,0,79.95,0,31.98,15.99,31.98,31.98,47.97,31.98,79.95,15.99,31.98,47.97,31.98,15.99,95.94,0,1247.22
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,143.91,239.85,271.83,143.91,111.93,127.92,143.91,127.92,159.9,159.9,127.92,95.94,175.89,95.94,63.96,127.92,95.94,111.93,63.96,143.91,95.94,95.94,111.93,111.93,127.92,79.95,47.97,95.94,79.95,159.9,15.99,3757.65
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,15,17,9,7,8,9,8,10,10,8,6,11,6,4,8,6,7,4,9,6,6,7,7,8,5,3,6,5,10,1,235
    Organic,7,9,13,4,6,7,7,5,7,7,5,5,5,5,4,3,6,5,3,7,4,3,5,2,7,3,0,4,4,4,1,157
    Sponsored Products (same day),2,6,4,5,1,1,2,3,3,3,3,1,6,1,0,5,0,2,1,2,2,3,2,5,1,2,3,2,1,6,0,78
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,15,17,9,7,8,9,8,10,10,8,6,11,6,4,8,6,7,4,9,6,6,7,7,8,5,3,6,5,10,1,235
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-16.55,-28.39,-25.97,-24.27,-11.85,-14.59,-18.02,-20.42,-21.94,-19.67,-20.39,-13.07,-28.82,-17.68,-16.46,-20.49,-19.44,-20.71,-15.82,-14.11,-17.96,-18.51,-14.76,-18.37,-23.65,-15.59,-16.44,-19.84,-10.75,-22.96,-12.95,-580.44
    Sponsored Products,-12.94,-23.89,-18.76,-19.63,-7.3,-8.77,-12.02,-16.08,-17.07,-14.62,-16.56,-8.19,-21.64,-13.13,-12.92,-16.95,-16.23,-16.36,-13.59,-9.8,-14.51,-15.52,-10.78,-15.51,-16.8,-12.95,-14.54,-14.72,-7.08,-18.18,-11.87,-448.91
    Sponsored Brands,-3.61,-4.5,-7.21,-4.64,-4.55,-5.82,-6,-4.34,-4.87,-5.05,-3.83,-4.88,-7.18,-4.55,-3.54,-3.54,-3.21,-4.35,-2.23,-4.31,-3.45,-2.99,-3.98,-2.86,-6.85,-2.64,-1.9,-5.12,-3.67,-4.78,-1.08,-131.53
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,-14.07,0,0,0,0,0,0,-14.07,0,0,0,0,0,0,0,0,-14.07,0,0,0,0,0,0,0,0,0,0,-42.21
    Refunded referral fee,0,0,0,0,2.4,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,7.2
    Refund commission,0,0,0,0,-0.48,0,0,0,0,0,0,-0.48,0,0,0,0,0,0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,-1.44
