Parameter/Date,31 December 2025,30 December 2025,29 December 2025,28 December 2025,27 December 2025,26 December 2025,25 December 2025,24 December 2025,23 December 2025,22 December 2025,21 December 2025,20 December 2025,19 December 2025,18 December 2025,17 December 2025,16 December 2025,15 December 2025,14 December 2025,13 December 2025,12 December 2025,11 December 2025,10 December 2025,9 December 2025,8 December 2025,7 December 2025,6 December 2025,5 December 2025,4 December 2025,3 December 2025,2 December 2025,1 December 2025,Total
Sales,149.9,224.85,254.83,284.81,209.86,329.78,104.93,104.93,119.92,269.82,224.85,134.91,224.85,89.94,89.94,239.84,269.82,269.82,269.82,89.94,104.93,179.88,254.83,179.88,269.82,314.79,104.93,134.91,239.84,134.91,164.89,6040.97
    Organic,149.9,224.85,254.83,284.81,209.86,329.78,104.93,104.93,119.92,269.82,224.85,134.91,224.85,89.94,89.94,239.84,269.82,269.82,269.82,89.94,104.93,179.88,254.83,179.88,269.82,314.79,104.93,134.91,239.84,134.91,164.89,6040.97
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,149.9,224.85,254.83,284.81,209.86,329.78,104.93,104.93,119.92,269.82,224.85,134.91,224.85,89.94,89.94,239.84,269.82,269.82,269.82,89.94,104.93,179.88,254.83,179.88,269.82,314.79,104.93,134.91,239.84,134.91,164.89,6040.97
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,15,17,19,14,22,7,7,8,18,15,9,15,6,6,16,18,18,18,6,7,12,17,12,18,21,7,9,16,9,11,403
    Organic,10,15,17,19,14,22,7,7,8,18,15,9,15,6,6,16,18,18,18,6,7,12,17,12,18,21,7,9,16,9,11,403
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,15,17,19,14,22,7,7,8,18,15,9,15,6,6,16,18,18,18,6,7,12,17,12,18,21,7,9,16,9,11,403
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-13.19,-13.19,0,0,0,0,0,0,0,-13.19,-13.19,0,-13.19,0,0,0,0,0,0,-13.19,-13.19,0,0,0,0,0,2.73,0,0,0,0,-89.6
    Refunded referral fee,2.25,2.25,0,0,0,0,0,0,0,2.25,2.25,0,2.25,0,0,0,0,0,0,2.25,2.25,0,0,0,0,0,0,0,0,0,0,15.75
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,2.73
    Refund commission,-0.45,-0.45,0,0,0,0,0,0,0,-0.45,-0.45,0,-0.45,0,0,0,0,0,0,-0.45,-0.45,0,0,0,0,0,0,0,0,0,0,-3.15
    Refunded amount,-14.99,-14.99,0,0,0,0,0,0,0,-14.99,-14.99,0,-14.99,0,0,0,0,0,0,-14.99,-14.99,0,0,0,0,0,0,0,0,0,0,-104.93
Amazon fees,-66.8,-100.2,-113.56,-126.92,-93.52,-146.96,-46.76,-38.45,-54.48,-120.24,-91.89,-60.12,-91.89,-640.19,-40.08,-106.88,-120.24,-120.24,-120.24,-40.08,-46.76,-80.16,-113.56,-80.16,-373.56,-140.28,-46.76,-60.12,-106.88,-60.12,-73.48,-3521.58
    FBA per unit fulfilment fee,-44.3,-66.45,-75.31,-84.17,-62.02,-97.46,-31.01,-31.01,-35.44,-79.74,-66.45,-39.87,-66.45,-26.58,-26.58,-70.88,-79.74,-79.74,-79.74,-26.58,-31.01,-53.16,-75.31,-53.16,-79.74,-93.03,-31.01,-39.87,-70.88,-39.87,-48.73,-1785.29
    Referral fee,-22.5,-33.75,-38.25,-42.75,-31.5,-49.5,-15.75,-15.75,-18,-40.5,-33.75,-20.25,-33.75,-13.5,-13.5,-36,-40.5,-40.5,-40.5,-13.5,-15.75,-27,-38.25,-27,-40.5,-47.25,-15.75,-20.25,-36,-20.25,-24.75,-906.75
    FBA inbound convenience fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-600.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600.11
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-253.32,0,0,0,0,0,0,-253.32
    FBA disposal fee,0,0,0,0,0,0,0,0,-1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.04
    Reversal reimbursement,0,0,0,0,0,0,0,8.31,0,0,8.31,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.93
Cost of goods,-27.3,-40.95,-46.41,-51.87,-38.22,-60.06,-19.11,-19.11,-21.84,-49.14,-40.95,-24.57,-40.95,-16.38,-16.38,-43.68,-49.14,-49.14,-49.14,-16.38,-19.11,-32.76,-46.41,-32.76,-49.14,-57.33,-19.11,-24.57,-43.68,-24.57,-30.03,-1100.19
    Cost of goods sold,-27.3,-40.95,-46.41,-51.87,-38.22,-60.06,-19.11,-19.11,-21.84,-49.14,-40.95,-24.57,-40.95,-16.38,-16.38,-43.68,-49.14,-49.14,-49.14,-16.38,-19.11,-32.76,-46.41,-32.76,-49.14,-57.33,-19.11,-24.57,-43.68,-24.57,-30.03,-1100.19
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,42.61,70.51,94.86,106.02,78.12,122.76,39.06,47.37,43.6,87.25,78.82,50.22,78.82,-566.63,33.48,89.28,100.44,100.44,100.44,20.29,25.87,66.96,94.86,66.96,-152.88,117.18,41.79,50.22,89.28,50.22,61.38,1329.6
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,42.61,70.51,94.86,106.02,78.12,122.76,39.06,47.37,43.6,87.25,78.82,50.22,78.82,-566.63,33.48,89.28,100.44,100.44,100.44,20.29,25.87,66.96,94.86,66.96,-152.88,117.18,41.79,50.22,89.28,50.22,61.38,1329.6
Estimated payout,69.91,111.46,141.27,157.89,116.34,182.82,58.17,66.48,65.44,136.39,119.77,74.79,119.77,-550.25,49.86,132.96,149.58,149.58,149.58,36.67,44.98,99.72,141.27,99.72,-103.74,174.51,58.17,74.79,132.96,74.79,91.41,2427.06
