Parameter/Date,30 September 2025,29 September 2025,28 September 2025,27 September 2025,26 September 2025,25 September 2025,24 September 2025,23 September 2025,22 September 2025,21 September 2025,20 September 2025,19 September 2025,18 September 2025,17 September 2025,16 September 2025,15 September 2025,14 September 2025,13 September 2025,12 September 2025,11 September 2025,10 September 2025,9 September 2025,8 September 2025,7 September 2025,6 September 2025,5 September 2025,4 September 2025,3 September 2025,2 September 2025,1 September 2025,Total
Sales,59.96,239.84,179.88,164.89,59.96,179.88,74.95,194.87,194.87,239.84,194.87,104.93,104.93,209.86,134.91,269.82,149.9,179.88,179.88,119.92,179.88,104.93,224.85,239.84,209.86,194.87,149.9,164.89,269.82,194.87,5171.55
    Organic,59.96,239.84,179.88,164.89,59.96,179.88,74.95,194.87,194.87,239.84,179.88,104.93,104.93,194.87,134.91,269.82,149.9,179.88,179.88,119.92,179.88,104.93,224.85,239.84,209.86,194.87,149.9,164.89,269.82,194.87,5141.57
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,14.99,0,0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.98
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,59.96,239.84,179.88,164.89,59.96,179.88,74.95,194.87,194.87,239.84,194.87,104.93,104.93,209.86,134.91,269.82,149.9,179.88,179.88,119.92,179.88,104.93,224.85,239.84,209.86,194.87,149.9,164.89,269.82,194.87,5171.55
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,4,16,12,11,4,12,5,13,13,16,13,7,7,14,9,18,10,12,12,8,12,7,15,16,14,13,10,11,18,13,345
    Organic,4,16,12,11,4,12,5,13,13,16,12,7,7,13,9,18,10,12,12,8,12,7,15,16,14,13,10,11,18,13,343
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,4,16,12,11,4,12,5,13,13,16,13,7,7,14,9,18,10,12,12,8,12,7,15,16,14,13,10,11,18,13,345
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
