Parameter/Date,30 November 2023,29 November 2023,28 November 2023,27 November 2023,26 November 2023,25 November 2023,24 November 2023,23 November 2023,22 November 2023,21 November 2023,20 November 2023,19 November 2023,18 November 2023,17 November 2023,16 November 2023,15 November 2023,14 November 2023,13 November 2023,12 November 2023,11 November 2023,10 November 2023,9 November 2023,8 November 2023,7 November 2023,6 November 2023,5 November 2023,4 November 2023,3 November 2023,2 November 2023,1 November 2023,Total
Sales,335.79,159.9,399.75,319.8,223.86,239.85,383.76,111.93,207.87,351.78,511.68,495.69,287.82,303.81,351.78,399.75,319.8,207.87,287.82,207.87,223.86,175.89,175.89,95.94,175.89,207.87,207.87,191.88,111.93,271.83,7947.03
    Organic,159.9,63.96,207.87,239.85,63.96,191.88,239.85,63.96,63.96,47.97,319.8,191.88,223.86,175.89,207.87,175.89,255.84,47.97,159.9,95.94,79.95,143.91,143.91,63.96,143.91,111.93,111.93,143.91,47.97,223.86,4413.24
    Sponsored Products (same day),175.89,95.94,191.88,79.95,159.9,47.97,143.91,47.97,143.91,303.81,191.88,303.81,63.96,127.92,143.91,223.86,63.96,159.9,127.92,111.93,143.91,31.98,31.98,31.98,31.98,95.94,95.94,47.97,63.96,47.97,3533.79
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,335.79,159.9,399.75,319.8,223.86,239.85,383.76,111.93,207.87,351.78,511.68,495.69,287.82,303.81,351.78,399.75,319.8,207.87,287.82,207.87,223.86,175.89,175.89,95.94,175.89,207.87,207.87,191.88,111.93,271.83,7947.03
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,21,10,25,20,14,15,24,7,13,22,32,31,18,19,22,25,20,13,18,13,14,11,11,6,11,13,13,12,7,17,497
    Organic,10,4,13,15,4,12,15,4,4,3,20,12,14,11,13,11,16,3,10,6,5,9,9,4,9,7,7,9,3,14,276
    Sponsored Products (same day),11,6,12,5,10,3,9,3,9,19,12,19,4,8,9,14,4,10,8,7,9,2,2,2,2,6,6,3,4,3,221
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,21,10,25,20,14,15,24,7,13,22,32,31,18,19,22,25,20,13,18,13,14,11,11,6,11,13,13,12,7,17,497
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-76.48,-79.02,-68.71,-70.1,-80.27,-48.41,-80.93,-75.27,-101.71,-119.01,-106.34,-116.03,-84.44,-51.81,-66.36,-75.24,-81.99,-99.74,-93.12,-62.62,-52.49,-26.73,-25.64,-25.47,-28.01,-43.78,-48.98,-25.6,-25.98,-27.76,-1968.04
    Sponsored Products,-72.3,-75.65,-63.03,-67.62,-77.77,-45.5,-76.23,-73.73,-98.58,-115.1,-102.28,-110.27,-80.24,-46.5,-61.97,-70.72,-77.14,-96.33,-87.19,-58.72,-47.18,-20,-21.02,-22.16,-24.91,-39.21,-44.82,-21.44,-18.69,-20.11,-1836.41
    Sponsored Brands,-4.18,-3.37,-5.68,-2.48,-2.5,-2.91,-4.7,-1.54,-3.13,-3.91,-4.06,-5.76,-4.2,-5.31,-4.39,-4.52,-4.85,-3.41,-5.93,-3.9,-5.31,-6.73,-4.62,-3.31,-3.1,-4.57,-4.16,-4.16,-7.29,-7.65,-131.63
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,2.73,0,0,0,-14.07,0,0,0,-28.14,0,0,0,-14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.55
    Refunded referral fee,0,0,0,0,0,2.4,0,0,0,4.8,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6
    Value of returned items,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
    Refund commission,0,0,0,0,0,-0.48,0,0,0,-0.96,0,0,0,-0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.92
    Refunded amount,0,0,0,0,0,-15.99,0,0,0,-31.98,0,0,0,-15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63.96
Amazon fees,-145.74,-69.4,-173.5,-138.8,-97.16,-104.1,-166.56,-39.53,-90.22,-152.68,-222.08,-215.14,-124.92,-133.8,-152.68,-173.5,-138.8,-90.22,-124.92,-90.22,-97.16,-76.34,-76.34,-93.62,-76.34,-90.22,-90.22,-83.28,-48.58,-117.98,-3494.05
    FBA per unit fulfilment fee,-95.34,-45.4,-113.5,-90.8,-63.56,-68.1,-108.96,-31.78,-59.02,-99.88,-145.28,-140.74,-81.72,-86.26,-99.88,-113.5,-90.8,-59.02,-81.72,-59.02,-63.56,-49.94,-49.94,-27.24,-49.94,-59.02,-59.02,-54.48,-31.78,-77.18,-2256.38
    Referral fee,-50.4,-24,-60,-48,-33.6,-36,-57.6,-16.8,-31.2,-52.8,-76.8,-74.4,-43.2,-45.6,-52.8,-60,-48,-31.2,-43.2,-31.2,-33.6,-26.4,-26.4,-14.4,-26.4,-31.2,-31.2,-28.8,-16.8,-40.8,-1192.8
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.98,0,0,0,0,0,0,-51.98
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94
    Warehouse damage,0,0,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05
Cost of goods,-57.33,-27.3,-68.25,-54.6,-38.22,-40.95,-65.52,-21.84,-35.49,-60.06,-87.36,-84.63,-49.14,-51.87,-60.06,-68.25,-54.6,-35.49,-49.14,-35.49,-38.22,-30.03,-30.03,-16.38,-30.03,-35.49,-35.49,-32.76,-19.11,-46.41,-1359.54
    Cost of goods sold,-57.33,-27.3,-68.25,-54.6,-38.22,-40.95,-65.52,-19.11,-35.49,-60.06,-87.36,-84.63,-49.14,-51.87,-60.06,-68.25,-54.6,-35.49,-49.14,-35.49,-38.22,-30.03,-30.03,-16.38,-30.03,-35.49,-35.49,-32.76,-19.11,-46.41,-1356.81
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,56.24,-13.09,89.29,56.3,8.21,32.32,70.75,-24.71,-19.55,-8.11,95.9,79.89,29.32,52.26,72.68,82.76,44.41,-17.58,20.64,19.54,35.99,42.79,43.88,-39.53,41.51,38.38,33.18,50.24,18.26,79.68,1071.85
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,56.24,-13.09,89.29,56.3,8.21,32.32,70.75,-24.71,-19.55,-8.11,95.9,79.89,29.32,52.26,72.68,82.76,44.41,-17.58,20.64,19.54,35.99,42.79,43.88,-39.53,41.51,38.38,33.18,50.24,18.26,79.68,1071.85
Estimated payout,113.57,11.48,157.54,110.9,46.43,73.27,136.27,-2.87,15.94,51.95,183.26,164.52,78.46,104.13,132.74,151.01,99.01,17.91,69.78,55.03,74.21,72.82,73.91,-23.15,71.54,73.87,68.67,83,37.37,126.09,2428.66
Real ACOS,22.78%,49.42%,17.19%,21.92%,35.86%,20.18%,21.09%,67.25%,48.93%,33.83%,20.78%,23.41%,29.34%,17.05%,18.86%,18.82%,25.64%,47.98%,32.35%,30.12%,23.45%,15.2%,14.58%,26.55%,15.92%,21.06%,23.56%,13.34%,23.21%,10.21%,24.76%
% Refunds,0%,0%,0%,0%,0%,6.67%,0%,0%,0%,9.09%,0%,0%,0%,5.26%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.8%
Sellable returns,0%,100%,,,,,,0%,,,,,,,,,,,,,,,,,,,,,0%,,25%
Margin,16.75%,-8.19%,22.34%,17.6%,3.67%,13.48%,18.44%,-22.08%,-9.4%,-2.31%,18.74%,16.12%,10.19%,17.2%,20.66%,20.7%,13.89%,-8.46%,7.17%,9.4%,16.08%,24.33%,24.95%,-41.2%,23.6%,18.46%,15.96%,26.18%,16.31%,29.31%,13.49%
ROI,98.1%,-47.95%,130.83%,103.11%,21.48%,78.93%,107.98%,-113.14%,-55.09%,-13.5%,109.78%,94.4%,59.67%,100.75%,121.01%,121.26%,81.34%,-49.54%,42%,55.06%,94.17%,142.49%,146.12%,-241.33%,138.23%,108.14%,93.49%,153.36%,95.55%,171.69%,78.84%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3217
    Browser sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1312
    Mobile app sessions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1905
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,15.45%
