Parameter/Date,31 July 2024,30 July 2024,29 July 2024,28 July 2024,27 July 2024,26 July 2024,25 July 2024,24 July 2024,23 July 2024,22 July 2024,21 July 2024,20 July 2024,19 July 2024,18 July 2024,17 July 2024,16 July 2024,15 July 2024,14 July 2024,13 July 2024,12 July 2024,11 July 2024,10 July 2024,9 July 2024,8 July 2024,7 July 2024,6 July 2024,5 July 2024,4 July 2024,3 July 2024,2 July 2024,1 July 2024,Total
Sales,50.97,50.97,152.91,118.93,101.94,33.98,135.92,169.9,50.97,186.89,101.94,101.94,84.95,67.96,288.83,118.93,101.94,84.95,135.92,135.92,67.96,135.92,118.93,220.87,118.93,135.92,186.89,169.9,16.99,152.91,101.94,3703.82
    Organic,50.97,50.97,152.91,118.93,101.94,33.98,135.92,169.9,50.97,186.89,101.94,101.94,84.95,67.96,288.83,118.93,101.94,84.95,135.92,135.92,67.96,135.92,118.93,220.87,118.93,135.92,186.89,169.9,16.99,152.91,101.94,3703.82
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,50.97,50.97,152.91,118.93,101.94,33.98,135.92,169.9,50.97,186.89,101.94,101.94,84.95,67.96,288.83,118.93,101.94,84.95,135.92,135.92,67.96,135.92,118.93,220.87,118.93,135.92,186.89,169.9,16.99,152.91,101.94,3703.82
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,3,3,9,7,6,2,8,10,3,11,6,6,5,4,17,7,6,5,8,8,4,8,7,13,8,8,11,10,1,9,6,219
    Organic,3,3,9,7,6,2,8,10,3,11,6,6,5,4,17,7,6,5,8,8,4,8,7,13,8,8,11,10,1,9,6,219
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,3,3,9,7,6,2,8,10,3,11,6,6,5,4,17,7,6,5,8,8,4,8,7,13,8,8,11,10,1,9,6,219
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promo,0,0,0,0,-10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.2
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon fees,-20.1,-20.1,-60.3,-46.9,-38.68,-13.4,-53.6,-56.71,-20.1,-73.7,-40.2,-40.2,-33.5,-26.8,-113.9,-46.9,-40.2,-33.5,-43.31,-53.6,-26.8,-53.6,-46.9,-87.1,-69.93,-53.6,-73.7,-47,-2.55,-31.25,-36.05,-1404.18
    FBA per unit fulfilment fee,-12.45,-12.45,-37.35,-29.05,-24.9,-8.3,-33.2,-41.5,-12.45,-45.65,-24.9,-24.9,-20.75,-16.6,-70.55,-29.05,-24.9,-20.75,-33.2,-33.2,-16.6,-33.2,-29.05,-53.95,-29.05,-33.2,-45.65,-21.5,0,-8.3,-20.75,-847.35
    Referral fee,-7.65,-7.65,-22.95,-17.85,-13.78,-5.1,-20.4,-25.5,-7.65,-28.05,-15.3,-15.3,-12.75,-10.2,-43.35,-17.85,-15.3,-12.75,-20.4,-20.4,-10.2,-20.4,-17.85,-33.15,-17.85,-20.4,-28.05,-25.5,-2.55,-22.95,-15.3,-554.38
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.03,0,0,0,0,0,0,-23.03
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,10.29
    Warehouse lost manual,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
