Parameter/Date,31 August 2025,30 August 2025,29 August 2025,28 August 2025,27 August 2025,26 August 2025,25 August 2025,24 August 2025,23 August 2025,22 August 2025,21 August 2025,20 August 2025,19 August 2025,18 August 2025,17 August 2025,16 August 2025,15 August 2025,14 August 2025,13 August 2025,12 August 2025,11 August 2025,10 August 2025,9 August 2025,8 August 2025,7 August 2025,6 August 2025,5 August 2025,4 August 2025,3 August 2025,2 August 2025,1 August 2025,Total
Sales,209.86,269.82,89.94,194.87,179.88,224.85,164.89,179.88,179.88,239.84,179.88,224.85,149.9,239.84,209.86,149.9,179.88,74.95,134.91,209.86,179.88,164.89,269.82,134.91,104.93,119.92,179.88,164.89,194.87,164.89,104.93,5471.35
    Organic,209.86,254.83,89.94,194.87,179.88,224.85,164.89,179.88,179.88,239.84,179.88,224.85,149.9,239.84,209.86,149.9,179.88,74.95,134.91,209.86,179.88,164.89,269.82,134.91,104.93,119.92,179.88,164.89,194.87,164.89,104.93,5456.36
    Sponsored Products (same day),0,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,209.86,269.82,89.94,194.87,179.88,224.85,164.89,179.88,179.88,239.84,179.88,224.85,149.9,239.84,209.86,149.9,179.88,74.95,134.91,209.86,179.88,164.89,269.82,134.91,104.93,119.92,179.88,164.89,194.87,164.89,104.93,5471.35
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,14,18,6,13,12,15,11,12,12,16,12,15,10,16,14,10,12,5,9,14,12,11,18,9,7,8,12,11,13,11,7,365
    Organic,14,17,6,13,12,15,11,12,12,16,12,15,10,16,14,10,12,5,9,14,12,11,18,9,7,8,12,11,13,11,7,364
    Sponsored Products (same day),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,14,18,6,13,12,15,11,12,12,16,12,15,10,16,14,10,12,5,9,14,12,11,18,9,7,8,12,11,13,11,7,365
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,1,1,1,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,2,17
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,-0.99,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47,-0.49,-1.96,-0.99,-6.21
    Sponsored Products,0,-0.99,0,0,0,0,0,0,0,0,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47,-0.49,-1.96,-0.99,-6.21
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,-10.46,-13.19,-10.46,0,0,0,-13.19,0,-8.14,0,-26.38,0,0,-26.38,0,0,0,0,0,0,2.73,0,0,0,-26.38,-28.14,0,-13.19,-13.19,0,-27.26,-213.63
    Refunded referral fee,2.25,2.25,2.25,0,0,0,2.25,0,2.4,0,4.5,0,0,4.5,0,0,0,0,0,0,0,0,0,0,4.5,4.8,0,2.25,2.25,0,4.65,38.85
    Value of returned items,2.73,0,2.73,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,10.92
    RestockingDeductionPrincipal,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
    Refund commission,-0.45,-0.45,-0.45,0,0,0,-0.45,0,-0.48,0,-0.9,0,0,-0.9,0,0,0,0,0,0,0,0,0,0,-0.9,-0.96,0,-0.45,-0.45,0,-0.93,-7.77
    Refunded amount,-14.99,-14.99,-14.99,0,0,0,-14.99,0,-15.99,0,-29.98,0,0,-29.98,0,0,0,0,0,0,0,0,0,0,-29.98,-31.98,0,-14.99,-14.99,0,-30.98,-258.83
Amazon fees,-89.6,-115.2,-28.96,-83.2,-87.09,-96,-70.4,-76.8,-76.8,-102.4,-76.8,-86.56,-64,-102.4,-80.16,-64,-76.8,-32,-57.6,-89.6,-76.8,-70.4,-115.2,-57.6,-44.8,-76.6,-76.8,-70.4,-83.2,-70.4,-44.8,-2343.37
    FBA per unit fulfilment fee,-58.1,-74.7,-24.9,-53.95,-49.8,-62.25,-45.65,-49.8,-49.8,-66.4,-49.8,-62.25,-41.5,-66.4,-58.1,-41.5,-49.8,-20.75,-37.35,-58.1,-49.8,-45.65,-74.7,-37.35,-29.05,-33.2,-49.8,-45.65,-53.95,-45.65,-29.05,-1514.75
    Referral fee,-31.5,-40.5,-13.5,-29.25,-27,-33.75,-24.75,-27,-27,-36,-27,-33.75,-22.5,-36,-31.5,-22.5,-27,-11.25,-20.25,-31.5,-27,-24.75,-40.5,-20.25,-15.75,-18,-27,-24.75,-29.25,-24.75,-15.75,-821.25
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.4,0,0,0,0,0,-25.4
    Compensated clawback,0,0,0,0,-10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.29
    Reversal reimbursement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44
    Free replacement refund items,0,0,9.44,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88
Cost of goods,-38.22,-49.14,-16.38,-35.49,-30.03,-40.95,-30.03,-32.76,-32.76,-43.68,-32.76,-40.95,-27.3,-43.68,-38.22,-27.3,-32.76,-13.65,-24.57,-38.22,-32.76,-30.03,-49.14,-24.57,-19.11,-21.84,-32.76,-30.03,-35.49,-30.03,-19.11,-993.72
    Cost of goods sold,-38.22,-49.14,-16.38,-35.49,-32.76,-40.95,-30.03,-32.76,-32.76,-43.68,-32.76,-40.95,-27.3,-43.68,-38.22,-27.3,-32.76,-13.65,-24.57,-38.22,-32.76,-30.03,-49.14,-24.57,-19.11,-21.84,-32.76,-30.03,-35.49,-30.03,-19.11,-996.45
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
