Parameter/Date,31 January 2026,30 January 2026,29 January 2026,28 January 2026,27 January 2026,26 January 2026,25 January 2026,24 January 2026,23 January 2026,22 January 2026,21 January 2026,20 January 2026,19 January 2026,18 January 2026,17 January 2026,16 January 2026,15 January 2026,14 January 2026,13 January 2026,12 January 2026,11 January 2026,10 January 2026,9 January 2026,8 January 2026,7 January 2026,6 January 2026,5 January 2026,4 January 2026,3 January 2026,2 January 2026,1 January 2026,Total
Sales,299.8,149.9,239.84,314.79,209.86,164.89,239.84,179.88,329.78,299.8,209.86,239.84,269.82,359.76,374.75,179.88,284.81,194.87,164.89,209.86,164.89,179.88,119.92,149.9,179.88,134.91,209.86,164.89,209.86,254.83,164.89,6850.43
    Organic,179.88,119.92,209.86,284.81,104.93,119.92,134.91,104.93,179.88,224.85,164.89,194.87,164.89,224.85,254.83,134.91,239.84,119.92,134.91,149.9,149.9,149.9,104.93,134.91,164.89,134.91,209.86,149.9,194.87,239.84,164.89,5246.5
    Sponsored Products (same day),119.92,29.98,29.98,29.98,104.93,44.97,104.93,74.95,149.9,74.95,44.97,44.97,104.93,134.91,119.92,44.97,44.97,74.95,29.98,59.96,14.99,29.98,14.99,14.99,14.99,0,0,14.99,14.99,14.99,0,1603.93
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,299.8,149.9,239.84,314.79,209.86,164.89,239.84,179.88,329.78,299.8,209.86,239.84,269.82,359.76,374.75,179.88,284.81,194.87,164.89,209.86,164.89,179.88,119.92,149.9,179.88,134.91,209.86,164.89,209.86,254.83,164.89,6850.43
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,20,10,16,21,14,11,16,12,22,20,14,16,18,24,25,12,19,13,11,14,11,12,8,10,12,9,14,11,14,17,11,457
    Organic,12,8,14,19,7,8,9,7,12,15,11,13,11,15,17,9,16,8,9,10,10,10,7,9,11,9,14,10,13,16,11,350
    Sponsored Products (same day),8,2,2,2,7,3,7,5,10,5,3,3,7,9,8,3,3,5,2,4,1,2,1,1,1,0,0,1,1,1,0,107
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,20,10,16,21,14,11,16,12,22,20,14,16,18,24,25,12,19,13,11,14,11,12,8,10,12,9,14,11,14,17,11,457
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,13
Promo,-1.5,0,-4.5,0,0,0,-1.5,0,0,-1.5,-1.5,0,0,0,0,-3,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,-15
Advertising cost,-47,-32.67,-40.2,-19.15,-40.05,-35.05,-54.95,-51.86,-53.99,-56.38,-48.69,-47.48,-66.54,-67.53,-52.01,-59.33,-43.5,-37.63,-20.33,-25.32,-9.24,-11.66,-9.32,-9.07,-9.14,-5.1,-5.56,-6.17,-3.09,-3.28,-7.1,-978.39
    Sponsored Products,-47,-32.67,-40.2,-19.15,-40.05,-35.05,-54.95,-51.86,-53.99,-56.38,-48.69,-47.48,-66.54,-67.53,-52.01,-59.33,-43.5,-37.63,-20.33,-25.32,-9.24,-11.66,-9.32,-9.07,-9.14,-5.1,-5.56,-6.17,-3.09,-3.28,-7.1,-978.39
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,-13.19,0,0,2.73,2.73,0,0,0,0,0,-13.19,-13.19,2.73,-52.76,-10.46,0,-7.73,-13.19,0,-13.19,0,0,0,0,0,0,0,-26.38,0,0,-155.09
    Refunded referral fee,0,2.25,0,0,0,0,0,0,0,0,0,2.25,2.25,0,9,2.25,0,2.25,2.25,0,2.25,0,0,0,0,0,0,0,4.5,0,0,29.25
    Value of returned items,0,0,0,0,2.73,2.73,0,0,0,0,0,0,0,2.73,0,2.73,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38
    Refund commission,0,-0.45,0,0,0,0,0,0,0,0,0,-0.45,-0.45,0,-1.8,-0.45,0,-0.45,-0.45,0,-0.45,0,0,0,0,0,0,0,-0.9,0,0,-5.85
    Refunded amount,0,-14.99,0,0,0,0,0,0,0,0,0,-14.99,-14.99,0,-59.96,-14.99,0,-14.99,-14.99,0,-14.99,0,0,0,0,0,0,0,-29.98,0,0,-194.87
Amazon fees,-128.77,-65.34,-102.51,-135.45,-90.3,-70.95,-102.97,-77.4,-141.9,-128.77,-90.07,-103.2,-116.1,-154.8,-162.09,-65.42,-122.55,-85,-72.56,-93.06,-73.25,-81.2,-54.48,-66.8,-325.63,-60.12,-93.52,-73.48,-93.52,-105.25,-73.48,-3209.94
    FBA per unit fulfilment fee,-84,-42,-67.2,-88.2,-58.8,-46.2,-67.2,-50.4,-92.4,-84,-58.8,-67.2,-75.6,-100.8,-105,-50.4,-79.8,-55.75,-48.04,-61.56,-48.5,-53.16,-35.44,-44.3,-53.16,-39.87,-62.02,-48.73,-62.02,-75.31,-48.73,-1954.59
    Referral fee,-44.77,-22.5,-35.31,-47.25,-31.5,-24.75,-35.77,-27,-49.5,-44.77,-31.27,-36,-40.5,-54,-56.25,-26.54,-42.75,-29.25,-24.52,-31.5,-24.75,-27,-18,-22.5,-27,-20.25,-31.5,-24.75,-31.5,-38.25,-24.75,-1025.95
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-245.47,0,0,0,0,0,0,-245.47
    FBA disposal fee,0,-0.84,0,0,0,0,0,0,0,0,0,0,0,0,-0.84,0,0,0,0,0,0,-1.04,-1.04,0,0,0,0,0,0,0,0,-3.76
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31,0,8.31
    Warehouse lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52
Cost of goods,-54.6,-27.3,-43.68,-57.33,-38.22,-30.03,-43.68,-32.76,-60.06,-54.6,-38.22,-43.68,-49.14,-65.52,-68.25,-40.95,-51.87,-35.49,-30.03,-38.22,-30.03,-32.76,-21.84,-27.3,-32.76,-24.57,-38.22,-30.03,-38.22,-46.41,-30.03,-1255.8
    Cost of goods sold,-54.6,-27.3,-43.68,-57.33,-38.22,-30.03,-43.68,-32.76,-60.06,-54.6,-38.22,-43.68,-49.14,-65.52,-68.25,-32.76,-51.87,-35.49,-30.03,-38.22,-30.03,-32.76,-21.84,-27.3,-32.76,-24.57,-38.22,-30.03,-38.22,-46.41,-30.03,-1247.61
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.19
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,67.93,11.4,48.95,102.86,44.02,31.59,36.74,17.86,73.83,58.55,31.38,32.29,24.85,74.64,39.64,0.72,66.89,29.02,27.28,53.26,39.18,54.26,34.28,46.73,-187.65,45.12,72.56,55.21,48.65,99.89,54.28,1236.21
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,67.93,11.4,48.95,102.86,44.02,31.59,36.74,17.86,73.83,58.55,31.38,32.29,24.85,74.64,39.64,0.72,66.89,29.02,27.28,53.26,39.18,54.26,34.28,46.73,-187.65,45.12,72.56,55.21,48.65,99.89,54.28,1236.21
Estimated payout,122.53,38.7,92.63,160.19,79.51,58.89,80.42,50.62,133.89,113.15,69.6,75.97,73.99,137.43,107.89,38.94,118.76,59.05,57.31,91.48,69.21,87.02,56.12,74.03,-154.89,69.69,110.78,85.24,86.87,146.3,84.31,2475.63
Real ACOS,15.68%,21.79%,16.76%,6.08%,19.08%,21.26%,22.91%,28.83%,16.37%,18.81%,23.2%,19.8%,24.66%,18.77%,13.88%,32.98%,15.27%,19.31%,12.33%,12.07%,5.6%,6.48%,7.77%,6.05%,5.08%,3.78%,2.65%,3.74%,1.47%,1.29%,4.31%,14.28%
% Refunds,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.25%,5.56%,0%,16%,8.33%,0%,7.69%,9.09%,0%,9.09%,0%,0%,0%,0%,0%,0%,0%,14.29%,0%,0%,2.84%
Sellable returns,,,0%,,100%,100%,,,,,,,,100%,,100%,,66.67%,,,,,,0%,,,,,,,0%,60%
Margin,22.66%,7.61%,20.41%,32.68%,20.98%,19.16%,15.32%,9.93%,22.39%,19.53%,14.95%,13.46%,9.21%,20.75%,10.58%,0.4%,23.49%,14.89%,16.54%,25.38%,23.76%,30.16%,28.59%,31.17%,-104.32%,33.44%,34.58%,33.48%,23.18%,39.2%,32.92%,18.05%
ROI,124.41%,41.76%,112.07%,179.42%,115.18%,105.19%,84.11%,54.52%,122.93%,107.23%,82.1%,73.92%,50.57%,113.92%,58.08%,1.76%,128.96%,81.77%,90.84%,139.35%,130.47%,165.63%,156.96%,171.17%,-572.8%,183.64%,189.85%,183.85%,127.29%,215.23%,180.75%,98.44%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,75,44,64,54,65,60,74,77,82,78,66,72,87,97,87,78,65,53,48,53,42,51,37,30,42,38,40,63,48,50,45,1865
    Browser sessions,29,13,19,16,19,19,24,25,22,26,22,24,33,29,20,34,21,16,12,22,20,13,10,13,24,9,17,20,22,13,17,623
