Parameter/Date,31 January 2024,30 January 2024,29 January 2024,28 January 2024,27 January 2024,26 January 2024,25 January 2024,24 January 2024,23 January 2024,22 January 2024,21 January 2024,20 January 2024,19 January 2024,18 January 2024,17 January 2024,16 January 2024,15 January 2024,14 January 2024,13 January 2024,12 January 2024,11 January 2024,10 January 2024,9 January 2024,8 January 2024,7 January 2024,6 January 2024,5 January 2024,4 January 2024,3 January 2024,2 January 2024,1 January 2024,Total
Sales,305.82,322.81,220.87,458.73,152.91,169.9,237.86,169.9,33.98,32.98,47.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153.73
    Organic,254.85,152.91,118.93,203.88,67.96,101.94,169.9,118.93,16.99,32.98,47.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287.24
    Sponsored Products (same day),50.97,169.9,101.94,254.85,84.95,67.96,67.96,50.97,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866.49
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,305.82,322.81,220.87,458.73,152.91,169.9,237.86,169.9,33.98,32.98,47.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153.73
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,18,19,13,27,9,10,14,10,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
    Organic,15,9,7,12,4,6,10,7,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
    Sponsored Products (same day),3,10,6,15,5,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,18,19,13,27,9,10,14,10,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
