Parameter/Date,30 June 2025,29 June 2025,28 June 2025,27 June 2025,26 June 2025,25 June 2025,24 June 2025,23 June 2025,22 June 2025,21 June 2025,20 June 2025,19 June 2025,18 June 2025,17 June 2025,16 June 2025,15 June 2025,14 June 2025,13 June 2025,12 June 2025,11 June 2025,10 June 2025,9 June 2025,8 June 2025,7 June 2025,6 June 2025,5 June 2025,4 June 2025,3 June 2025,2 June 2025,1 June 2025,Total
Sales,223.86,207.87,207.87,111.93,191.88,143.91,111.93,95.94,79.95,79.95,175.89,191.88,95.94,111.93,271.83,111.93,79.95,95.94,95.94,95.94,175.89,111.93,111.93,159.9,127.92,47.97,191.88,79.95,95.94,191.88,4077.45
    Organic,111.93,79.95,79.95,31.98,127.92,95.94,111.93,95.94,79.95,79.95,175.89,191.88,95.94,111.93,271.83,111.93,79.95,95.94,95.94,95.94,175.89,111.93,111.93,159.9,127.92,47.97,191.88,79.95,95.94,191.88,3517.8
    Sponsored Products (same day),111.93,127.92,127.92,79.95,63.96,47.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559.65
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,223.86,207.87,207.87,111.93,191.88,143.91,111.93,95.94,79.95,79.95,175.89,191.88,95.94,111.93,271.83,111.93,79.95,95.94,95.94,95.94,175.89,111.93,111.93,159.9,127.92,47.97,191.88,79.95,95.94,191.88,4077.45
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,14,13,13,7,12,9,7,6,6,5,11,12,6,7,17,7,5,6,6,6,11,7,7,10,8,3,12,5,6,12,256
    Organic,7,5,5,2,8,6,7,6,6,5,11,12,6,7,17,7,5,6,6,6,11,7,7,10,8,3,12,5,6,12,221
    Sponsored Products (same day),7,8,8,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,14,13,13,7,12,9,7,6,6,5,11,12,6,7,17,7,5,6,6,6,11,7,7,10,8,3,12,5,6,12,256
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-59.69,-85.36,-36.68,-37.11,-19.81,-8.95,-2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250.59
    Sponsored Products,-59.69,-85.36,-36.68,-37.11,-19.81,-8.95,-2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-250.59
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,-14.07,0,-14.07,-14.07,-14.07,-12.22,-11.34,0,0,0,0,0,0,0,0,0,0,-14.07,0,0,0,0,-14.95,-108.86
    Refunded referral fee,0,0,0,0,0,0,0,2.4,0,2.4,2.4,2.4,2.55,2.4,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,2.55,19.5
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,2.73,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46
    Refund commission,0,0,0,0,0,0,0,-0.48,0,-0.48,-0.48,-0.48,-0.51,-0.48,0,0,0,0,0,0,0,0,0,0,-0.48,0,0,0,0,-0.51,-3.9
    Refunded amount,0,0,0,0,0,0,0,-15.99,0,-15.99,-15.99,-15.99,-16.99,-15.99,0,0,0,0,0,0,0,0,0,0,-15.99,0,0,0,0,-16.99,-129.92
Amazon fees,-91.7,-85.15,-85.15,-45.85,-78.6,-48.66,-45.85,-39.3,-32.75,-32.75,-72.05,-78.6,-39.3,-45.85,-111.35,-45.85,-32.75,-39.3,-39.3,-39.3,-72.05,-45.85,-45.85,-65.5,-101.78,-19.65,-78.6,-32.75,-39.3,-78.6,-1709.34
    FBA per unit fulfilment fee,-58.1,-53.95,-53.95,-29.05,-49.8,-37.35,-29.05,-24.9,-20.75,-20.75,-45.65,-49.8,-24.9,-29.05,-70.55,-29.05,-20.75,-24.9,-24.9,-24.9,-45.65,-29.05,-29.05,-41.5,-33.2,-12.45,-49.8,-20.75,-24.9,-49.8,-1058.25
    Referral fee,-33.6,-31.2,-31.2,-16.8,-28.8,-21.6,-16.8,-14.4,-12,-12,-26.4,-28.8,-14.4,-16.8,-40.8,-16.8,-12,-14.4,-14.4,-14.4,-26.4,-16.8,-16.8,-24,-19.2,-7.2,-28.8,-12,-14.4,-28.8,-612
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49.38,0,0,0,0,0,-49.38
    Reversal reimbursement,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
Cost of goods,-38.22,-35.49,-35.49,-19.11,-32.76,-24.57,-19.11,-16.38,-16.38,-13.65,-30.03,-32.76,-16.38,-19.11,-46.41,-19.11,-13.65,-16.38,-16.38,-16.38,-30.03,-19.11,-19.11,-27.3,-21.84,-8.19,-32.76,-13.65,-16.38,-32.76,-698.88
    Cost of goods sold,-38.22,-35.49,-35.49,-19.11,-32.76,-24.57,-19.11,-16.38,-16.38,-13.65,-30.03,-32.76,-16.38,-19.11,-46.41,-19.11,-13.65,-16.38,-16.38,-16.38,-30.03,-19.11,-19.11,-27.3,-21.84,-8.19,-32.76,-13.65,-16.38,-32.76,-698.88
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,34.25,1.87,50.55,9.86,60.71,61.73,43.98,26.19,30.82,19.48,59.74,66.45,28.04,35.63,114.07,46.97,33.55,40.26,40.26,40.26,73.81,46.97,46.97,67.1,-9.77,20.13,80.52,33.55,40.26,65.57,1309.78
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,34.25,1.87,50.55,9.86,60.71,61.73,43.98,26.19,30.82,19.48,59.74,66.45,28.04,35.63,114.07,46.97,33.55,40.26,40.26,40.26,73.81,46.97,46.97,67.1,-9.77,20.13,80.52,33.55,40.26,65.57,1309.78
Estimated payout,72.47,37.36,86.04,28.97,93.47,86.3,63.09,42.57,47.2,33.13,89.77,99.21,41.69,52.01,160.48,66.08,47.2,56.64,56.64,56.64,103.84,66.08,66.08,94.4,12.07,28.32,113.28,47.2,56.64,98.33,2003.2
Real ACOS,26.66%,41.06%,17.65%,33.15%,10.32%,6.22%,2.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.15%
% Refunds,0%,0%,0%,0%,0%,0%,0%,16.67%,0%,20%,9.09%,8.33%,16.67%,14.29%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,12.5%,0%,0%,0%,0%,8.33%,3.13%
Sellable returns,,,,,,,,,0%,,,,50%,100%,,,,,,,,,,,,,,,,,40%
Margin,15.3%,0.9%,24.32%,8.81%,31.64%,42.89%,39.29%,27.3%,38.55%,24.37%,33.96%,34.63%,29.23%,31.83%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,41.96%,-7.64%,41.96%,41.96%,41.96%,41.96%,34.17%,32.12%
ROI,89.61%,5.27%,142.43%,51.6%,185.32%,251.24%,230.14%,159.89%,188.16%,142.71%,198.93%,202.84%,171.18%,186.45%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,245.79%,-44.73%,245.79%,245.79%,245.79%,245.79%,200.15%,187.41%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,71,102,61,46,42,30,25,50,16,32,33,34,27,23,37,27,19,20,27,20,29,32,26,28,31,17,27,27,31,28,1018
