Parameter/Date,31 December 2023,30 December 2023,29 December 2023,28 December 2023,27 December 2023,26 December 2023,25 December 2023,24 December 2023,23 December 2023,22 December 2023,21 December 2023,20 December 2023,19 December 2023,18 December 2023,17 December 2023,16 December 2023,15 December 2023,14 December 2023,13 December 2023,12 December 2023,11 December 2023,10 December 2023,9 December 2023,8 December 2023,7 December 2023,6 December 2023,5 December 2023,4 December 2023,3 December 2023,2 December 2023,1 December 2023,Total
Sales,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,15.99,0,175.89,127.92,111.93,207.87,143.91,31.98,175.89,191.88,239.85,271.83,335.79,207.87,2254.59
    Organic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,95.94,95.94,31.98,111.93,47.97,15.99,143.91,79.95,143.91,175.89,159.9,95.94,1215.24
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,0,0,79.95,31.98,79.95,95.94,95.94,15.99,31.98,111.93,95.94,95.94,175.89,111.93,1039.35
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,15.99,0,175.89,127.92,111.93,207.87,143.91,31.98,175.89,191.88,239.85,271.83,335.79,207.87,2254.59
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,8,7,13,9,2,11,13,15,17,21,13,142
    Organic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,2,7,3,1,9,6,9,11,10,6,77
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,5,6,6,1,2,7,6,6,11,7,65
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,8,7,13,9,2,11,13,15,17,21,13,142
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
