Parameter/Date,28 February 2025,27 February 2025,26 February 2025,25 February 2025,24 February 2025,23 February 2025,22 February 2025,21 February 2025,20 February 2025,19 February 2025,18 February 2025,17 February 2025,16 February 2025,15 February 2025,14 February 2025,13 February 2025,12 February 2025,11 February 2025,10 February 2025,9 February 2025,8 February 2025,7 February 2025,6 February 2025,5 February 2025,4 February 2025,3 February 2025,2 February 2025,1 February 2025,Total
Sales,152.91,186.89,152.91,84.95,209.88,107.94,143.92,89.95,107.94,161.91,107.94,89.95,143.92,161.91,125.93,179.9,107.94,53.97,89.95,197.89,233.87,125.93,125.93,53.97,89.95,179.9,143.92,179.9,3791.87
    Organic,152.91,186.89,152.91,84.95,209.88,107.94,143.92,89.95,107.94,161.91,107.94,89.95,143.92,161.91,125.93,179.9,107.94,53.97,89.95,197.89,233.87,125.93,125.93,53.97,89.95,179.9,143.92,179.9,3791.87
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,152.91,186.89,152.91,84.95,209.88,107.94,143.92,89.95,107.94,161.91,107.94,89.95,143.92,161.91,125.93,179.9,107.94,53.97,89.95,197.89,233.87,125.93,125.93,53.97,89.95,179.9,143.92,179.9,3791.87
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,9,11,9,5,12,6,8,5,6,9,6,5,8,9,7,10,6,3,5,11,13,7,7,3,5,10,8,10,213
    Organic,9,11,9,5,12,6,8,5,6,9,6,5,8,9,7,10,6,3,5,11,13,7,7,3,5,10,8,10,213
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,9,11,9,5,12,6,8,5,6,9,6,5,8,9,7,10,6,3,5,11,13,7,7,3,5,10,8,10,213
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,-15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.83
    Refunded referral fee,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
    Refund commission,0,0,0,0,0,-0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.54
    Refunded amount,0,0,0,0,0,-17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.99
Amazon fees,-60.3,-73.7,-60.3,-33.5,-81.3,-41.1,-54.8,-85.7,-41.1,-61.65,-29.96,-34.25,-54.8,-61.65,-47.95,-68.5,-41.1,-20.55,-34.25,-75.35,-89.05,-47.95,-96,-20.55,-34.25,-68.5,-54.8,-68.5,-1541.41
