Parameter/Date,30 April 2025,29 April 2025,28 April 2025,27 April 2025,26 April 2025,25 April 2025,24 April 2025,23 April 2025,22 April 2025,21 April 2025,20 April 2025,19 April 2025,18 April 2025,17 April 2025,16 April 2025,15 April 2025,14 April 2025,13 April 2025,12 April 2025,11 April 2025,10 April 2025,9 April 2025,8 April 2025,7 April 2025,6 April 2025,5 April 2025,4 April 2025,3 April 2025,2 April 2025,1 April 2025,Total
Sales,101.94,50.97,118.93,135.92,101.94,101.94,84.95,50.97,118.93,84.95,101.94,101.94,50.97,67.96,84.95,101.94,152.91,152.91,220.87,67.96,50.97,118.93,101.94,118.93,152.91,50.97,152.91,135.92,84.95,84.95,3109.17
    Organic,101.94,50.97,118.93,135.92,101.94,101.94,84.95,50.97,118.93,84.95,101.94,101.94,50.97,67.96,84.95,101.94,152.91,152.91,220.87,67.96,50.97,118.93,101.94,118.93,152.91,50.97,152.91,135.92,84.95,84.95,3109.17
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,101.94,50.97,118.93,135.92,101.94,101.94,84.95,50.97,118.93,84.95,101.94,101.94,50.97,67.96,84.95,101.94,152.91,152.91,220.87,67.96,50.97,118.93,101.94,118.93,152.91,50.97,152.91,135.92,84.95,84.95,3109.17
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,6,3,7,8,6,6,5,3,7,5,6,6,3,4,5,6,9,9,13,4,3,7,6,7,9,3,9,8,5,6,184
    Organic,6,3,7,8,6,6,5,3,7,5,6,6,3,4,5,6,9,9,13,4,3,7,6,7,9,3,9,8,5,6,184
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,6,3,7,8,6,6,5,3,7,5,6,6,3,4,5,6,9,9,13,4,3,7,6,7,9,3,9,8,5,6,184
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
