Parameter/Date,30 April 2024,29 April 2024,28 April 2024,27 April 2024,26 April 2024,25 April 2024,24 April 2024,23 April 2024,22 April 2024,21 April 2024,20 April 2024,19 April 2024,18 April 2024,17 April 2024,16 April 2024,15 April 2024,14 April 2024,13 April 2024,12 April 2024,11 April 2024,10 April 2024,9 April 2024,8 April 2024,7 April 2024,6 April 2024,5 April 2024,4 April 2024,3 April 2024,2 April 2024,1 April 2024,Total
Sales,169.9,152.91,220.87,186.89,101.94,152.91,152.91,220.87,135.92,220.87,203.88,169.9,186.89,135.92,135.92,186.89,186.89,186.89,186.89,271.84,220.87,135.92,203.88,186.89,152.91,152.91,203.88,237.86,169.9,339.8,5572.72
    Organic,135.92,50.97,186.89,169.9,67.96,84.95,101.94,152.91,118.93,152.91,84.95,152.91,84.95,67.96,101.94,84.95,135.92,16.99,118.93,118.93,186.89,118.93,67.96,101.94,84.95,118.93,118.93,135.92,152.91,220.87,3499.94
    Sponsored Products (same day),33.98,101.94,33.98,16.99,33.98,67.96,50.97,67.96,16.99,67.96,118.93,16.99,101.94,67.96,33.98,101.94,50.97,169.9,67.96,152.91,33.98,16.99,135.92,84.95,67.96,33.98,84.95,101.94,16.99,118.93,2072.78
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,169.9,152.91,220.87,186.89,101.94,152.91,152.91,220.87,135.92,220.87,203.88,169.9,186.89,135.92,135.92,186.89,186.89,186.89,186.89,271.84,220.87,135.92,203.88,186.89,152.91,152.91,203.88,237.86,169.9,339.8,5572.72
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,9,13,11,6,9,9,13,8,13,12,10,11,8,8,11,11,11,11,16,13,8,12,11,9,9,12,14,10,20,328
    Organic,8,3,11,10,4,5,6,9,7,9,5,9,5,4,6,5,8,1,7,7,11,7,4,6,5,7,7,8,9,13,206
    Sponsored Products (same day),2,6,2,1,2,4,3,4,1,4,7,1,6,4,2,6,3,10,4,9,2,1,8,5,4,2,5,6,1,7,122
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,9,13,11,6,9,9,13,8,13,12,10,11,8,8,11,11,11,11,16,13,8,12,11,9,9,12,14,10,20,328
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,8
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-29.75,-22.77,-26.23,-23.83,-21.13,-28.76,-25.29,-32.39,-22.37,-28.8,-23.87,-16.85,-25.14,-20.54,-24.07,-23.34,-27.33,-28.79,-34.65,-22.75,-34.56,-27.49,-29.87,-33.73,-33.34,-38.15,-39.01,-40.06,-25.59,-45.08,-855.53
    Sponsored Products,-29.75,-22.77,-26.23,-23.83,-21.13,-28.76,-25.29,-32.39,-22.37,-28.8,-23.87,-16.85,-25.14,-20.54,-24.07,-23.34,-27.33,-28.79,-34.65,-22.75,-34.56,-27.49,-29.87,-33.73,-33.34,-38.15,-39.01,-40.06,-25.59,-45.08,-855.53
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,-14.95,0,-14.95,0,0,0,0,-14.95,0,0,0,0,0,2.73,0,-14.95,0,0,0,0,-14.95,0,0,-27.17,-14.95,0,0,0,-114.14
    Refunded referral fee,0,0,2.55,0,2.55,0,0,0,0,2.55,0,0,0,0,0,0,0,2.55,0,0,0,0,2.55,0,0,5.1,2.55,0,0,0,20.4
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,5.46
    Refund commission,0,0,-0.51,0,-0.51,0,0,0,0,-0.51,0,0,0,0,0,0,0,-0.51,0,0,0,0,-0.51,0,0,-1.02,-0.51,0,0,0,-4.08
    Refunded amount,0,0,-16.99,0,-16.99,0,0,0,0,-16.99,0,0,0,0,0,0,0,-16.99,0,0,0,0,-16.99,0,0,-33.98,-16.99,0,0,0,-135.92
Amazon fees,-67,-60.3,-76.81,-73.7,-40.2,-60.3,-60.3,-87.1,-53.6,-76.98,-70.11,-67,-73.7,-53.6,-53.6,-73.7,-75.06,-75.23,-75.57,-109.75,-89.31,-54.96,-82.44,-123.12,-51.71,-61.83,-82.44,-96.18,-68.7,-137.4,-2231.7
    FBA per unit fulfilment fee,-41.5,-37.35,-53.95,-45.65,-24.9,-37.35,-37.35,-53.95,-33.2,-53.95,-49.8,-41.5,-45.65,-33.2,-33.2,-45.65,-47.01,-47.18,-47.52,-68.95,-56.16,-34.56,-51.84,-47.52,-38.88,-38.88,-51.84,-60.48,-43.2,-86.4,-1388.57
    Referral fee,-25.5,-22.95,-33.15,-28.05,-15.3,-22.95,-22.95,-33.15,-20.4,-33.15,-30.6,-25.5,-28.05,-20.4,-20.4,-28.05,-28.05,-28.05,-28.05,-40.8,-33.15,-20.4,-30.6,-28.05,-22.95,-22.95,-30.6,-35.7,-25.5,-51,-836.4
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47.55,0,0,0,0,0,0,-47.55
    Free replacement refund items,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12
    Warehouse lost manual,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29
    Reversal reimbursement,0,0,10.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,20.41
Cost of goods,-27.3,-24.57,-35.49,-30.03,-16.38,-24.57,-24.57,-35.49,-21.84,-35.49,-35.49,-27.3,-30.03,-21.84,-21.84,-30.03,-30.03,-30.03,-30.03,-43.68,-35.49,-21.84,-32.76,-30.03,-24.57,-24.57,-32.76,-38.22,-27.3,-54.6,-898.17
    Cost of goods sold,-27.3,-24.57,-35.49,-30.03,-16.38,-24.57,-24.57,-35.49,-21.84,-35.49,-32.76,-27.3,-30.03,-21.84,-21.84,-30.03,-30.03,-30.03,-30.03,-43.68,-35.49,-21.84,-32.76,-30.03,-24.57,-24.57,-32.76,-38.22,-27.3,-54.6,-895.44
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,-2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73
