Parameter/Date,31 December 2022,30 December 2022,29 December 2022,28 December 2022,27 December 2022,26 December 2022,25 December 2022,24 December 2022,23 December 2022,22 December 2022,21 December 2022,20 December 2022,19 December 2022,18 December 2022,17 December 2022,16 December 2022,15 December 2022,14 December 2022,13 December 2022,12 December 2022,11 December 2022,10 December 2022,9 December 2022,8 December 2022,7 December 2022,6 December 2022,5 December 2022,4 December 2022,3 December 2022,2 December 2022,1 December 2022,Total
Sales,132.97,132.93,113.94,37.98,151.92,113.94,94.95,94.95,56.97,75.96,0,94.95,113.94,132.93,94.95,113.94,37.98,56.97,94.95,113.94,132.93,56.97,37.98,132.93,113.94,37.98,94.95,56.97,75.96,18.99,75.96,2696.62
    Organic,132.97,132.93,113.94,37.98,151.92,113.94,94.95,94.95,56.97,75.96,0,94.95,113.94,132.93,94.95,113.94,37.98,56.97,94.95,113.94,132.93,56.97,37.98,132.93,113.94,37.98,94.95,56.97,75.96,18.99,75.96,2696.62
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,132.97,132.93,113.94,37.98,151.92,113.94,94.95,94.95,56.97,75.96,0,94.95,113.94,132.93,94.95,113.94,37.98,56.97,94.95,113.94,132.93,56.97,37.98,132.93,113.94,37.98,94.95,56.97,75.96,18.99,75.96,2696.62
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,7,7,6,2,8,6,5,5,3,4,0,5,6,7,5,6,2,3,5,6,7,3,2,7,6,2,5,3,4,1,4,142
    Organic,7,7,6,2,8,6,5,5,3,4,0,5,6,7,5,6,2,3,5,6,7,3,2,7,6,2,5,3,4,1,4,142
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,7,7,6,2,8,6,5,5,3,4,0,5,6,7,5,6,2,3,5,6,7,3,2,7,6,2,5,3,4,1,4,142
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,-16.71,-16.71,0,0,0,0,0,-16.71,0,0,0,2.73,0,0,0,0,-33.42,0,2.73,0,0,-78.09
    Refunded referral fee,0,0,0,0,0,0,0,0,0,0,2.85,2.85,0,0,0,0,0,2.85,0,0,0,0,0,0,0,0,5.7,0,0,0,0,14.25
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,2.73,0,0,5.46
    Refund commission,0,0,0,0,0,0,0,0,0,0,-0.57,-0.57,0,0,0,0,0,-0.57,0,0,0,0,0,0,0,0,-1.14,0,0,0,0,-2.85
    Refunded amount,0,0,0,0,0,0,0,0,0,0,-18.99,-18.99,0,0,0,0,0,-18.99,0,0,0,0,0,0,0,0,-37.98,0,0,0,0,-94.95
Amazon fees,-53.11,-49.84,-42.72,-14.24,-56.96,-42.72,-47.47,-35.6,-9.49,-28.48,0,-35.6,-42.72,-49.84,-35.6,-42.72,-14.24,-21.36,-35.6,-42.72,-49.84,-21.36,-14.76,-137.4,-42.72,-14.24,-35.6,-21.36,-28.48,-7.12,-28.48,-1102.39
    FBA per unit fulfilment fee,-33.17,-29.89,-25.62,-8.54,-34.16,-25.62,-21.35,-21.35,-12.81,-17.08,0,-21.35,-25.62,-29.89,-21.35,-25.62,-8.54,-12.81,-21.35,-25.62,-29.89,-12.81,-8.54,-29.89,-25.62,-8.54,-21.35,-12.81,-17.08,-4.27,-17.08,-609.62
    Referral fee,-19.94,-19.95,-17.1,-5.7,-22.8,-17.1,-14.25,-14.25,-8.55,-11.4,0,-14.25,-17.1,-19.95,-14.25,-17.1,-5.7,-8.55,-14.25,-17.1,-19.95,-8.55,-5.7,-19.95,-17.1,-5.7,-14.25,-8.55,-11.4,-2.85,-11.4,-404.69
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87.56,0,0,0,0,0,0,0,-87.56
    Compensated clawback,0,0,0,0,0,0,-11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.87
    FBA disposal fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.52,0,0,0,0,0,0,0,0,-0.52
    Reversal reimbursement,0,0,0,0,0,0,0,0,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.87
Cost of goods,-19.11,-19.11,-16.38,-5.46,-21.84,-16.38,-10.92,-13.65,-8.19,-10.92,0,-13.65,-16.38,-19.11,-13.65,-16.38,-5.46,-8.19,-13.65,-16.38,-19.11,-8.19,-5.46,-19.11,-16.38,-5.46,-13.65,-8.19,-10.92,-2.73,-10.92,-384.93
    Cost of goods sold,-19.11,-19.11,-16.38,-5.46,-21.84,-16.38,-13.65,-13.65,-8.19,-10.92,0,-13.65,-16.38,-19.11,-13.65,-16.38,-5.46,-8.19,-13.65,-16.38,-19.11,-8.19,-5.46,-19.11,-16.38,-5.46,-13.65,-8.19,-10.92,-2.73,-10.92,-387.66
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,60.75,63.98,54.84,18.28,73.12,54.84,36.56,45.7,39.29,36.56,-16.71,28.99,54.84,63.98,45.7,54.84,18.28,10.71,45.7,54.84,63.98,30.15,17.76,-23.58,54.84,18.28,12.28,27.42,39.29,9.14,36.56,1131.21
