Parameter/Date,30 September 2023,29 September 2023,28 September 2023,27 September 2023,26 September 2023,25 September 2023,24 September 2023,23 September 2023,22 September 2023,21 September 2023,20 September 2023,19 September 2023,18 September 2023,17 September 2023,16 September 2023,15 September 2023,14 September 2023,13 September 2023,12 September 2023,11 September 2023,10 September 2023,9 September 2023,8 September 2023,7 September 2023,6 September 2023,5 September 2023,4 September 2023,3 September 2023,2 September 2023,1 September 2023,Total
Sales,15.99,15.99,31.98,47.97,31.98,15.99,15.99,15.99,15.99,15.99,31.98,31.98,0,0,15.99,15.99,15.99,0,31.98,15.99,0,0,0,0,0,0,0,0,0,0,383.76
    Organic,0,0,31.98,47.97,15.99,15.99,15.99,15.99,15.99,15.99,15.99,31.98,0,0,15.99,0,15.99,0,31.98,15.99,0,0,0,0,0,0,0,0,0,0,303.81
    Sponsored Products (same day),15.99,15.99,0,0,15.99,0,0,0,0,0,15.99,0,0,0,0,15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.95
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,15.99,15.99,31.98,47.97,31.98,15.99,15.99,15.99,15.99,15.99,31.98,31.98,0,0,15.99,15.99,15.99,0,31.98,15.99,0,0,0,0,0,0,0,0,0,0,383.76
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,1,1,2,3,2,1,1,1,1,1,2,2,0,0,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,24
    Organic,0,0,2,3,1,1,1,1,1,1,1,2,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,19
    Sponsored Products (same day),1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
