Parameter/Date,31 December 2024,30 December 2024,29 December 2024,28 December 2024,27 December 2024,26 December 2024,25 December 2024,24 December 2024,23 December 2024,22 December 2024,21 December 2024,20 December 2024,19 December 2024,18 December 2024,17 December 2024,16 December 2024,15 December 2024,14 December 2024,13 December 2024,12 December 2024,11 December 2024,10 December 2024,9 December 2024,8 December 2024,7 December 2024,6 December 2024,5 December 2024,4 December 2024,3 December 2024,2 December 2024,1 December 2024,Total
Sales,99.9,169.83,79.92,139.86,109.89,99.9,59.94,29.97,59.94,49.95,99.9,39.96,49.95,79.92,59.94,89.91,89.91,139.86,79.92,69.93,59.94,59.94,99.9,129.87,29.97,29.97,39.96,59.94,54.95,47.94,127.84,2438.52
    Organic,99.9,169.83,79.92,139.86,109.89,99.9,59.94,29.97,59.94,49.95,99.9,39.96,49.95,79.92,59.94,89.91,89.91,139.86,79.92,69.93,59.94,59.94,99.9,129.87,29.97,29.97,39.96,59.94,54.95,47.94,127.84,2438.52
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,99.9,169.83,79.92,139.86,109.89,99.9,59.94,29.97,59.94,49.95,99.9,39.96,49.95,79.92,59.94,89.91,89.91,139.86,79.92,69.93,59.94,59.94,99.9,129.87,29.97,29.97,39.96,59.94,54.95,47.94,127.84,2438.52
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,10,17,8,14,11,10,6,3,6,5,10,4,5,8,6,9,9,14,8,7,6,6,10,13,3,3,4,6,5,6,16,248
    Organic,10,17,8,14,11,10,6,3,6,5,10,4,5,8,6,9,9,14,8,7,6,6,10,13,3,3,4,6,5,6,16,248
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,10,17,8,14,11,10,6,3,6,5,10,4,5,8,6,9,9,14,8,7,6,6,10,13,3,3,4,6,5,6,16,248
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,-0.77,-0.77,-0.77,0,-0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77,0,0,-0.77,0,-0.77,0,-5.39
    Sponsored Products,0,-0.77,-0.77,-0.77,0,-0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77,0,0,-0.77,0,-0.77,0,-5.39
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
