Parameter/Date,31 January 2025,30 January 2025,29 January 2025,28 January 2025,27 January 2025,26 January 2025,25 January 2025,24 January 2025,23 January 2025,22 January 2025,21 January 2025,20 January 2025,19 January 2025,18 January 2025,17 January 2025,16 January 2025,15 January 2025,14 January 2025,13 January 2025,12 January 2025,11 January 2025,10 January 2025,9 January 2025,8 January 2025,7 January 2025,6 January 2025,5 January 2025,4 January 2025,3 January 2025,2 January 2025,1 January 2025,Total
Sales,0,9.99,19.98,59.94,99.9,139.86,49.95,29.97,69.93,99.9,59.94,119.88,49.95,79.92,49.95,49.95,39.96,59.94,29.97,129.87,79.92,79.92,89.91,99.9,89.91,89.91,59.94,89.91,59.94,99.9,159.84,2247.75
    Organic,0,9.99,19.98,59.94,99.9,139.86,49.95,29.97,69.93,99.9,59.94,119.88,49.95,79.92,49.95,49.95,39.96,59.94,29.97,129.87,79.92,79.92,89.91,99.9,89.91,89.91,59.94,89.91,59.94,99.9,159.84,2247.75
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,9.99,19.98,59.94,99.9,139.86,49.95,29.97,69.93,99.9,59.94,119.88,49.95,79.92,49.95,49.95,39.96,59.94,29.97,129.87,79.92,79.92,89.91,99.9,89.91,89.91,59.94,89.91,59.94,99.9,159.84,2247.75
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,1,2,6,10,14,5,3,7,10,6,12,5,8,5,5,4,6,3,13,8,8,9,10,9,9,6,10,6,10,16,226
    Organic,0,1,2,6,10,14,5,3,7,10,6,12,5,8,5,5,4,6,3,13,8,8,9,10,9,9,6,10,6,10,16,226
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,1,2,6,10,14,5,3,7,10,6,12,5,8,5,5,4,6,3,13,8,8,9,10,9,9,6,10,6,10,16,226
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,-0.77,0,0,-2.31,0,0,-0.77,-0.77,0,0,0,0,-0.59,0,0,0,0,0,0,0,0,0,0,0,-1.54,-0.77,0,0,-7.52
    Sponsored Products,0,0,0,-0.77,0,0,-2.31,0,0,-0.77,-0.77,0,0,0,0,-0.59,0,0,0,0,0,0,0,0,0,0,0,-1.54,-0.77,0,0,-7.52
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon fees,0,-4.41,-8.82,-26.46,-44.1,-61.74,-22.05,-13.23,-30.87,-44.1,-26.46,-52.92,-22.05,-29.94,-22.05,-22.05,-17.64,-27.42,-13.95,-59.73,-36.96,-36.72,-41.85,-46.5,-55.28,-36.51,-27.9,-41.85,-27.9,-46.5,-74.4,-1022.36
    FBA per unit fulfilment fee,0,-2.91,-5.82,-17.46,-29.1,-40.74,-14.55,-8.73,-20.37,-29.1,-17.46,-34.92,-14.55,-23.28,-14.55,-14.55,-11.64,-18.42,-9.45,-40.23,-24.96,-24.72,-28.35,-31.5,-28.35,-28.35,-18.9,-28.35,-18.9,-31.5,-50.4,-682.11
    Referral fee,0,-1.5,-3,-9,-15,-21,-7.5,-4.5,-10.5,-15,-9,-18,-7.5,-12,-7.5,-7.5,-6,-9,-4.5,-19.5,-12,-12,-13.5,-15,-13.5,-13.5,-9,-13.5,-9,-15,-24,-337.5
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.43,0,0,0,0,0,0,-13.43
    Free replacement refund items,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34
    Warehouse damage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,5.34
Cost of goods,0,-1.44,-2.88,-8.64,-14.4,-20.16,-7.2,-4.32,-10.08,-14.4,-8.64,-17.28,-7.2,-11.52,-7.2,-7.2,-5.76,-8.64,-4.32,-18.72,-11.52,-11.52,-12.96,-14.4,-12.96,-14.4,-8.64,-14.4,-8.64,-14.4,-23.04,-326.88
    Cost of goods sold,0,-1.44,-2.88,-8.64,-14.4,-20.16,-7.2,-4.32,-10.08,-14.4,-8.64,-17.28,-7.2,-11.52,-7.2,-7.2,-5.76,-8.64,-4.32,-18.72,-11.52,-11.52,-12.96,-14.4,-12.96,-12.96,-8.64,-14.4,-8.64,-14.4,-23.04,-325.44
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,-1.44
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,4.14,8.28,24.07,41.4,57.96,18.39,12.42,28.98,40.63,24.07,49.68,20.7,38.46,20.7,20.11,16.56,23.88,11.7,51.42,31.44,31.68,35.1,39,21.67,39,23.4,32.12,22.63,39,62.4,890.99
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,4.14,8.28,24.07,41.4,57.96,18.39,12.42,28.98,40.63,24.07,49.68,20.7,38.46,20.7,20.11,16.56,23.88,11.7,51.42,31.44,31.68,35.1,39,21.67,39,23.4,32.12,22.63,39,62.4,890.99
Estimated payout,0,5.58,11.16,32.71,55.8,78.12,25.59,16.74,39.06,55.03,32.71,66.96,27.9,49.98,27.9,27.31,22.32,32.52,16.02,70.14,42.96,43.2,48.06,53.4,34.63,53.4,32.04,46.52,31.27,53.4,85.44,1217.87
Real ACOS,0%,0%,0%,1.28%,0%,0%,4.62%,0%,0%,0.77%,1.28%,0%,0%,0%,0%,1.18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.71%,1.28%,0%,0%,0.33%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sellable returns,,,,,0%,,,,,,0%,,,,,,,,,,,,,,0%,,,,,,,0%
