Parameter/Date,31 October 2024,30 October 2024,29 October 2024,28 October 2024,27 October 2024,26 October 2024,25 October 2024,24 October 2024,23 October 2024,22 October 2024,21 October 2024,20 October 2024,19 October 2024,18 October 2024,17 October 2024,16 October 2024,15 October 2024,14 October 2024,13 October 2024,12 October 2024,11 October 2024,10 October 2024,9 October 2024,8 October 2024,7 October 2024,6 October 2024,5 October 2024,4 October 2024,3 October 2024,2 October 2024,1 October 2024,Total
Sales,0,49.95,19.98,19.98,69.93,19.98,0,0,19.98,59.94,39.96,29.97,39.96,29.97,39.96,69.93,29.97,0,29.97,19.98,9.99,69.93,19.98,79.92,0,9.99,0,0,0,0,0,779.22
    Organic,0,49.95,19.98,19.98,69.93,19.98,0,0,19.98,59.94,39.96,29.97,39.96,29.97,39.96,69.93,29.97,0,29.97,19.98,9.99,69.93,19.98,79.92,0,9.99,0,0,0,0,0,779.22
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,49.95,19.98,19.98,69.93,19.98,0,0,19.98,59.94,39.96,29.97,39.96,29.97,39.96,69.93,29.97,0,29.97,19.98,9.99,69.93,19.98,79.92,0,9.99,0,0,0,0,0,779.22
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,5,2,2,7,2,0,0,2,6,4,3,4,3,4,7,3,0,3,2,1,7,2,8,0,1,0,0,0,0,0,78
    Organic,0,5,2,2,7,2,0,0,2,6,4,3,4,3,4,7,3,0,3,2,1,7,2,8,0,1,0,0,0,0,0,78
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,5,2,2,7,2,0,0,2,6,4,3,4,3,4,7,3,0,3,2,1,7,2,8,0,1,0,0,0,0,0,78
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,-14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.95
    Refunded referral fee,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55
    Refund commission,0,0,0,0,0,0,0,-0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.51
    Refunded amount,0,0,0,0,0,0,0,-16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.99
Amazon fees,0,-23.25,-9.3,-9.3,-32.55,-9.3,0,19.25,-9.3,-27.9,-18.6,-13.95,-18.6,-14.97,-20.13,-36.12,-15.48,0,-15.2,-10.04,-5.16,-36.12,-9.76,-40.16,0,-5.16,0,0,0,0,0,-361.1
    FBA per unit fulfilment fee,0,-15.75,-6.3,-6.3,-22.05,-6.3,0,0,-6.3,-18.9,-12.6,-9.45,-12.6,-10.47,-14.13,-25.62,-10.98,0,-10.7,-7.04,-3.66,-25.62,-6.76,-28.16,0,-3.66,0,0,0,0,0,-263.35
    Referral fee,0,-7.5,-3,-3,-10.5,-3,0,0,-3,-9,-6,-4.5,-6,-4.5,-6,-10.5,-4.5,0,-4.5,-3,-1.5,-10.5,-3,-12,0,-1.5,0,0,0,0,0,-117
    Adjustment FBA per unit fulfillment fee,0,0,0,0,0,0,0,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25
Cost of goods,0,-7.2,-2.88,-2.88,-10.08,-2.88,0,0,-2.88,-8.64,-5.76,-4.32,-5.76,-4.32,-5.76,-10.08,-4.32,0,-4.32,-2.88,-1.44,-10.08,-2.88,-11.52,0,-1.44,0,0,0,0,0,-112.32
    Cost of goods sold,0,-7.2,-2.88,-2.88,-10.08,-2.88,0,0,-2.88,-8.64,-5.76,-4.32,-5.76,-4.32,-5.76,-10.08,-4.32,0,-4.32,-2.88,-1.44,-10.08,-2.88,-11.52,0,-1.44,0,0,0,0,0,-112.32
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
