Parameter/Date,30 September 2025,29 September 2025,28 September 2025,27 September 2025,26 September 2025,25 September 2025,24 September 2025,23 September 2025,22 September 2025,21 September 2025,20 September 2025,19 September 2025,18 September 2025,17 September 2025,16 September 2025,15 September 2025,14 September 2025,13 September 2025,12 September 2025,11 September 2025,10 September 2025,9 September 2025,8 September 2025,7 September 2025,6 September 2025,5 September 2025,4 September 2025,3 September 2025,2 September 2025,1 September 2025,Total
Sales,71.92,62.93,89.9,62.93,98.89,62.93,17.98,98.89,17.98,98.89,44.95,62.93,53.94,98.89,71.92,44.95,116.87,98.89,44.95,26.97,89.9,17.98,35.96,98.89,35.96,35.96,44.95,17.98,80.91,143.84,1950.83
    Organic,71.92,62.93,71.92,53.94,89.9,62.93,17.98,89.9,8.99,98.89,44.95,53.94,44.95,89.9,71.92,44.95,107.88,71.92,44.95,26.97,80.91,17.98,26.97,98.89,26.97,35.96,44.95,17.98,71.92,107.88,1762.04
    Sponsored Products (same day),0,0,17.98,8.99,8.99,0,0,8.99,8.99,0,0,8.99,8.99,8.99,0,0,8.99,26.97,0,0,8.99,0,8.99,0,8.99,0,0,0,8.99,35.96,188.79
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,71.92,62.93,89.9,62.93,98.89,62.93,17.98,98.89,17.98,98.89,44.95,62.93,53.94,98.89,71.92,44.95,116.87,98.89,44.95,26.97,89.9,17.98,35.96,98.89,35.96,35.96,44.95,17.98,80.91,143.84,1950.83
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,8,7,10,7,11,7,2,11,2,11,5,7,6,11,8,5,13,11,5,3,10,2,4,11,4,4,5,2,9,16,217
    Organic,8,7,8,6,10,7,2,10,1,11,5,6,5,10,8,5,12,8,5,3,9,2,3,11,3,4,5,2,8,12,196
    Sponsored Products (same day),0,0,2,1,1,0,0,1,1,0,0,1,1,1,0,0,1,3,0,0,1,0,1,0,1,0,0,0,1,4,21
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,8,7,10,7,11,7,2,11,2,11,5,7,6,11,8,5,13,11,5,3,10,2,4,11,4,4,5,2,9,16,217
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,-2.49,-5.6,-14.77,-11.58,-9.3,-7.16,-8.64,-15.76,-8.59,-8.2,-10.17,-5.93,-2.75,-8.26,-5.2,-3.12,-2.08,-6.11,-2.47,-3.6,-4.85,-4.08,-4.08,-7.95,-6.64,-2.62,-1.8,-4.14,-6.23,-15.07,-199.24
    Sponsored Products,-2.49,-5.6,-14.77,-11.58,-9.3,-7.16,-8.64,-15.76,-8.59,-8.2,-10.17,-5.93,-2.75,-8.26,-5.2,-3.12,-2.08,-6.11,-2.47,-3.6,-4.85,-4.08,-4.08,-7.95,-6.64,-2.62,-1.8,-4.14,-6.23,-15.07,-199.24
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,1.44,1.44,0,0,-7.91,-15.82,0,0,0,0,0,0,-7.91,0,0,0,-7.91,0,0,1.44,0,0,0,0,-7.91,0,0,0,0,-43.14
    Refunded referral fee,0,0,0,0,0,1.35,2.7,0,0,0,0,0,0,1.35,0,0,0,1.35,0,0,0,0,0,0,0,1.35,0,0,0,0,8.1
    Value of returned items,0,1.44,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,4.32
    Refund commission,0,0,0,0,0,-0.27,-0.54,0,0,0,0,0,0,-0.27,0,0,0,-0.27,0,0,0,0,0,0,0,-0.27,0,0,0,0,-1.62
    Refunded amount,0,0,0,0,0,-8.99,-17.98,0,0,0,0,0,0,-8.99,0,0,0,-8.99,0,0,0,0,0,0,0,-8.99,0,0,0,0,-53.94
Amazon fees,-34.08,-29.82,-42.6,-29.82,-46.86,-29.82,-8.52,-46.86,-6.22,-46.86,-21.3,-29.82,-25.56,-46.86,-34.08,-21.3,-55.38,-46.86,-21.3,-12.78,-42.6,-8.52,-17.04,-46.86,-21.13,-17.04,-21.3,-8.52,-38.34,-68.16,-926.21
    FBA per unit fulfilment fee,-23.28,-20.37,-29.1,-20.37,-32.01,-20.37,-5.82,-32.01,-5.82,-32.01,-14.55,-20.37,-17.46,-32.01,-23.28,-14.55,-37.83,-32.01,-14.55,-8.73,-29.1,-5.82,-11.64,-32.01,-11.64,-11.64,-14.55,-5.82,-26.19,-46.56,-631.47
    Referral fee,-10.8,-9.45,-13.5,-9.45,-14.85,-9.45,-2.7,-14.85,-2.7,-14.85,-6.75,-9.45,-8.1,-14.85,-10.8,-6.75,-17.55,-14.85,-6.75,-4.05,-13.5,-2.7,-5.4,-14.85,-5.4,-5.4,-6.75,-2.7,-12.15,-21.6,-292.95
    FBA storage fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.09,0,0,0,0,0,-4.09
    Warehouse damage,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
Cost of goods,-11.52,-10.08,-14.4,-10.08,-15.84,-10.08,-2.88,-15.84,-4.32,-15.84,-7.2,-10.08,-8.64,-15.84,-11.52,-7.2,-18.72,-15.84,-7.2,-4.32,-14.4,-2.88,-5.76,-15.84,-5.76,-5.76,-7.2,-2.88,-12.96,-23.04,-313.92
    Cost of goods sold,-11.52,-10.08,-14.4,-10.08,-15.84,-10.08,-2.88,-15.84,-2.88,-15.84,-7.2,-10.08,-8.64,-15.84,-11.52,-7.2,-18.72,-15.84,-7.2,-4.32,-14.4,-2.88,-5.76,-15.84,-5.76,-5.76,-7.2,-2.88,-12.96,-23.04,-312.48
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
