Parameter/Date,30 November 2024,29 November 2024,28 November 2024,27 November 2024,26 November 2024,25 November 2024,24 November 2024,23 November 2024,22 November 2024,21 November 2024,20 November 2024,19 November 2024,18 November 2024,17 November 2024,16 November 2024,15 November 2024,14 November 2024,13 November 2024,12 November 2024,11 November 2024,10 November 2024,9 November 2024,8 November 2024,7 November 2024,6 November 2024,5 November 2024,4 November 2024,3 November 2024,2 November 2024,1 November 2024,Total
Sales,87.89,79.9,71.91,109.89,69.93,69.93,99.9,19.98,109.89,39.96,69.93,49.95,9.99,59.94,69.93,59.94,29.97,0,0,69.93,69.93,59.94,9.99,29.97,29.97,19.98,9.99,209.79,39.96,9.99,1668.27
    Organic,87.89,79.9,71.91,109.89,69.93,69.93,99.9,19.98,109.89,39.96,69.93,49.95,9.99,59.94,69.93,59.94,29.97,0,0,69.93,69.93,59.94,9.99,29.97,29.97,19.98,9.99,209.79,39.96,9.99,1668.27
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,87.89,79.9,71.91,109.89,69.93,69.93,99.9,19.98,109.89,39.96,69.93,49.95,9.99,59.94,69.93,59.94,29.97,0,0,69.93,69.93,59.94,9.99,29.97,29.97,19.98,9.99,209.79,39.96,9.99,1668.27
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,11,10,9,11,7,7,10,2,11,4,8,5,1,6,7,6,3,0,0,7,7,6,1,3,3,2,1,21,4,1,174
    Organic,11,10,9,11,7,7,10,2,11,4,8,5,1,6,7,6,3,0,0,7,7,6,1,3,3,2,1,21,4,1,174
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,11,10,9,11,7,7,10,2,11,4,8,5,1,6,7,6,3,0,0,7,7,6,1,3,3,2,1,21,4,1,174
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Promo,0,0,0,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16
Advertising cost,0,0,0,0,0,0,-1.22,0,0,0,-0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99
    Sponsored Products,0,0,0,0,0,0,-1.22,0,0,0,-0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.35,0,0,0,0,0,0,-7.35
    Value of returned items,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,1.44
