Parameter/Date,31 August 2024,30 August 2024,29 August 2024,28 August 2024,27 August 2024,26 August 2024,25 August 2024,24 August 2024,23 August 2024,22 August 2024,21 August 2024,20 August 2024,19 August 2024,18 August 2024,17 August 2024,16 August 2024,15 August 2024,14 August 2024,13 August 2024,12 August 2024,11 August 2024,10 August 2024,9 August 2024,8 August 2024,7 August 2024,6 August 2024,5 August 2024,4 August 2024,3 August 2024,2 August 2024,1 August 2024,Total
Sales,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,33.98
    Organic,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,33.98
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct sales,0,0,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,0,0,0,16.99,0,0,0,0,0,0,0,33.98
    Subscription sales (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Units,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
    Organic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
    Sponsored Products (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display (same day),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Direct units,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
    Subscription units (est.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertising cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Brands Video,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sponsored Television,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shipping costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refund cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazon fees,0,0,0,0,0,0,0,0,0,0,0,0,-6.7,0,0,0,0,0,0,0,0,0,0,-6.98,0,0,0,0,0,0,0,-13.68
    FBA per unit fulfilment fee,0,0,0,0,0,0,0,0,0,0,0,0,-4.15,0,0,0,0,0,0,0,0,0,0,-4.43,0,0,0,0,0,0,0,-8.58
    Referral fee,0,0,0,0,0,0,0,0,0,0,0,0,-2.55,0,0,0,0,0,0,0,0,0,0,-2.55,0,0,0,0,0,0,0,-5.1
Cost of goods,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,-2.88
    Cost of goods sold,0,0,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,0,0,0,-1.44,0,0,0,0,0,0,0,-2.88
    Disposal of sellable products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Lost/damaged by Amazon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Multi-channel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missing returns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marketplace facilitator VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross profit,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,17.42
Indirect expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,17.42
Estimated payout,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,0,0,0,0,20.3
Real ACOS,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
% Refunds,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Sellable returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margin,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,52.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50.44%,0%,0%,0%,0%,0%,0%,0%,51.27%
ROI,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,614.58%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,595.14%,0%,0%,0%,0%,0%,0%,0%,604.86%
Active subscriptions (SnS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sessions,8,4,8,4,7,5,6,5,6,6,5,14,3,7,6,4,3,6,7,2,5,1,3,4,4,5,4,5,0,0,0,147
    Browser sessions,6,3,2,3,4,3,3,5,5,5,2,6,2,3,6,3,2,3,5,2,3,0,1,1,2,4,4,5,0,0,0,93
    Mobile app sessions,2,1,6,1,3,2,3,0,1,1,3,8,1,4,0,1,1,3,2,0,2,1,2,3,2,1,0,0,0,0,0,54
Unit session percentage,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33.33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,1.36%
